question,correct_answer
What is 84 plus 61?,145
What is 91 plus 12?,103
What is 82 plus 63?,145
What is 30 plus 17?,47
What is 56 plus 28?,84
What is 41 plus 56?,97
What is 69 plus 32?,101
What is 38 plus 73?,111
What is 99 plus 49?,148
What is 85 plus 46?,131
What is 11 plus 47?,58
What is 43 plus 77?,120
What is 13 plus 98?,111
What is 63 plus 53?,116
What is 22 plus 22?,44
What is 52 plus 57?,109
What is 88 plus 69?,157
What is 84 plus 53?,137
What is 84 plus 74?,158
What is 91 plus 33?,124
What is 76 plus 56?,132
What is 65 plus 24?,89
What is 96 plus 72?,168
What is 79 plus 31?,110
What is 92 plus 33?,125
What is 39 plus 78?,117
What is 77 plus 49?,126
What is 56 plus 48?,104
What is 47 plus 18?,65
What is 35 plus 33?,68
What is 33 plus 61?,94
What is 34 plus 61?,95
What is 81 plus 32?,113
What is 48 plus 71?,119
What is 21 plus 35?,56
What is 95 plus 63?,158
What is 60 plus 93?,153
What is 40 plus 67?,107
What is 30 plus 52?,82
What is 26 plus 64?,90
What is 46 plus 51?,97
What is 48 plus 12?,60
What is 56 plus 98?,154
What is 88 plus 16?,104
What is 91 plus 89?,180
What is 58 plus 59?,117
What is 34 plus 37?,71
What is 77 plus 29?,106
What is 83 plus 82?,165
What is 26 plus 27?,53
What is 31 plus 53?,84
What is 75 plus 66?,141
What is 16 plus 87?,103
What is 43 plus 72?,115
What is 81 plus 51?,132
What is 39 plus 56?,95
What is 57 plus 69?,126
What is 15 plus 74?,89
What is 64 plus 48?,112
What is 32 plus 45?,77
What is 75 plus 11?,86
What is 64 plus 42?,106
What is 33 plus 92?,125
What is 67 plus 42?,109
What is 43 plus 19?,62
What is 74 plus 74?,148
What is 50 plus 23?,73
What is 26 plus 54?,80
What is 43 plus 74?,117
What is 95 plus 76?,171
What is 55 plus 28?,83
What is 35 plus 51?,86
What is 43 plus 52?,95
What is 42 plus 27?,69
What is 27 plus 50?,77
What is 76 plus 77?,153
What is 86 plus 81?,167
What is 84 plus 32?,116
What is 47 plus 58?,105
What is 58 plus 57?,115
What is 53 plus 87?,140
What is 35 plus 55?,90
What is 27 plus 15?,42
What is 17 plus 76?,93
What is 85 plus 68?,153
What is 14 plus 70?,84
What is 12 plus 11?,23
What is 57 plus 81?,138
What is 93 plus 90?,183
What is 47 plus 48?,95
What is 81 plus 52?,133
What is 75 plus 52?,127
What is 78 plus 48?,126
What is 52 plus 97?,149
What is 91 plus 38?,129
What is 55 plus 65?,120
What is 60 plus 72?,132
What is 92 plus 94?,186
What is 56 plus 48?,104
What is 36 plus 55?,91
What is 18 plus 74?,92
What is 87 plus 15?,102
What is 35 plus 75?,110
What is 78 plus 13?,91
What is 95 plus 54?,149
What is 46 plus 51?,97
What is 44 plus 95?,139
What is 47 plus 58?,105
What is 16 plus 25?,41
What is 22 plus 95?,117
What is 63 plus 75?,138
What is 28 plus 52?,80
What is 29 plus 12?,41
What is 27 plus 76?,103
What is 64 plus 73?,137
What is 61 plus 91?,152
What is 96 plus 47?,143
What is 46 plus 35?,81
What is 35 plus 10?,45
What is 32 plus 83?,115
What is 42 plus 89?,131
What is 70 plus 75?,145
What is 40 plus 82?,122
What is 91 plus 10?,101
What is 27 plus 46?,73
What is 32 plus 72?,104
What is 16 plus 87?,103
What is 86 plus 95?,181
What is 97 plus 43?,140
What is 45 plus 78?,123
What is 66 plus 55?,121
What is 23 plus 22?,45
What is 25 plus 82?,107
What is 23 plus 23?,46
What is 84 plus 74?,158
What is 46 plus 59?,105
What is 52 plus 16?,68
What is 73 plus 70?,143
What is 55 plus 31?,86
What is 28 plus 53?,81
What is 92 plus 64?,156
What is 40 plus 22?,62
What is 71 plus 74?,145
What is 11 plus 85?,96
What is 54 plus 94?,148
What is 62 plus 61?,123
What is 58 plus 90?,148
What is 43 plus 54?,97
What is 48 plus 10?,58
What is 88 plus 64?,152
What is 48 plus 97?,145
What is 36 plus 52?,88
What is 67 plus 79?,146
What is 58 plus 32?,90
What is 18 plus 65?,83
What is 85 plus 31?,116
What is 58 plus 25?,83
What is 89 plus 39?,128
What is 22 plus 23?,45
What is 71 plus 65?,136
What is 59 plus 37?,96
What is 73 plus 61?,134
What is 47 plus 20?,67
What is 60 plus 29?,89
What is 49 plus 19?,68
What is 26 plus 10?,36
What is 18 plus 10?,28
What is 39 plus 88?,127
What is 78 plus 77?,155
What is 72 plus 39?,111
What is 74 plus 34?,108
What is 27 plus 56?,83
What is 19 plus 46?,65
What is 68 plus 59?,127
What is 28 plus 22?,50
What is 54 plus 28?,82
What is 50 plus 69?,119
What is 80 plus 38?,118
What is 29 plus 44?,73
What is 26 plus 99?,125
What is 85 plus 86?,171
What is 66 plus 21?,87
What is 73 plus 10?,83
What is 87 plus 65?,152
What is 66 plus 23?,89
What is 29 plus 13?,42
What is 271 plus 320?,591
What is 408 plus 812?,1220
What is 587 plus 352?,939
What is 156 plus 191?,347
What is 384 plus 903?,1287
What is 715 plus 439?,1154
What is 408 plus 845?,1253
What is 430 plus 785?,1215
What is 867 plus 652?,1519
What is 842 plus 463?,1305
What is 799 plus 395?,1194
What is 271 plus 258?,529
What is 489 plus 904?,1393
What is 267 plus 623?,890
What is 900 plus 277?,1177
What is 226 plus 931?,1157
What is 424 plus 566?,990
What is 475 plus 634?,1109
What is 752 plus 838?,1590
What is 757 plus 876?,1633
What is 303 plus 190?,493
What is 922 plus 523?,1445
What is 122 plus 250?,372
What is 432 plus 710?,1142
What is 680 plus 231?,911
What is 479 plus 219?,698
What is 629 plus 775?,1404
What is 361 plus 446?,807
What is 946 plus 937?,1883
What is 824 plus 757?,1581
What is 183 plus 115?,298
What is 444 plus 750?,1194
What is 316 plus 786?,1102
What is 581 plus 966?,1547
What is 707 plus 277?,984
What is 336 plus 583?,919
What is 125 plus 600?,725
What is 285 plus 706?,991
What is 286 plus 288?,574
What is 175 plus 886?,1061
What is 480 plus 255?,735
What is 873 plus 226?,1099
What is 802 plus 294?,1096
What is 679 plus 239?,918
What is 858 plus 107?,965
What is 809 plus 820?,1629
What is 455 plus 334?,789
What is 144 plus 143?,287
What is 603 plus 153?,756
What is 373 plus 901?,1274
What is 962 plus 321?,1283
What is 176 plus 407?,583
What is 854 plus 701?,1555
What is 607 plus 429?,1036
What is 119 plus 259?,378
What is 210 plus 125?,335
What is 315 plus 161?,476
What is 781 plus 652?,1433
What is 896 plus 971?,1867
What is 597 plus 111?,708
What is 512 plus 493?,1005
What is 813 plus 858?,1671
What is 526 plus 947?,1473
What is 177 plus 499?,676
What is 425 plus 103?,528
What is 431 plus 845?,1276
What is 430 plus 409?,839
What is 579 plus 656?,1235
What is 191 plus 914?,1105
What is 696 plus 313?,1009
What is 279 plus 214?,493
What is 591 plus 926?,1517
What is 611 plus 325?,936
What is 489 plus 267?,756
What is 990 plus 449?,1439
What is 738 plus 287?,1025
What is 105 plus 998?,1103
What is 445 plus 891?,1336
What is 694 plus 152?,846
What is 384 plus 518?,902
What is 102 plus 263?,365
What is 894 plus 473?,1367
What is 472 plus 833?,1305
What is 503 plus 682?,1185
What is 263 plus 500?,763
What is 292 plus 651?,943
What is 827 plus 761?,1588
What is 945 plus 888?,1833
What is 904 plus 354?,1258
What is 136 plus 717?,853
What is 519 plus 104?,623
What is 451 plus 575?,1026
What is 437 plus 302?,739
What is 590 plus 449?,1039
What is 415 plus 200?,615
What is 932 plus 729?,1661
What is 267 plus 182?,449
What is 960 plus 678?,1638
What is 913 plus 184?,1097
What is 731 plus 416?,1147
What is 963 plus 365?,1328
What is 731 plus 761?,1492
What is 457 plus 441?,898
What is 462 plus 473?,935
What is 726 plus 418?,1144
What is 597 plus 981?,1578
What is 809 plus 635?,1444
What is 718 plus 859?,1577
What is 969 plus 127?,1096
What is 301 plus 220?,521
What is 670 plus 599?,1269
What is 793 plus 271?,1064
What is 351 plus 299?,650
What is 382 plus 596?,978
What is 568 plus 332?,900
What is 304 plus 718?,1022
What is 705 plus 328?,1033
What is 355 plus 612?,967
What is 604 plus 634?,1238
What is 229 plus 864?,1093
What is 582 plus 845?,1427
What is 760 plus 260?,1020
What is 417 plus 944?,1361
What is 348 plus 488?,836
What is 308 plus 392?,700
What is 971 plus 849?,1820
What is 452 plus 195?,647
What is 200 plus 672?,872
What is 236 plus 111?,347
What is 293 plus 209?,502
What is 319 plus 979?,1298
What is 749 plus 414?,1163
What is 282 plus 339?,621
What is 849 plus 122?,971
What is 987 plus 746?,1733
What is 871 plus 819?,1690
What is 929 plus 477?,1406
What is 274 plus 652?,926
What is 641 plus 404?,1045
What is 926 plus 556?,1482
What is 579 plus 425?,1004
What is 143 plus 160?,303
What is 246 plus 347?,593
What is 673 plus 743?,1416
What is 423 plus 673?,1096
What is 878 plus 719?,1597
What is 977 plus 479?,1456
What is 847 plus 720?,1567
What is 557 plus 673?,1230
What is 192 plus 822?,1014
What is 463 plus 889?,1352
What is 685 plus 957?,1642
What is 409 plus 192?,601
What is 722 plus 373?,1095
What is 545 plus 830?,1375
What is 476 plus 701?,1177
What is 826 plus 754?,1580
What is 679 plus 687?,1366
What is 992 plus 572?,1564
What is 519 plus 593?,1112
What is 497 plus 172?,669
What is 826 plus 189?,1015
What is 815 plus 570?,1385
What is 782 plus 951?,1733
What is 769 plus 836?,1605
What is 958 plus 640?,1598
What is 905 plus 724?,1629
What is 537 plus 928?,1465
What is 883 plus 866?,1749
What is 437 plus 834?,1271
What is 756 plus 656?,1412
What is 789 plus 397?,1186
What is 728 plus 883?,1611
What is 144 plus 972?,1116
What is 187 plus 145?,332
What is 707 plus 102?,809
What is 954 plus 162?,1116
What is 159 plus 290?,449
What is 736 plus 890?,1626
What is 853 plus 871?,1724
What is 361 plus 336?,697
What is 422 plus 683?,1105
What is 238 plus 884?,1122
What is 204 plus 712?,916
What is 711 plus 647?,1358
What is 119 plus 450?,569
What is 131 plus 295?,426
What is 547 plus 574?,1121
What is 408 plus 654?,1062
What is 526 plus 845?,1371
What is 214 plus 390?,604
What is 964 plus 615?,1579
What is 706 plus 604?,1310
What is 153 plus 532?,685
What is 616 plus 247?,863
What is 510 plus 202?,712
What is 837 plus 354?,1191
What is 872 plus 235?,1107
What is 547 plus 887?,1434
What is 963 plus 736?,1699
What is 5746 plus 3220?,8966
What is 3175 plus 6900?,10075
What is 4754 plus 6661?,11415
What is 2810 plus 8983?,11793
What is 3138 plus 2760?,5898
What is 4477 plus 8206?,12683
What is 9351 plus 3306?,12657
What is 5685 plus 4813?,10498
What is 8777 plus 5308?,14085
What is 8343 plus 3956?,12299
What is 4954 plus 2406?,7360
What is 1330 plus 6367?,7697
What is 3043 plus 3809?,6852
What is 9974 plus 3340?,13314
What is 3800 plus 6223?,10023
What is 2183 plus 2241?,4424
What is 2356 plus 1269?,3625
What is 1455 plus 7248?,8703
What is 1536 plus 7332?,8868
What is 5688 plus 3776?,9464
What is 2467 plus 7367?,9834
What is 3613 plus 3744?,7357
What is 2823 plus 7883?,10706
What is 1945 plus 3281?,5226
What is 8355 plus 3329?,11684
What is 3728 plus 5804?,9532
What is 2190 plus 4722?,6912
What is 5467 plus 1974?,7441
What is 2994 plus 6946?,9940
What is 4493 plus 3364?,7857
What is 4671 plus 1752?,6423
What is 8870 plus 3281?,12151
What is 1698 plus 1897?,3595
What is 7711 plus 3361?,11072
What is 5638 plus 1710?,7348
What is 1009 plus 5495?,6504
What is 5554 plus 2458?,8012
What is 6991 plus 7212?,14203
What is 9694 plus 5129?,14823
What is 9653 plus 1934?,11587
What is 4903 plus 1269?,6172
What is 4909 plus 4921?,9830
What is 4263 plus 1309?,5572
What is 9981 plus 4101?,14082
What is 3502 plus 9765?,13267
What is 1058 plus 3062?,4120
What is 9457 plus 3446?,12903
What is 2937 plus 8845?,11782
What is 9196 plus 6583?,15779
What is 4222 plus 5274?,9496
What is 6858 plus 5168?,12026
What is 6630 plus 6210?,12840
What is 1678 plus 7245?,8923
What is 8650 plus 6512?,15162
What is 5739 plus 9178?,14917
What is 9329 plus 9300?,18629
What is 1808 plus 1313?,3121
What is 5671 plus 1970?,7641
What is 5978 plus 6867?,12845
What is 5685 plus 8446?,14131
What is 5505 plus 3712?,9217
What is 1433 plus 5233?,6666
What is 5933 plus 9309?,15242
What is 8955 plus 3734?,12689
What is 4909 plus 7498?,12407
What is 5982 plus 7216?,13198
What is 6336 plus 1978?,8314
What is 7678 plus 1741?,9419
What is 7096 plus 6842?,13938
What is 1662 plus 4918?,6580
What is 4217 plus 1366?,5583
What is 7858 plus 9832?,17690
What is 1803 plus 5171?,6974
What is 1649 plus 3741?,5390
What is 5411 plus 9251?,14662
What is 9548 plus 8729?,18277
What is 5966 plus 4719?,10685
What is 9217 plus 9593?,18810
What is 7826 plus 5513?,13339
What is 4846 plus 3739?,8585
What is 1368 plus 9326?,10694
What is 3860 plus 4495?,8355
What is 8071 plus 5466?,13537
What is 2660 plus 4620?,7280
What is 2367 plus 1111?,3478
What is 8599 plus 9835?,18434
What is 1265 plus 2216?,3481
What is 1887 plus 6517?,8404
What is 7621 plus 3927?,11548
What is 8761 plus 7865?,16626
What is 7616 plus 3508?,11124
What is 2948 plus 9567?,12515
What is 1665 plus 4532?,6197
What is 9244 plus 8459?,17703
What is 7871 plus 2636?,10507
What is 4191 plus 2687?,6878
What is 9841 plus 3201?,13042
What is 4638 plus 1495?,6133
What is 6476 plus 8434?,14910
What is 6973 plus 9383?,16356
What is 6674 plus 6794?,13468
What is 5365 plus 7488?,12853
What is 3229 plus 6634?,9863
What is 6189 plus 9369?,15558
What is 1421 plus 7086?,8507
What is 3187 plus 5116?,8303
What is 3663 plus 8807?,12470
What is 3027 plus 4750?,7777
What is 2282 plus 2544?,4826
What is 6880 plus 1708?,8588
What is 4986 plus 1490?,6476
What is 9181 plus 6766?,15947
What is 1059 plus 1978?,3037
What is 9062 plus 7696?,16758
What is 1697 plus 2130?,3827
What is 5453 plus 2793?,8246
What is 5664 plus 3275?,8939
What is 9923 plus 4648?,14571
What is 9907 plus 2544?,12451
What is 8764 plus 8234?,16998
What is 8314 plus 2267?,10581
What is 7896 plus 7802?,15698
What is 9526 plus 2680?,12206
What is 9185 plus 5643?,14828
What is 7644 plus 7730?,15374
What is 6868 plus 6165?,13033
What is 2050 plus 8354?,10404
What is 3499 plus 2125?,5624
What is 6526 plus 6350?,12876
What is 3500 plus 2791?,6291
What is 4815 plus 4227?,9042
What is 4058 plus 2331?,6389
What is 3796 plus 4617?,8413
What is 4326 plus 2943?,7269
What is 3114 plus 9546?,12660
What is 8205 plus 4670?,12875
What is 7737 plus 5751?,13488
What is 7772 plus 9568?,17340
What is 8345 plus 9389?,17734
What is 4230 plus 9684?,13914
What is 1273 plus 7901?,9174
What is 1906 plus 5575?,7481
What is 4488 plus 8497?,12985
What is 3442 plus 9806?,13248
What is 2848 plus 6833?,9681
What is 9729 plus 3992?,13721
What is 4698 plus 7989?,12687
What is 4182 plus 8422?,12604
What is 9501 plus 1705?,11206
What is 5860 plus 9032?,14892
What is 1063 plus 5588?,6651
What is 5510 plus 1529?,7039
What is 4341 plus 1965?,6306
What is 2475 plus 2365?,4840
What is 9595 plus 2945?,12540
What is 9707 plus 9971?,19678
What is 3102 plus 8657?,11759
What is 6280 plus 6248?,12528
What is 7174 plus 4412?,11586
What is 4820 plus 1944?,6764
What is 7093 plus 1262?,8355
What is 9104 plus 6796?,15900
What is 7757 plus 9358?,17115
What is 7856 plus 1098?,8954
What is 3216 plus 7672?,10888
What is 7871 plus 4555?,12426
What is 3413 plus 1374?,4787
What is 1756 plus 4902?,6658
What is 4591 plus 3015?,7606
What is 8123 plus 6165?,14288
What is 2907 plus 5617?,8524
What is 1993 plus 1373?,3366
What is 7418 plus 9341?,16759
What is 4855 plus 1899?,6754
What is 4608 plus 9333?,13941
What is 3283 plus 2357?,5640
What is 2152 plus 7221?,9373
What is 8321 plus 4719?,13040
What is 6522 plus 5669?,12191
What is 5843 plus 1661?,7504
What is 6237 plus 2789?,9026
What is 3253 plus 9299?,12552
What is 1407 plus 7525?,8932
What is 9899 plus 4790?,14689
What is 3718 plus 7728?,11446
What is 9420 plus 8632?,18052
What is 9541 plus 9330?,18871
What is 6396 plus 9309?,15705
What is 1600 plus 8484?,10084
What is 5904 plus 5036?,10940
What is 4703 plus 3239?,7942
What is 1234 plus 5558?,6792
What is 5688 plus 7631?,13319
What is 2132 plus 8875?,11007
What is 8501 plus 5792?,14293
What is 2487 plus 6397?,8884
What is 7623 plus 7647?,15270
What is 7967 plus 9697?,17664
What is 3695 plus 2636?,6331
What is 5582 plus 1006?,6588
What is 81790 plus 32336?,114126
What is 41898 plus 78214?,120112
What is 87460 plus 38030?,125490
What is 34905 plus 32899?,67804
What is 86335 plus 18987?,105322
What is 68048 plus 51286?,119334
What is 73042 plus 40977?,114019
What is 78118 plus 95374?,173492
What is 35984 plus 60550?,96534
What is 15156 plus 63808?,78964
What is 16705 plus 40360?,57065
What is 89383 plus 91360?,180743
What is 67319 plus 32945?,100264
What is 88955 plus 89055?,178010
What is 41895 plus 29425?,71320
What is 80651 plus 52189?,132840
What is 31820 plus 93557?,125377
What is 97644 plus 80491?,178135
What is 41712 plus 69872?,111584
What is 54649 plus 92445?,147094
What is 13175 plus 70572?,83747
What is 63543 plus 75235?,138778
What is 91984 plus 80511?,172495
What is 95506 plus 28989?,124495
What is 57106 plus 70276?,127382
What is 56305 plus 65802?,122107
What is 20379 plus 21304?,41683
What is 37442 plus 69203?,106645
What is 64874 plus 35292?,100166
What is 85580 plus 25787?,111367
What is 87335 plus 61248?,148583
What is 20559 plus 89792?,110351
What is 79993 plus 90089?,170082
What is 94934 plus 14403?,109337
What is 28310 plus 77195?,105505
What is 94114 plus 16894?,111008
What is 48435 plus 66538?,114973
What is 35660 plus 35704?,71364
What is 36825 plus 30891?,67716
What is 33919 plus 79634?,113553
What is 11218 plus 86222?,97440
What is 40519 plus 87070?,127589
What is 85694 plus 61762?,147456
What is 43334 plus 65444?,108778
What is 75865 plus 11430?,87295
What is 77720 plus 44321?,122041
What is 60203 plus 62571?,122774
What is 61802 plus 70385?,132187
What is 21159 plus 77861?,99020
What is 30631 plus 41729?,72360
What is 10738 plus 17524?,28262
What is 65855 plus 67528?,133383
What is 60071 plus 61540?,121611
What is 35860 plus 41903?,77763
What is 18298 plus 56283?,74581
What is 44586 plus 34009?,78595
What is 12522 plus 39839?,52361
What is 54685 plus 63466?,118151
What is 13650 plus 70382?,84032
What is 95006 plus 69721?,164727
What is 99584 plus 35955?,135539
What is 47609 plus 89620?,137229
What is 24164 plus 96111?,120275
What is 59414 plus 94784?,154198
What is 91447 plus 26709?,118156
What is 19684 plus 68282?,87966
What is 71900 plus 47466?,119366
What is 81339 plus 15186?,96525
What is 77845 plus 29524?,107369
What is 67600 plus 24896?,92496
What is 74268 plus 22384?,96652
What is 95232 plus 82777?,178009
What is 60926 plus 74102?,135028
What is 86948 plus 55993?,142941
What is 52035 plus 44146?,96181
What is 59274 plus 83710?,142984
What is 64156 plus 30630?,94786
What is 81479 plus 84048?,165527
What is 87086 plus 90761?,177847
What is 14779 plus 74590?,89369
What is 44354 plus 56257?,100611
What is 73689 plus 31878?,105567
What is 81909 plus 17189?,99098
What is 12237 plus 58722?,70959
What is 89269 plus 46699?,135968
What is 22298 plus 98309?,120607
What is 75395 plus 98933?,174328
What is 85186 plus 73394?,158580
What is 72638 plus 71094?,143732
What is 62574 plus 23124?,85698
What is 55641 plus 46519?,102160
What is 42201 plus 73856?,116057
What is 36685 plus 18460?,55145
What is 47918 plus 68384?,116302
What is 12173 plus 93416?,105589
What is 63257 plus 72518?,135775
What is 80682 plus 59364?,140046
What is 69599 plus 71446?,141045
What is 90571 plus 18308?,108879
What is 75469 plus 62567?,138036
What is 80939 plus 87607?,168546
What is 85402 plus 16625?,102027
What is 13459 plus 57872?,71331
What is 99902 plus 70994?,170896
What is 88518 plus 40353?,128871
What is 80965 plus 84351?,165316
What is 95186 plus 46263?,141449
What is 31769 plus 14513?,46282
What is 48387 plus 74059?,122446
What is 62264 plus 54745?,117009
What is 11778 plus 77307?,89085
What is 56554 plus 81152?,137706
What is 11934 plus 39530?,51464
What is 57806 plus 42061?,99867
What is 86698 plus 89984?,176682
What is 80776 plus 32748?,113524
What is 77736 plus 33825?,111561
What is 84763 plus 64253?,149016
What is 38840 plus 66906?,105746
What is 62500 plus 28708?,91208
What is 88594 plus 18464?,107058
What is 60383 plus 26027?,86410
What is 94408 plus 21254?,115662
What is 98986 plus 46558?,145544
What is 81409 plus 48978?,130387
What is 87523 plus 15388?,102911
What is 60224 plus 68931?,129155
What is 94665 plus 27328?,121993
What is 22051 plus 72403?,94454
What is 15491 plus 40945?,56436
What is 20065 plus 67227?,87292
What is 27379 plus 10215?,37594
What is 76678 plus 13749?,90427
What is 21810 plus 92598?,114408
What is 85511 plus 88639?,174150
What is 92103 plus 97692?,189795
What is 27027 plus 41643?,68670
What is 11241 plus 11606?,22847
What is 40986 plus 23751?,64737
What is 62497 plus 38215?,100712
What is 24826 plus 78655?,103481
What is 97787 plus 78623?,176410
What is 85277 plus 61929?,147206
What is 65925 plus 72387?,138312
What is 77753 plus 61715?,139468
What is 84579 plus 15142?,99721
What is 85936 plus 84347?,170283
What is 51019 plus 36489?,87508
What is 69470 plus 77824?,147294
What is 44676 plus 39125?,83801
What is 34993 plus 52557?,87550
What is 38048 plus 57759?,95807
What is 55467 plus 67244?,122711
What is 94379 plus 44810?,139189
What is 69202 plus 86978?,156180
What is 47807 plus 95680?,143487
What is 89375 plus 21451?,110826
What is 29796 plus 92664?,122460
What is 54330 plus 86188?,140518
What is 43173 plus 34430?,77603
What is 53510 plus 56754?,110264
What is 31995 plus 68506?,100501
What is 12463 plus 82610?,95073
What is 60935 plus 26110?,87045
What is 32811 plus 55200?,88011
What is 55193 plus 89196?,144389
What is 44218 plus 56556?,100774
What is 52541 plus 64273?,116814
What is 30043 plus 73403?,103446
What is 79783 plus 28888?,108671
What is 78856 plus 89525?,168381
What is 65820 plus 82849?,148669
What is 27813 plus 82661?,110474
What is 92423 plus 86278?,178701
What is 58558 plus 75887?,134445
What is 65792 plus 21586?,87378
What is 50336 plus 58674?,109010
What is 24595 plus 91238?,115833
