question,answer,filtered_answer,correct_answer,is_correct
Which country won gold in Swimming Women's 4 x 100 metres Freestyle Relay in the 1992 Summer Olympics?,-,-,United States,-
Which country won gold in Swimming Women's 4 x 100 metres Medley Relay in the 1992 Summer Olympics?,-,-,United States,-
Which country won gold in Hockey Men's Hockey in the 1968 Summer Olympics?,-,-,Pakistan,-
Which country won gold in Hockey Men's Hockey in the 1960 Summer Olympics?,-,-,Pakistan,-
Which country won gold in Hockey Men's Hockey in the 1984 Summer Olympics?,-,-,Pakistan,-
Which country won gold in Hockey Men's Hockey in the 1984 Summer Olympics?,-,-,Pakistan,-
Which country won gold in Hockey Men's Hockey in the 1960 Summer Olympics?,-,-,Pakistan,-
Which country won gold in Hockey Men's Hockey in the 1968 Summer Olympics?,-,-,Pakistan,-
Which country won gold in Rowing Men's Coxed Eights in the 2004 Summer Olympics?,-,-,United States,-
Which country won gold in Gymnastics Men's Team All-Around in the 1960 Summer Olympics?,-,-,Japan,-
Which country won gold in Gymnastics Men's Floor Exercise in the 1960 Summer Olympics?,-,-,Japan,-
Which country won gold in Baseball Men's Baseball in the 2000 Summer Olympics?,-,-,United States,-
Which country won gold in Cycling Men's Madison in the 2000 Summer Olympics?,-,-,Australia,-
"Which country won gold in Shooting Men's Small-Bore Rifle, Prone, 50 metres in the 2008 Summer Olympics?",-,-,Ukraine,-
Which country won gold in Baseball Men's Baseball in the 1992 Summer Olympics?,-,-,Cuba,-
Which country won gold in Baseball Men's Baseball in the 1996 Summer Olympics?,-,-,Cuba,-
Which country won gold in Athletics Women's Long Jump in the 1996 Summer Olympics?,-,-,Nigeria,-
"Which country won gold in Wrestling Men's Bantamweight, Freestyle in the 1948 Summer Olympics?",-,-,Turkey,-
"Which country won gold in Canoeing Men's Kayak Doubles, 10,000 metres in the 1948 Summer Olympics?",-,-,Sweden,-
Which country won gold in Football Women's Football in the 1996 Summer Olympics?,-,-,United States,-
"Which country won gold in Wrestling Men's Super-Heavyweight, Freestyle in the 2016 Summer Olympics?",-,-,Turkey,-
"Which country won gold in Fencing Men's Foil, Team in the 2016 Summer Olympics?",-,-,Russia,-
Which country won gold in Hockey Men's Hockey in the 1968 Summer Olympics?,-,-,Pakistan,-
Which country won gold in Hockey Men's Hockey in the 1984 Summer Olympics?,-,-,Pakistan,-
Which country won gold in Athletics Men's 400 metres Hurdles in the 1972 Summer Olympics?,-,-,Uganda,-
Which country won gold in Athletics Women's 4 x 100 metres Relay in the 2016 Summer Olympics?,-,-,United States,-
Which country won gold in Hockey Men's Hockey in the 1984 Summer Olympics?,-,-,Pakistan,-
Which country won gold in Shooting Men's Double Trap in the 2004 Summer Olympics?,-,-,United Arab Emirates,-
Which country won gold in Sailing Women's Windsurfer in the 2012 Summer Olympics?,-,-,Spain,-
Which country won gold in Hockey Men's Hockey in the 1960 Summer Olympics?,-,-,Pakistan,-
"Which country won gold in Gymnastics Men's Team All-Around, Free System in the 1920 Summer Olympics?",-,-,Denmark,-
"Which country won gold in Wrestling Men's Lightweight, Greco-Roman in the 2008 Summer Olympics?",-,-,Russia,-
Which country won gold in Rowing Men's Coxed Fours in the 1924 Summer Olympics?,-,-,Switzerland,-
Which country won gold in Sailing Mixed Two Person Keelboat in the 1976 Summer Olympics?,-,-,Sweden,-
Which country won gold in Boxing Men's Welterweight in the 1980 Summer Olympics?,-,-,Cuba,-
Which country won gold in Athletics Men's 4 x 400 metres Relay in the 1928 Summer Olympics?,-,-,United States,-
Which country won gold in Sailing Women's Two Person Dinghy in the 2012 Summer Olympics?,-,-,New Zealand,-
Which country won gold in Athletics Men's Discus Throw in the 2000 Summer Olympics?,-,-,Lithuania,-
Which country won gold in Athletics Men's Discus Throw in the 2004 Summer Olympics?,-,-,Lithuania,-
"Which country won gold in Wrestling Men's Heavyweight, Greco-Roman in the 2016 Summer Olympics?",-,-,Armenia,-
Which country won gold in Water Polo Men's Water Polo in the 2016 Summer Olympics?,-,-,Serbia,-
Which country won gold in Judo Men's Lightweight in the 1988 Summer Olympics?,-,-,France,-
Which country won gold in Football Men's Football in the 1992 Summer Olympics?,-,-,Spain,-
Which country won gold in Basketball Men's Basketball in the 1984 Summer Olympics?,-,-,United States,-
Which country won gold in Hockey Men's Hockey in the 1984 Summer Olympics?,-,-,Pakistan,-
Which country won gold in Hockey Men's Hockey in the 1928 Summer Olympics?,-,-,India,-
Which country won gold in Hockey Men's Hockey in the 1964 Summer Olympics?,-,-,India,-
"Which country won gold in Fencing Men's epee, Individual in the 1908 Summer Olympics?",-,-,France,-
"Which country won gold in Fencing Men's epee, Team in the 1908 Summer Olympics?",-,-,France,-
"Which country won gold in Shooting Men's Rapid-Fire Pistol, 25 metres in the 2000 Summer Olympics?",-,-,Russia,-
Which country won gold in Shooting Men's Trap in the 2004 Summer Olympics?,-,-,Russia,-
Which country won gold in Gymnastics Men's Rope Climbing in the 1906 Summer Olympics?,-,-,Greece,-
Which country won gold in Rhythmic Gymnastics Women's Group in the 2008 Summer Olympics?,-,-,Russia,-
"Which country won gold in Archery Men's Target Archery, 33 metres, Team in the 1920 Summer Olympics?",-,-,Belgium,-
"Which country won gold in Archery Men's Target Archery, 50 metres, Team in the 1920 Summer Olympics?",-,-,Belgium,-
Which country won gold in Sailing Mixed Three Person Keelboat in the 1972 Summer Olympics?,-,-,United States,-
Which country won gold in Triathlon Women's Olympic Distance in the 2004 Summer Olympics?,-,-,Austria,-
Which country won gold in Hockey Women's Hockey in the 2000 Summer Olympics?,-,-,Australia,-
Which country won gold in Basketball Men's Basketball in the 2000 Summer Olympics?,-,-,United States,-
Which country won gold in Hockey Men's Hockey in the 1928 Summer Olympics?,-,-,India,-
Which country won gold in Hockey Men's Hockey in the 1932 Summer Olympics?,-,-,India,-
Which country won gold in Hockey Men's Hockey in the 1936 Summer Olympics?,-,-,India,-
Which country won gold in Rowing Men's Coxed Eights in the 2004 Summer Olympics?,-,-,United States,-
"Which country won gold in Fencing Men's epee, Team in the 1920 Summer Olympics?",-,-,Italy,-
Which country won gold in Swimming Women's 4 x 100 metres Freestyle Relay in the 1964 Summer Olympics?,-,-,United States,-
Which country won gold in Water Polo Women's Water Polo in the 2004 Summer Olympics?,-,-,Italy,-
Which country won gold in Football Men's Football in the 2000 Summer Olympics?,-,-,Cameroon,-
Which country won gold in Handball Women's Handball in the 2012 Summer Olympics?,-,-,Norway,-
"Which country won gold in Equestrianism Men's Jumping, Team in the 1928 Summer Olympics?",-,-,Spain,-
Which country won gold in Gymnastics Women's Horse Vault in the 1996 Summer Olympics?,-,-,Romania,-
Which country won gold in Gymnastics Women's Individual All-Around in the 2000 Summer Olympics?,-,-,Romania,-
Which country won gold in Gymnastics Women's Team All-Around in the 2000 Summer Olympics?,-,-,Romania,-
Which country won gold in Water Polo Men's Water Polo in the 1928 Summer Olympics?,-,-,Germany,-
"Which country won gold in Shooting Men's Small-Bore Rifle, Three Positions, 50 metres in the 1996 Summer Olympics?",-,-,France,-
Which country won gold in Volleyball Men's Volleyball in the 1992 Summer Olympics?,-,-,Brazil,-
Which country won gold in Football Men's Football in the 1992 Summer Olympics?,-,-,Spain,-
Which country won gold in Water Polo Men's Water Polo in the 1960 Summer Olympics?,-,-,Italy,-
Which country won gold in Softball Women's Softball in the 2000 Summer Olympics?,-,-,United States,-
Which country won gold in Water Polo Men's Water Polo in the 1964 Summer Olympics?,-,-,Hungary,-
Which country won gold in Rowing Men's Coxed Eights in the 1964 Summer Olympics?,-,-,United States,-
Which country won gold in Rowing Men's Coxed Eights in the 1964 Summer Olympics?,-,-,United States,-
Which country won gold in Football Men's Football in the 1996 Summer Olympics?,-,-,Nigeria,-
"Which country won gold in Canoeing Men's Kayak Fours, 1,000 metres in the 1968 Summer Olympics?",-,-,Norway,-
Which country won gold in Football Men's Football in the 1996 Summer Olympics?,-,-,Nigeria,-
"Which country won gold in Canoeing Men's Canadian Singles, 1,000 metres in the 1936 Summer Olympics?",-,-,Canada,-
Which country won gold in Football Men's Football in the 1972 Summer Olympics?,-,-,Poland,-
Which country won gold in Judo Women's Heavyweight in the 2016 Summer Olympics?,-,-,France,-
"Which country won gold in Wrestling Men's Lightweight, Freestyle in the 1952 Summer Olympics?",-,-,Sweden,-
Which country won gold in Football Men's Football in the 1906 Summer Olympics?,-,-,Denmark,-
Which country won gold in Handball Women's Handball in the 1996 Summer Olympics?,-,-,Denmark,-
Which country won gold in Handball Women's Handball in the 1996 Summer Olympics?,-,-,Denmark,-
Which country won gold in Handball Women's Handball in the 2000 Summer Olympics?,-,-,Denmark,-
Which country won gold in Gymnastics Men's Team All-Around in the 1906 Summer Olympics?,-,-,Norway,-
"Which country won gold in Gymnastics Men's Team All-Around, Free System in the 1920 Summer Olympics?",-,-,Denmark,-
Which country won gold in Rowing Men's Coxed Pairs in the 1948 Summer Olympics?,-,-,Denmark,-
Which country won gold in Swimming Women's 100 metres Freestyle in the 1948 Summer Olympics?,-,-,Denmark,-
Which country won gold in Handball Women's Handball in the 2004 Summer Olympics?,-,-,Denmark,-
Which country won gold in Sailing Women's One Person Dinghy in the 1992 Summer Olympics?,-,-,Norway,-
Which country won gold in Rowing Men's Lightweight Coxless Fours in the 2008 Summer Olympics?,-,-,Denmark,-
Which country won gold in Football Men's Football in the 1906 Summer Olympics?,-,-,Denmark,-
Which country won gold in Volleyball Men's Volleyball in the 2004 Summer Olympics?,-,-,Brazil,-
Which country won gold in Swimming Women's 4 x 200 metres Freestyle Relay in the 2012 Summer Olympics?,-,-,United States,-
Which country won gold in Athletics Women's 4 x 400 metres Relay in the 2000 Summer Olympics?,-,-,United States,-
"Which country won gold in Equestrianism Men's Three-Day Event, Team in the 1948 Summer Olympics?",-,-,United States,-
"Which country won gold in Shooting Men's Free Rifle, Three Positions, 300 metres in the 1964 Summer Olympics?",-,-,United States,-
"Which country won gold in Shooting Mixed Free Rifle, Three Positions, 300 metres in the 1968 Summer Olympics?",-,-,United States,-
Which country won gold in Athletics Men's Discus Throw in the 1932 Summer Olympics?,-,-,United States,-
Which country won gold in Sailing Mixed Two Person Keelboat in the 1972 Summer Olympics?,-,-,Australia,-
Which country won gold in Weightlifting Men's Heavyweight in the 1956 Summer Olympics?,-,-,United States,-
Which country won gold in Sailing Mixed Three Person Keelboat in the 1972 Summer Olympics?,-,-,Australia,-
"Which country won gold in Canoeing Women's Kayak Singles, 500 metres in the 1984 Summer Olympics?",-,-,Sweden,-
"Which country won gold in Canoeing Women's Kayak Doubles, 500 metres in the 1984 Summer Olympics?",-,-,Sweden,-
"Which country won gold in Canoeing Women's Kayak Doubles, 500 metres in the 1996 Summer Olympics?",-,-,Sweden,-
"Which country won gold in Gymnastics Men's Team All-Around, Swedish System in the 1920 Summer Olympics?",-,-,Sweden,-
"Which country won gold in Gymnastics Men's Team All-Around, Swedish System in the 1920 Summer Olympics?",-,-,Sweden,-
Which country won gold in Tug-Of-War Men's Tug-Of-War in the 1912 Summer Olympics?,-,-,Sweden,-
"Which country won gold in Wrestling Men's Welterweight, Greco-Roman in the 1948 Summer Olympics?",-,-,Sweden,-
"Which country won gold in Athletics Men's Cross-Country, Team in the 1912 Summer Olympics?",-,-,Sweden,-
Which country won gold in Football Men's Football in the 1948 Summer Olympics?,-,-,Sweden,-
Which country won gold in Polo Men's Polo in the 1936 Summer Olympics?,-,-,Argentina,-
Which country won gold in Football Men's Football in the 1924 Summer Olympics?,-,-,Uruguay,-
Which country won gold in Football Men's Football in the 1928 Summer Olympics?,-,-,Uruguay,-
Which country won gold in Athletics Men's Shot Put in the 1984 Summer Olympics?,-,-,Italy,-
"Which country won gold in Wrestling Men's Heavyweight, Greco-Roman in the 1984 Summer Olympics?",-,-,Romania,-
Which country won gold in Gymnastics Men's Team All-Around in the 1920 Summer Olympics?,-,-,Italy,-
Which country won gold in Hockey Women's Hockey in the 1996 Summer Olympics?,-,-,Australia,-
Which country won gold in Swimming Women's 100 metres Backstroke in the 1984 Summer Olympics?,-,-,United States,-
Which country won gold in Swimming Women's 4 x 100 metres Medley Relay in the 1984 Summer Olympics?,-,-,United States,-
Which country won gold in Gymnastics Men's Rope Climbing in the 1896 Summer Olympics?,-,-,Greece,-
Which country won gold in Rowing Men's Coxless Pairs in the 2000 Summer Olympics?,-,-,France,-
Which country won gold in Weightlifting Men's Featherweight in the 1928 Summer Olympics?,-,-,Austria,-
"Which country won gold in Equestrianism Mixed Three-Day Event, Team in the 1964 Summer Olympics?",-,-,Italy,-
"Which country won gold in Wrestling Men's Heavyweight, Freestyle in the 1996 Summer Olympics?",-,-,United States,-
"Which country won gold in Fencing Men's epee, Team in the 1956 Summer Olympics?",-,-,Italy,-
Which country won gold in Hockey Women's Hockey in the 1996 Summer Olympics?,-,-,Australia,-
Which country won gold in Hockey Women's Hockey in the 2000 Summer Olympics?,-,-,Australia,-
Which country won gold in Judo Women's Half-Heavyweight in the 2004 Summer Olympics?,-,-,Japan,-
"Which country won gold in Fencing Men's Sabre, Team in the 1924 Summer Olympics?",-,-,Italy,-
"Which country won gold in Fencing Men's epee, Team in the 1912 Summer Olympics?",-,-,Belgium,-
"Which country won gold in Fencing Men's epee, Individual in the 1912 Summer Olympics?",-,-,Belgium,-
"Which country won gold in Fencing Men's epee, Team in the 1912 Summer Olympics?",-,-,Belgium,-
Which country won gold in Water Polo Men's Water Polo in the 1952 Summer Olympics?,-,-,Hungary,-
Which country won gold in Basketball Men's Basketball in the 2008 Summer Olympics?,-,-,United States,-
Which country won gold in Basketball Men's Basketball in the 2012 Summer Olympics?,-,-,United States,-
Which country won gold in Basketball Men's Basketball in the 2016 Summer Olympics?,-,-,United States,-
Which country won gold in Rowing Men's Double Sculls in the 1992 Summer Olympics?,-,-,Australia,-
"Which country won gold in Wrestling Men's Lightweight, Freestyle in the 1920 Summer Olympics?",-,-,Finland,-
"Which country won gold in Wrestling Men's Featherweight, Greco-Roman in the 1924 Summer Olympics?",-,-,Finland,-
Which country won gold in Athletics Women's 400 metres Hurdles in the 2012 Summer Olympics?,-,-,Russia,-
Which country won gold in Hockey Men's Hockey in the 1968 Summer Olympics?,-,-,Pakistan,-
Which country won gold in Swimming Women's 100 metres Butterfly in the 1972 Summer Olympics?,-,-,Japan,-
"Which country won gold in Athletics Men's 5,000 metres in the 1984 Summer Olympics?",-,-,Morocco,-
Which country won gold in Volleyball Men's Volleyball in the 2012 Summer Olympics?,-,-,Russia,-
Which country won gold in Rowing Women's Coxed Fours in the 1984 Summer Olympics?,-,-,Romania,-
Which country won gold in Football Men's Football in the 2012 Summer Olympics?,-,-,Mexico,-
Which country won gold in Swimming Men's 4 x 200 metres Freestyle Relay in the 1936 Summer Olympics?,-,-,Japan,-
Which country won gold in Volleyball Women's Volleyball in the 1976 Summer Olympics?,-,-,Japan,-
Which country won gold in Water Polo Women's Water Polo in the 2004 Summer Olympics?,-,-,Italy,-
Which country won gold in Rowing Women's Coxless Pairs in the 1984 Summer Olympics?,-,-,Romania,-
Which country won gold in Rowing Women's Coxless Pairs in the 1988 Summer Olympics?,-,-,Romania,-
Which country won gold in Hockey Men's Hockey in the 1976 Summer Olympics?,-,-,New Zealand,-
"Which country won gold in Fencing Men's Sabre, Team in the 1984 Summer Olympics?",-,-,Italy,-
Which country won gold in Water Polo Men's Water Polo in the 1948 Summer Olympics?,-,-,Italy,-
Which country won gold in Rowing Men's Coxed Pairs in the 1936 Summer Olympics?,-,-,Germany,-
"Which country won gold in Equestrianism Mixed Three-Day Event, Team in the 1964 Summer Olympics?",-,-,Italy,-
"Which country won gold in Equestrianism Men's Three-Day Event, Team in the 1932 Summer Olympics?",-,-,United States,-
Which country won gold in Shooting Men's Trap in the 1920 Summer Olympics?,-,-,United States,-
"Which country won gold in Shooting Men's Trap, Team in the 1920 Summer Olympics?",-,-,United States,-
"Which country won gold in Cycling Men's Team Pursuit, 4,000 metres in the 1960 Summer Olympics?",-,-,Italy,-
Which country won gold in Football Men's Football in the 1924 Summer Olympics?,-,-,Uruguay,-
Which country won gold in Football Men's Football in the 1928 Summer Olympics?,-,-,Uruguay,-
Which country won gold in Volleyball Men's Volleyball in the 2016 Summer Olympics?,-,-,Brazil,-
Which country won gold in Athletics Men's 4 x 400 metres Relay in the 1984 Summer Olympics?,-,-,United States,-
Which country won gold in Athletics Men's 4 x 100 metres Relay in the 2008 Summer Olympics?,-,-,Trinidad and Tobago,-
Which country won gold in Water Polo Women's Water Polo in the 2012 Summer Olympics?,-,-,United States,-
Which country won gold in Swimming Men's 200 metres Freestyle in the 1988 Summer Olympics?,-,-,Australia,-
Which country won gold in Sailing Women's Two Person Dinghy in the 2000 Summer Olympics?,-,-,Australia,-
Which country won gold in Cycling Women's Individual Time Trial in the 2008 Summer Olympics?,-,-,United States,-
Which country won gold in Cycling Women's Individual Time Trial in the 2012 Summer Olympics?,-,-,United States,-
Which country won gold in Cycling Women's Individual Time Trial in the 2016 Summer Olympics?,-,-,United States,-
Which country won gold in Basketball Men's Basketball in the 1976 Summer Olympics?,-,-,United States,-
Which country won gold in Basketball Men's Basketball in the 1960 Summer Olympics?,-,-,United States,-
Which country won gold in Rowing Men's Coxless Fours in the 1956 Summer Olympics?,-,-,Canada,-
Which country won gold in Football Men's Football in the 1928 Summer Olympics?,-,-,Uruguay,-
Which country won gold in Baseball Men's Baseball in the 1992 Summer Olympics?,-,-,Cuba,-
Which country won gold in Swimming Women's 4 x 200 metres Freestyle Relay in the 2000 Summer Olympics?,-,-,United States,-
Which country won gold in Boxing Men's Welterweight in the 2004 Summer Olympics?,-,-,Kazakhstan,-
"Which country won gold in Fencing Men's epee, Team in the 1948 Summer Olympics?",-,-,France,-
Which country won gold in Swimming Men's 100 metres Butterfly in the 1980 Summer Olympics?,-,-,Sweden,-
"Which country won gold in Shooting Men's Running Target, Single Shot, Team in the 1912 Summer Olympics?",-,-,Sweden,-
Which country won gold in Weightlifting Men's Heavyweight in the 2008 Summer Olympics?,-,-,Belarus,-
Which country won gold in Modern Pentathlon Women's Individual in the 2012 Summer Olympics?,-,-,Lithuania,-
Which country won gold in Weightlifting Men's Light-Heavyweight in the 2004 Summer Olympics?,-,-,Georgia,-
Which country won gold in Athletics Men's 4 x 400 metres Relay in the 1972 Summer Olympics?,-,-,Kenya,-
Which country won gold in Gymnastics Men's Team All-Around in the 1908 Summer Olympics?,-,-,Sweden,-
"Which country won gold in Athletics Men's 3,000 metres Steeplechase in the 1952 Summer Olympics?",-,-,United States,-
Which country won gold in Athletics Women's 100 metres in the 1984 Summer Olympics?,-,-,United States,-
Which country won gold in Athletics Women's 4 x 100 metres Relay in the 1984 Summer Olympics?,-,-,United States,-
Which country won gold in Athletics Women's 4 x 100 metres Relay in the 1988 Summer Olympics?,-,-,United States,-
Which country won gold in Athletics Women's 4 x 100 metres Relay in the 1992 Summer Olympics?,-,-,United States,-
Which country won gold in Sailing Men's Windsurfer in the 2008 Summer Olympics?,-,-,New Zealand,-
Which country won gold in Athletics Men's 4 x 100 metres Relay in the 2016 Summer Olympics?,-,-,Jamaica,-
Which country won gold in Athletics Men's 4 x 100 metres Relay in the 1964 Summer Olympics?,-,-,United States,-
Which country won gold in Hockey Men's Hockey in the 1960 Summer Olympics?,-,-,Pakistan,-
Which country won gold in Hockey Men's Hockey in the 1932 Summer Olympics?,-,-,India,-
Which country won gold in Boxing Men's Light-Flyweight in the 2000 Summer Olympics?,-,-,France,-
"Which country won gold in Cycling Men's Team Pursuit, 4,000 metres in the 1968 Summer Olympics?",-,-,Denmark,-
"Which country won gold in Fencing Men's Foil, Team in the 2012 Summer Olympics?",-,-,Italy,-
Which country won gold in Handball Women's Handball in the 1996 Summer Olympics?,-,-,Denmark,-
"Which country won gold in Wrestling Men's Welterweight, Freestyle in the 1968 Summer Olympics?",-,-,Turkey,-
Which country won gold in Hockey Men's Hockey in the 1960 Summer Olympics?,-,-,Pakistan,-
"Which country won gold in Wrestling Men's Lightweight, Freestyle in the 1948 Summer Olympics?",-,-,Turkey,-
Which country won gold in Athletics Men's 110 metres Hurdles in the 1928 Summer Olympics?,-,-,South Africa,-
"Which country won gold in Wrestling Men's Light-Heavyweight, Freestyle in the 1960 Summer Olympics?",-,-,Turkey,-
Which country won gold in Water Polo Men's Water Polo in the 1992 Summer Olympics?,-,-,Italy,-
Which country won gold in Swimming Women's 4 x 100 metres Medley Relay in the 1972 Summer Olympics?,-,-,United States,-
Which country won gold in Boxing Men's Flyweight in the 1964 Summer Olympics?,-,-,Italy,-
"Which country won gold in Equestrianism Mixed Three-Day Event, Team in the 2012 Summer Olympics?",-,-,Germany,-
"Which country won gold in Cycling Men's Tandem Sprint, 2,000 metres in the 1908 Summer Olympics?",-,-,France,-
Which country won gold in Basketball Women's Basketball in the 2008 Summer Olympics?,-,-,United States,-
Which country won gold in Basketball Women's Basketball in the 2012 Summer Olympics?,-,-,United States,-
Which country won gold in Basketball Women's Basketball in the 2016 Summer Olympics?,-,-,United States,-
"Which country won gold in Croquet Mixed Singles, One Ball in the 1900 Summer Olympics?",-,-,France,-
