question,answer,filtered_answer,correct_answer,is_correct
What year was Bashar Al- Assad born?,-,-,1965,-
What year was Hafez Al- Assad born?,-,-,1930,-
What year was Olivier Assayas born?,-,-,1955,-
What year was Fred Astaire born?,-,-,1899,-
What year was Brooke Astor born?,-,-,1902,-
What year was Kemal Ataturk born?,-,-,1881,-
What year was Eileen Atkins born?,-,-,1934,-
What year was Mohamed Atta born?,-,-,1968,-
What year was Margaret Atwood born?,-,-,1939,-
What year was David Auburn born?,-,-,1969,-
What year was Wystan Hugh Auden born?,-,-,1907,-
What year was John James Audubon born?,-,-,1785,-
What year was Daw Aung San Suu Kyi born?,-,-,1945,-
What year was Geno Auriemma born?,-,-,1954,-
What year was Jane Austen born?,-,-,1775,-
What year was Paul Auster born?,-,-,1947,-
What year was Isabelle Autissier born?,-,-,1956,-
What year was Richard Avedon born?,-,-,1923,-
What year was Milton Avery born?,-,-,1885,-
What year was Sean Avery born?,-,-,1980,-
What year was Emanuel Ax born?,-,-,1949,-
What year was David Axelrod born?,-,-,1955,-
What year was Alan Ayckbourn born?,-,-,1939,-
What year was Ian Ayres born?,-,-,1959,-
What year was Paul Azinger born?,-,-,1960,-
What year was Jose Maria Aznar born?,-,-,1953,-
What year was Bruce Babbitt born?,-,-,1938,-
What year was Milton Babbitt born?,-,-,1916,-
What year was Lauren Bacall born?,-,-,1924,-
What year was Johann Sebastian Bach born?,-,-,1685,-
What year was Burt Bacharach born?,-,-,1928,-
What year was Kevin Bacon born?,-,-,1958,-
What year was Herman Badillo born?,-,-,1929,-
What year was Anthony Ramon Baez born?,-,-,1965,-
What year was Joan Baez born?,-,-,1941,-
What year was Bob Baffert born?,-,-,1953,-
What year was Matt Bai born?,-,-,1968,-
What year was Donovan Bailey born?,-,-,1967,-
What year was F Lee Bailey born?,-,-,1933,-
What year was Jerry Bailey born?,-,-,1957,-
What year was Jon Robin Baitz born?,-,-,1961,-
What year was Oksana Baiul born?,-,-,1977,-
What year was Dusty Baker born?,-,-,1949,-
What year was Howard H Jr Baker born?,-,-,1925,-
What year was James A III Baker born?,-,-,1930,-
What year was Nicholson Baker born?,-,-,1957,-
What year was Vin Baker born?,-,-,1971,-
What year was Joaquin Balaguer born?,-,-,1906,-
What year was George Balanchine born?,-,-,1904,-
What year was Letitia Baldrige born?,-,-,1926,-
What year was Alec Baldwin born?,-,-,1958,-
What year was William Baldwin born?,-,-,1963,-
What year was Christian Bale born?,-,-,1974,-
What year was Lucille Ball born?,-,-,1911,-
What year was Steven A Ballmer born?,-,-,1956,-
What year was David Baltimore born?,-,-,1938,-
What year was Shigeru Ban born?,-,-,1957,-
What year was Antonio Banderas born?,-,-,1960,-
What year was Russell Banks born?,-,-,1940,-
What year was Ehud Barak born?,-,-,1942,-
What year was Amiri Baraka born?,-,-,1934,-
What year was Christine Baranski born?,-,-,1952,-
What year was Samuel Barber born?,-,-,1910,-
What year was Tiki Barber born?,-,-,1975,-
What year was Haley Barbour born?,-,-,1947,-
What year was Javier Bardem born?,-,-,1969,-
What year was Brigitte Bardot born?,-,-,1934,-
What year was Daniel Barenboim born?,-,-,1942,-
What year was Marwan Barghouti born?,-,-,1959,-
What year was Charles Barkley born?,-,-,1963,-
What year was Erick Barkley born?,-,-,1978,-
What year was James L Barksdale born?,-,-,1943,-
What year was Albert C Barnes born?,-,-,1872,-
What year was Julian Barnes born?,-,-,1946,-
What year was Roy E Barnes born?,-,-,1948,-
What year was Gary Barnett born?,-,-,1946,-
What year was Matthew Barney born?,-,-,1967,-
What year was Mike Barnicle born?,-,-,1943,-
What year was Bob Barr born?,-,-,1948,-
What year was Charles Barron born?,-,-,1951,-
What year was Dave Barry born?,-,-,1947,-
What year was Marion S Jr Barry born?,-,-,1936,-
What year was Drew Barrymore born?,-,-,1974,-
What year was Charlene Barshefsky born?,-,-,1950,-
What year was David Barstow born?,-,-,1963,-
What year was Peter Bart born?,-,-,1932,-
What year was John Barth born?,-,-,1930,-
What year was Frederick Barthelme born?,-,-,1943,-
What year was Bruce Bartlett born?,-,-,1951,-
What year was Bela Bartok born?,-,-,1881,-
What year was Cecilia Bartoli born?,-,-,1966,-
What year was Mikhail Baryshnikov born?,-,-,1948,-
What year was Massoud Barzani born?,-,-,1946,-
What year was Shamil Basayev born?,-,-,1965,-
What year was Abu Bakar Bashir born?,-,-,1938,-
What year was Omar Hassan Al- Bashir born?,-,-,1944,-
What year was Kim Basinger born?,-,-,1953,-
What year was Joseph Bastianich born?,-,-,1968,-
What year was Mario Batali born?,-,-,1960,-
What year was John D Bates born?,-,-,1946,-
What year was Kathy Bates born?,-,-,1948,-
What year was Kathleen Battle born?,-,-,1948,-
What year was Deborah A Batts born?,-,-,1947,-
What year was Max Baucus born?,-,-,1941,-
What year was Gary L Bauer born?,-,-,1946,-
What year was Pina Bausch born?,-,-,1940,-
What year was Michael Bay born?,-,-,1965,-
What year was Evan Bayh born?,-,-,1955,-
What year was Don Baylor born?,-,-,1949,-
What year was Abraham D Beame born?,-,-,1906,-
What year was Billy Beane born?,-,-,1962,-
What year was Barry Bearak born?,-,-,1949,-
What year was Milt Bearden born?,-,-,1940,-
What year was Romare Bearden born?,-,-,1911,-
What year was Ann Beattie born?,-,-,1947,-
What year was Warren Beatty born?,-,-,1937,-
What year was Steve Bechler born?,-,-,1979,-
What year was Boris Becker born?,-,-,1967,-
What year was Samuel Beckett born?,-,-,1906,-
What year was David Beckham born?,-,-,1975,-
What year was Kate Beckinsale born?,-,-,1973,-
What year was Max Beckmann born?,-,-,1884,-
What year was Geoffrey Beene born?,-,-,1924,-
What year was Ludwig van Beethoven born?,-,-,1770,-
What year was Paul Begala born?,-,-,1961,-
What year was Louis Begley born?,-,-,1933,-
What year was Yossi Beilin born?,-,-,1948,-
What year was Harry Belafonte born?,-,-,1927,-
What year was Bill Belichick born?,-,-,1952,-
What year was Derrick Bell born?,-,-,1930,-
What year was Joshua Bell born?,-,-,1967,-
What year was Ginia Bellafante born?,-,-,1965,-
What year was Carol Bellamy born?,-,-,1942,-
What year was Albert Belle born?,-,-,1966,-
What year was Saul Bellow born?,-,-,1915,-
What year was Jean-Pierre Bemba born?,-,-,1962,-
What year was Andy Benes born?,-,-,1967,-
What year was Roberto Benigni born?,-,-,1952,-
What year was Annette Bening born?,-,-,1958,-
What year was Armando Benitez born?,-,-,1972,-
What year was Alan Bennett born?,-,-,1934,-
What year was John O Bennett born?,-,-,1948,-
What year was Robert S Bennett born?,-,-,1939,-
What year was Tony Bennett born?,-,-,1926,-
What year was William J Bennett born?,-,-,1943,-
What year was Lori Helene Berenson born?,-,-,1969,-
What year was Yelena Berezhnaya born?,-,-,1977,-
What year was Alban Berg born?,-,-,1885,-
What year was Candice Bergen born?,-,-,1946,-
What year was Samuel R Berger born?,-,-,1945,-
What year was Ingmar Bergman born?,-,-,1918,-
What year was Luciano Berio born?,-,-,1925,-
What year was Sali Berisha born?,-,-,1944,-
What year was Steven Berkoff born?,-,-,1937,-
What year was Ira Berkow born?,-,-,1940,-
What year was David Berkowitz born?,-,-,1953,-
What year was Milton Berle born?,-,-,1908,-
What year was Irving Berlin born?,-,-,1888,-
What year was Isaiah Berlin born?,-,-,1909,-
What year was Hector Berlioz born?,-,-,1803,-
What year was Silvio Berlusconi born?,-,-,1936,-
What year was Howard L Berman born?,-,-,1941,-
What year was Paul Berman born?,-,-,1949,-
What year was Ben S Bernanke born?,-,-,1953,-
What year was Joseph Bernardin born?,-,-,1928,-
What year was Anne Bernays born?,-,-,1930,-
What year was Sandra Bernhard born?,-,-,1955,-
What year was Carl Bernstein born?,-,-,1944,-
What year was Jared Bernstein born?,-,-,1955,-
What year was Leonard Bernstein born?,-,-,1918,-
What year was Richard Bernstein born?,-,-,1944,-
What year was Yogi Berra born?,-,-,1925,-
What year was Chuck Berry born?,-,-,1926,-
What year was Halle Berry born?,-,-,1966,-
What year was Mary Frances Berry born?,-,-,1938,-
What year was Bernardo Bertolucci born?,-,-,1940,-
What year was Todd Bertuzzi born?,-,-,1975,-
What year was Michael R Beschloss born?,-,-,1955,-
What year was Ingrid Betancourt born?,-,-,1961,-
What year was Jerome Bettis born?,-,-,1972,-
What year was Gary Bettman born?,-,-,1952,-
What year was Jeffrey L Bewkes born?,-,-,1952,-
What year was Jeffrey P Bezos born?,-,-,1964,-
What year was Jagdish Bhagwati born?,-,-,1934,-
What year was Benazir Bhutto born?,-,-,1953,-
What year was Joseph R Jr Biden born?,-,-,1942,-
What year was Carl Bildt born?,-,-,1949,-
What year was Brian Billick born?,-,-,1954,-
What year was James H Billington born?,-,-,1929,-
What year was Osama Bin Laden born?,-,-,1957,-
What year was Rudolf Bing born?,-,-,1902,-
What year was Jeff Bingaman born?,-,-,1943,-
What year was Juliette Binoche born?,-,-,1964,-
What year was Larry Bird born?,-,-,1956,-
What year was Mark Bittman born?,-,-,1950,-
What year was Georges Bizet born?,-,-,1838,-
What year was Conrad M Black born?,-,-,1944,-
What year was Harry A Blackmun born?,-,-,1908,-
What year was Rod R Blagojevich born?,-,-,1956,-
What year was Manolo Blahnik born?,-,-,1942,-
What year was David Blaine born?,-,-,1973,-
What year was Cherie Blair born?,-,-,1954,-
What year was Tony Blair born?,-,-,1953,-
What year was Cate Blanchett born?,-,-,1969,-
What year was Kathleen Babineaux Blanco born?,-,-,1942,-
What year was Lloyd C Blankfein born?,-,-,1954,-
What year was Drew Bledsoe born?,-,-,1972,-
What year was Lee Blessing born?,-,-,1949,-
What year was Mary J Blige born?,-,-,1971,-
What year was Alan S Blinder born?,-,-,1945,-
What year was Hans Blix born?,-,-,1928,-
What year was Frederic Block born?,-,-,1934,-
What year was Lawrence Block born?,-,-,1938,-
What year was Henry Blodget born?,-,-,1966,-
What year was Claire Bloom born?,-,-,1931,-
What year was Harold Bloom born?,-,-,1930,-
What year was Michael R Bloomberg born?,-,-,1942,-
What year was Judy Blume born?,-,-,1938,-
What year was Richard Blumenthal born?,-,-,1946,-
What year was Sidney Blumenthal born?,-,-,1948,-
What year was David Blunkett born?,-,-,1947,-
What year was Peter Boal born?,-,-,1965,-
What year was Julio Bocca born?,-,-,1967,-
What year was Andrea Bocelli born?,-,-,1958,-
What year was Steven Bochco born?,-,-,1943,-
What year was John A Boehner born?,-,-,1949,-
What year was Anne Bogart born?,-,-,1951,-
What year was Humphrey Bogart born?,-,-,1899,-
What year was Walt Bogdanich born?,-,-,1950,-
What year was Peter Bogdanovich born?,-,-,1939,-
What year was Wade Boggs born?,-,-,1958,-
What year was John C Bogle born?,-,-,1929,-
What year was Eric Bogosian born?,-,-,1953,-
What year was David Boies born?,-,-,1941,-
What year was Derek Bok born?,-,-,1930,-
What year was William Bolcom born?,-,-,1938,-
What year was Lee C Bollinger born?,-,-,1946,-
What year was Usain Bolt born?,-,-,1986,-
What year was Joshua B Bolten born?,-,-,1954,-
What year was John R Bolton born?,-,-,1948,-
What year was Jon Bon Jovi born?,-,-,1962,-
What year was Christopher S Bond born?,-,-,1939,-
What year was Julian Bond born?,-,-,1940,-
What year was David Bonderman born?,-,-,1942,-
What year was Barry Bonds born?,-,-,1964,-
What year was Bobby Bonilla born?,-,-,1963,-
What year was David E Bonior born?,-,-,1945,-
What year was Pierre Bonnard born?,-,-,1867,-
What year was Raymond Bonner born?,-,-,1942,-
What year was Barbara Bonney born?,-,-,1956,-
What year was Sonny Bono born?,-,-,1935,-
What year was Cory A Booker born?,-,-,1969,-
What year was Aaron Boone born?,-,-,1973,-
What year was Jeremy M Boorda born?,-,-,1939,-
What year was Max Boot born?,-,-,1969,-
What year was Scott Boras born?,-,-,1952,-
What year was Victor Borge born?,-,-,1909,-
What year was Robert H Bork born?,-,-,1927,-
What year was Pavel P Borodin born?,-,-,1946,-
What year was Olga Borodina born?,-,-,1963,-
What year was Philip Bosco born?,-,-,1930,-
What year was Umberto Bossi born?,-,-,1941,-
What year was Lawrence A Bossidy born?,-,-,1935,-
What year was Ian Bostridge born?,-,-,1964,-
What year was Francois Botha born?,-,-,1968,-
What year was P W Botha born?,-,-,1916,-
What year was Leon Botstein born?,-,-,1946,-
What year was Lucien Bouchard born?,-,-,1938,-
What year was Kathy Boudin born?,-,-,1943,-
What year was Donald J Boudreaux born?,-,-,1958,-
What year was David Bouley born?,-,-,1953,-
What year was Pierre Boulez born?,-,-,1925,-
What year was Daniel Boulud born?,-,-,1955,-
What year was Louise Bourgeois born?,-,-,1911,-
What year was Matthew Bourne born?,-,-,1960,-
What year was Ray Bourque born?,-,-,1960,-
What year was Abdelaziz Bouteflika born?,-,-,1937,-
What year was Jim Bouton born?,-,-,1939,-
What year was Boutros Boutros-Ghali born?,-,-,1922,-
What year was Bobby Bowden born?,-,-,1929,-
What year was Riddick Bowe born?,-,-,1967,-
What year was William G Bowen born?,-,-,1933,-
What year was David Bowie born?,-,-,1947,-
What year was Erskine B Bowles born?,-,-,1945,-
What year was Scotty Bowman born?,-,-,1933,-
What year was Barbara Boxer born?,-,-,1940,-
What year was Danny Boyle born?,-,-,1956,-
What year was T Coraghessan Boyle born?,-,-,1948,-
What year was Lorraine Bracco born?,-,-,1954,-
What year was Ray Bradbury born?,-,-,1920,-
What year was Bill Bradley born?,-,-,1943,-
What year was James S Brady born?,-,-,1940,-
What year was Tom Brady born?,-,-,1977,-
What year was Benjamin Brafman born?,-,-,1948,-
What year was Michael J Bragman born?,-,-,1940,-
What year was Lakhdar Brahimi born?,-,-,1934,-
What year was Johannes Brahms born?,-,-,1833,-
What year was Kenneth Branagh born?,-,-,1960,-
What year was Ralph Branca born?,-,-,1926,-
What year was Elton Brand born?,-,-,1979,-
What year was Myles Brand born?,-,-,1942,-
What year was Marlon Brando born?,-,-,1924,-
What year was Richard Branson born?,-,-,1950,-
What year was Ben Brantley born?,-,-,1954,-
What year was William J Bratton born?,-,-,1947,-
What year was Peter Braunstein born?,-,-,1964,-
What year was Tawana Brawley born?,-,-,1972,-
What year was John B Breaux born?,-,-,1944,-
What year was Bertolt Brecht born?,-,-,1898,-
What year was Richard C Breeden born?,-,-,1949,-
What year was L Paul III Bremer born?,-,-,1941,-
What year was Alfred Brendel born?,-,-,1931,-
What year was Robert E Brennan born?,-,-,1944,-
What year was Jimmy Breslin born?,-,-,1930,-
What year was Stephen G Breyer born?,-,-,1938,-
What year was Jeff Bridges born?,-,-,1949,-
What year was Shannon Briggs born?,-,-,1971,-
What year was Sergey Brin born?,-,-,1973,-
What year was Leonie M Brinkema born?,-,-,1944,-
What year was David Brinkley born?,-,-,1920,-
What year was Douglas Brinkley born?,-,-,1960,-
What year was Benjamin Britten born?,-,-,1913,-
What year was Eli Broad born?,-,-,1933,-
What year was William J Broad born?,-,-,1951,-
What year was David Brock born?,-,-,1962,-
What year was Matthew Broderick born?,-,-,1962,-
What year was Martin Brodeur born?,-,-,1972,-
What year was Joseph Brodsky born?,-,-,1940,-
What year was Richard L Brodsky born?,-,-,1946,-
What year was Adrien Brody born?,-,-,1973,-
What year was Jane E Brody born?,-,-,1941,-
What year was Tom Brokaw born?,-,-,1940,-
What year was Yefim Bronfman born?,-,-,1958,-
What year was Ethan Bronner born?,-,-,1954,-
What year was Peter Brook born?,-,-,1925,-
What year was Richard Brookhiser born?,-,-,1955,-
What year was Anita Brookner born?,-,-,1928,-
What year was Albert Brooks born?,-,-,1947,-
What year was Garth Brooks born?,-,-,1962,-
What year was Herb Brooks born?,-,-,1937,-
What year was Mel Brooks born?,-,-,1926,-
What year was Scott Brosius born?,-,-,1966,-
What year was Pierce Brosnan born?,-,-,1953,-
What year was Chris Broussard born?,-,-,1968,-
What year was Blair Brown born?,-,-,1947,-
What year was Dan Brown born?,-,-,1964,-
What year was David M Brown born?,-,-,1956,-
What year was Gordon Brown born?,-,-,1951,-
What year was James Brown born?,-,-,1933,-
What year was Janice Rogers Brown born?,-,-,1949,-
What year was Jason Robert Brown born?,-,-,1970,-
What year was Lee P Brown born?,-,-,1937,-
What year was Tina Brown born?,-,-,1953,-
What year was Trisha Brown born?,-,-,1936,-
What year was Sam Brownback born?,-,-,1956,-
What year was Carol M Browner born?,-,-,1955,-
What year was Lenny Bruce born?,-,-,1925,-
What year was Jerry Bruckheimer born?,-,-,1943,-
What year was D J R Bruckner born?,-,-,1933,-
What year was Sergi Bruguera born?,-,-,1971,-
What year was Gro Harlem Brundtland born?,-,-,1939,-
What year was Mark Brunell born?,-,-,1970,-
What year was Frank Bruni born?,-,-,1964,-
What year was Joseph L Bruno born?,-,-,1929,-
What year was Robert Brustein born?,-,-,1927,-
What year was John Bruton born?,-,-,1947,-
What year was Kobe Bryant born?,-,-,1978,-
What year was Bill Bryson born?,-,-,1951,-
What year was Zbigniew Brzezinski born?,-,-,1928,-
What year was Patrick J Buchanan born?,-,-,1938,-
What year was Art Buchwald born?,-,-,1925,-
What year was Betty Buckley born?,-,-,1947,-
What year was Gene Budig born?,-,-,1939,-
What year was Jimmy Buffett born?,-,-,1946,-
What year was Warren E Buffett born?,-,-,1930,-
What year was Sandra Bullock born?,-,-,1964,-
What year was Elisabeth Bumiller born?,-,-,1956,-
What year was Dale Bumpers born?,-,-,1925,-
What year was Jim Bunning born?,-,-,1931,-
What year was Pavel Bure born?,-,-,1971,-
What year was Martha Burk born?,-,-,1941,-
What year was James Lee Burke born?,-,-,1936,-
What year was Carol Burnett born?,-,-,1933,-
What year was Mark Burnett born?,-,-,1960,-
What year was Jeromy Burnitz born?,-,-,1969,-
What year was Conrad Burns born?,-,-,1935,-
What year was Edward Burns born?,-,-,1968,-
What year was George Burns born?,-,-,1896,-
What year was John F Burns born?,-,-,1944,-
What year was Ken Burns born?,-,-,1953,-
What year was Ric Burns born?,-,-,1955,-
What year was Aaron Burr born?,-,-,1756,-
What year was Garland Jr Burrell born?,-,-,1947,-
What year was Plaxico Burress born?,-,-,1977,-
What year was Roland W Burris born?,-,-,1937,-
What year was William S Burroughs born?,-,-,1914,-
What year was Ellen Burstyn born?,-,-,1932,-
What year was Dan Burton born?,-,-,1938,-
What year was Tim Burton born?,-,-,1958,-
What year was Ian Buruma born?,-,-,1951,-
What year was Steve Buscemi born?,-,-,1957,-
What year was Charles Busch born?,-,-,1954,-
What year was Kurt Busch born?,-,-,1978,-
What year was Barbara Bush born?,-,-,1925,-
What year was George Bush born?,-,-,1924,-
What year was George W Bush born?,-,-,1946,-
What year was Jeb Bush born?,-,-,1953,-
What year was Jenna Bush born?,-,-,1981,-
What year was Laura Bush born?,-,-,1946,-
What year was Neil Bush born?,-,-,1955,-
What year was Candace Bushnell born?,-,-,1958,-
What year was Cruz Bustamante born?,-,-,1953,-
What year was Fox Butterfield born?,-,-,1939,-
What year was Pierre Buyoya born?,-,-,1949,-
What year was A S Byatt born?,-,-,1936,-
What year was Robert C Byrd born?,-,-,1917,-
What year was David Byrne born?,-,-,1952,-
What year was Gabriel Byrne born?,-,-,1950,-
What year was Ramzi bin al-Shibh born?,-,-,1972,-
What year was Melky Cabrera born?,-,-,1984,-
What year was Sid Caesar born?,-,-,1922,-
What year was John Cage born?,-,-,1912,-
What year was Nicolas Cage born?,-,-,1964,-
What year was Michael Caine born?,-,-,1933,-
What year was Byron Calame born?,-,-,1939,-
What year was Santiago Calatrava born?,-,-,1951,-
What year was Mark Calcavecchia born?,-,-,1960,-
What year was Alexander Calder born?,-,-,1898,-
What year was Felipe Calderon born?,-,-,1962,-
What year was Jim Calhoun born?,-,-,1942,-
What year was John Calipari born?,-,-,1959,-
What year was Maria Callas born?,-,-,1923,-
What year was Ann Hampton Callaway born?,-,-,1958,-
What year was Hector Camacho born?,-,-,1962,-
What year was Marcus Camby born?,-,-,1974,-
What year was Michel Camdessus born?,-,-,1933,-
What year was David Cameron born?,-,-,1966,-
What year was James Cameron born?,-,-,1954,-
What year was Mike Cameron born?,-,-,1973,-
What year was Ben Nighthorse Campbell born?,-,-,1933,-
What year was Jane Campion born?,-,-,1954,-
What year was Albert Camus born?,-,-,1913,-
What year was Geoffrey Canada born?,-,-,1952,-
What year was Charles T Canady born?,-,-,1954,-
What year was Robinson Cano born?,-,-,1982,-
What year was Jose Canseco born?,-,-,1964,-
What year was Maria Cantwell born?,-,-,1958,-
What year was Mary Cantwell born?,-,-,1930,-
What year was Michael D Capellas born?,-,-,1955,-
What year was Truman Capote born?,-,-,1924,-
What year was Jennifer Capriati born?,-,-,1976,-
What year was Philip Caputo born?,-,-,1941,-
What year was Harry Caray born?,-,-,1914,-
What year was Andrew H Jr Card born?,-,-,1947,-
What year was Cuauhtemoc Cardenas born?,-,-,1934,-
What year was Gerald Cardinale born?,-,-,1934,-
What year was Fernando Henrique Cardoso born?,-,-,1931,-
What year was Steve Carell born?,-,-,1962,-
What year was Benedict Carey born?,-,-,1960,-
What year was Hugh L Carey born?,-,-,1919,-
What year was Mariah Carey born?,-,-,1969,-
What year was P J Carlesimo born?,-,-,1949,-
What year was George Carlin born?,-,-,1937,-
What year was Tucker Carlson born?,-,-,1969,-
