,statement,label,city,country,correct_country,question,question_with_answer
17,The city of Krouson is in Greece.,1,Krouson,Greece,Greece,In which country is the city of Krouson located?,In which country is the city of Krouson located? Greece.
18,The city of Ribatejada is in Spain.,1,Ribatejada,Spain,Spain,In which country is the city of Ribatejada located?,In which country is the city of Ribatejada located? Spain.
19,The city of Santo Domingo Petapa is in Mexico.,1,Santo Domingo Petapa,Mexico,Mexico,In which country is the city of Santo Domingo Petapa located?,In which country is the city of Santo Domingo Petapa located? Mexico.
20,The city of Triberg is in Germany.,1,Triberg,Germany,Germany,In which country is the city of Triberg located?,In which country is the city of Triberg located? Germany.
21,The city of Goulia is in Côte d'Ivoire.,1,Goulia,Côte d'Ivoire,Côte d'Ivoire,In which country is the city of Goulia located?,In which country is the city of Goulia located? Côte d'Ivoire.
22,The city of Seglingen is in Switzerland.,1,Seglingen,Switzerland,Switzerland,In which country is the city of Seglingen located?,In which country is the city of Seglingen located? Switzerland.
23,The city of Matawan is in United States.,1,Matawan,United States,United States,In which country is the city of Matawan located?,In which country is the city of Matawan located? United States.
24,The city of Champlan is in France.,1,Champlan,France,France,In which country is the city of Champlan located?,In which country is the city of Champlan located? France.
25,The city of Henfenfeld is in Germany.,1,Henfenfeld,Germany,Germany,In which country is the city of Henfenfeld located?,In which country is the city of Henfenfeld located? Germany.
26,The city of Airole is in Italy.,1,Airole,Italy,Italy,In which country is the city of Airole located?,In which country is the city of Airole located? Italy.
27,The city of Ninghe is in China.,1,Ninghe,China,China,In which country is the city of Ninghe located?,In which country is the city of Ninghe located? China.
28,The city of Gangarampur is in India.,1,Gangarampur,India,India,In which country is the city of Gangarampur located?,In which country is the city of Gangarampur located? India.
29,The city of Ceceluibo is in Côte d'Ivoire.,1,Ceceluibo,Côte d'Ivoire,Côte d'Ivoire,In which country is the city of Ceceluibo located?,In which country is the city of Ceceluibo located? Côte d'Ivoire.
30,The city of Pleven is in Bulgaria.,1,Pleven,Bulgaria,Bulgaria,In which country is the city of Pleven located?,In which country is the city of Pleven located? Bulgaria.
31,The city of Meira is in Spain.,1,Meira,Spain,Spain,In which country is the city of Meira located?,In which country is the city of Meira located? Spain.
32,The city of Ottensoos is in Germany.,1,Ottensoos,Germany,Germany,In which country is the city of Ottensoos located?,In which country is the city of Ottensoos located? Germany.
33,"The city of sedeyen-e Yek is in Iran, Islamic Rep. of.",1,sedeyen-e Yek,"Iran, Islamic Rep. of","Iran, Islamic Rep. of",In which country is the city of sedeyen-e Yek located?,"In which country is the city of sedeyen-e Yek located? Iran, Islamic Rep. of."
34,The city of Hindisheim is in France.,1,Hindisheim,France,France,In which country is the city of Hindisheim located?,In which country is the city of Hindisheim located? France.
35,The city of Malville is in France.,1,Malville,France,France,In which country is the city of Malville located?,In which country is the city of Malville located? France.
36,"The city of Barah is in Sudan, The Republic of.",1,Barah,"Sudan, The Republic of","Sudan, The Republic of",In which country is the city of Barah located?,"In which country is the city of Barah located? Sudan, The Republic of."
37,The city of Livingston Manor is in United States.,1,Livingston Manor,United States,United States,In which country is the city of Livingston Manor located?,In which country is the city of Livingston Manor located? United States.
38,The city of Przecieszyn is in Poland.,1,Przecieszyn,Poland,Poland,In which country is the city of Przecieszyn located?,In which country is the city of Przecieszyn located? Poland.
39,The city of Diahouin is in Côte d'Ivoire.,1,Diahouin,Côte d'Ivoire,Côte d'Ivoire,In which country is the city of Diahouin located?,In which country is the city of Diahouin located? Côte d'Ivoire.
40,The city of Gilly-sur-Isere is in France.,1,Gilly-sur-Isere,France,France,In which country is the city of Gilly-sur-Isere located?,In which country is the city of Gilly-sur-Isere located? France.
41,"The city of Osan is in Korea, Republic of.",1,Osan,"Korea, Republic of","Korea, Republic of",In which country is the city of Osan located?,"In which country is the city of Osan located? Korea, Republic of."
42,The city of Itaguacu is in Brazil.,1,Itaguacu,Brazil,Brazil,In which country is the city of Itaguacu located?,In which country is the city of Itaguacu located? Brazil.
43,The city of Podgorodnyaya Pokrovka is in Russian Federation.,1,Podgorodnyaya Pokrovka,Russian Federation,Russian Federation,In which country is the city of Podgorodnyaya Pokrovka located?,In which country is the city of Podgorodnyaya Pokrovka located? Russian Federation.
44,The city of Costestii din Vale is in Romania.,1,Costestii din Vale,Romania,Romania,In which country is the city of Costestii din Vale located?,In which country is the city of Costestii din Vale located? Romania.
45,The city of Drajna de Sus is in Romania.,1,Drajna de Sus,Romania,Romania,In which country is the city of Drajna de Sus located?,In which country is the city of Drajna de Sus located? Romania.
46,The city of Arc-sur-Tille is in France.,1,Arc-sur-Tille,France,France,In which country is the city of Arc-sur-Tille located?,In which country is the city of Arc-sur-Tille located? France.
47,The city of Boimorto is in Spain.,1,Boimorto,Spain,Spain,In which country is the city of Boimorto located?,In which country is the city of Boimorto located? Spain.
48,The city of Vallelonga is in Italy.,1,Vallelonga,Italy,Italy,In which country is the city of Vallelonga located?,In which country is the city of Vallelonga located? Italy.
49,The city of Warana is in Australia.,1,Warana,Australia,Australia,In which country is the city of Warana located?,In which country is the city of Warana located? Australia.
50,"The city of Al Hasaheisa is in Sudan, The Republic of.",1,Al Hasaheisa,"Sudan, The Republic of","Sudan, The Republic of",In which country is the city of Al Hasaheisa located?,"In which country is the city of Al Hasaheisa located? Sudan, The Republic of."
51,The city of Tulillos de Abajo is in Mexico.,1,Tulillos de Abajo,Mexico,Mexico,In which country is the city of Tulillos de Abajo located?,In which country is the city of Tulillos de Abajo located? Mexico.
52,The city of Hoyos del Collado is in Spain.,1,Hoyos del Collado,Spain,Spain,In which country is the city of Hoyos del Collado located?,In which country is the city of Hoyos del Collado located? Spain.
53,The city of Lake Arthur is in United States.,1,Lake Arthur,United States,United States,In which country is the city of Lake Arthur located?,In which country is the city of Lake Arthur located? United States.
54,The city of Budenovetc is in Russian Federation.,1,Budenovetc,Russian Federation,Russian Federation,In which country is the city of Budenovetc located?,In which country is the city of Budenovetc located? Russian Federation.
55,The city of San Rafael Tlanalapan is in Mexico.,1,San Rafael Tlanalapan,Mexico,Mexico,In which country is the city of San Rafael Tlanalapan located?,In which country is the city of San Rafael Tlanalapan located? Mexico.
56,The city of Knaphill is in United Kingdom.,1,Knaphill,United Kingdom,United Kingdom,In which country is the city of Knaphill located?,In which country is the city of Knaphill located? United Kingdom.
57,The city of Mansura is in United States.,1,Mansura,United States,United States,In which country is the city of Mansura located?,In which country is the city of Mansura located? United States.
58,The city of Haggenschwil is in Switzerland.,1,Haggenschwil,Switzerland,Switzerland,In which country is the city of Haggenschwil located?,In which country is the city of Haggenschwil located? Switzerland.
59,The city of Ostrov u Macochy is in Czech Republic.,1,Ostrov u Macochy,Czech Republic,Czech Republic,In which country is the city of Ostrov u Macochy located?,In which country is the city of Ostrov u Macochy located? Czech Republic.
60,The city of Dolavon is in Argentina.,1,Dolavon,Argentina,Argentina,In which country is the city of Dolavon located?,In which country is the city of Dolavon located? Argentina.
61,The city of Suaqui Grande is in Mexico.,1,Suaqui Grande,Mexico,Mexico,In which country is the city of Suaqui Grande located?,In which country is the city of Suaqui Grande located? Mexico.
62,The city of Gerzen is in Germany.,1,Gerzen,Germany,Germany,In which country is the city of Gerzen located?,In which country is the city of Gerzen located? Germany.
63,The city of Agueda is in Portugal.,1,Agueda,Portugal,Portugal,In which country is the city of Agueda located?,In which country is the city of Agueda located? Portugal.
64,The city of Laigneville is in France.,1,Laigneville,France,France,In which country is the city of Laigneville located?,In which country is the city of Laigneville located? France.
65,The city of Loanda is in Brazil.,1,Loanda,Brazil,Brazil,In which country is the city of Loanda located?,In which country is the city of Loanda located? Brazil.
66,The city of Al Judayyidah is in West Bank and Gaza Strip.,1,Al Judayyidah,West Bank and Gaza Strip,West Bank and Gaza Strip,In which country is the city of Al Judayyidah located?,In which country is the city of Al Judayyidah located? West Bank and Gaza Strip.
67,The city of Suket is in India.,1,Suket,India,India,In which country is the city of Suket located?,In which country is the city of Suket located? India.
68,The city of Hipstedt is in Germany.,1,Hipstedt,Germany,Germany,In which country is the city of Hipstedt located?,In which country is the city of Hipstedt located? Germany.
69,The city of Surrey Downs is in Australia.,1,Surrey Downs,Australia,Australia,In which country is the city of Surrey Downs located?,In which country is the city of Surrey Downs located? Australia.
70,The city of Santa Maria del Tule is in Mexico.,1,Santa Maria del Tule,Mexico,Mexico,In which country is the city of Santa Maria del Tule located?,In which country is the city of Santa Maria del Tule located? Mexico.
71,The city of Tsuyama is in Japan.,1,Tsuyama,Japan,Japan,In which country is the city of Tsuyama located?,In which country is the city of Tsuyama located? Japan.
72,The city of Kyllburg is in Germany.,1,Kyllburg,Germany,Germany,In which country is the city of Kyllburg located?,In which country is the city of Kyllburg located? Germany.
73,The city of Mathangwane is in Botswana.,1,Mathangwane,Botswana,Botswana,In which country is the city of Mathangwane located?,In which country is the city of Mathangwane located? Botswana.
74,The city of Achotal de Moreno is in Mexico.,1,Achotal de Moreno,Mexico,Mexico,In which country is the city of Achotal de Moreno located?,In which country is the city of Achotal de Moreno located? Mexico.
75,The city of Umm Qasr is in Iraq.,1,Umm Qasr,Iraq,Iraq,In which country is the city of Umm Qasr located?,In which country is the city of Umm Qasr located? Iraq.
76,The city of Berriane is in Algeria.,1,Berriane,Algeria,Algeria,In which country is the city of Berriane located?,In which country is the city of Berriane located? Algeria.
77,The city of Friockheim is in United Kingdom.,1,Friockheim,United Kingdom,United Kingdom,In which country is the city of Friockheim located?,In which country is the city of Friockheim located? United Kingdom.
78,The city of Borowa is in Poland.,1,Borowa,Poland,Poland,In which country is the city of Borowa located?,In which country is the city of Borowa located? Poland.
79,"The city of Hoemul-li is in Korea, Dem. People's Rep. of.",1,Hoemul-li,"Korea, Dem. People's Rep. of","Korea, Dem. People's Rep. of",In which country is the city of Hoemul-li located?,"In which country is the city of Hoemul-li located? Korea, Dem. People's Rep. of."
80,The city of UEnye is in Turkey.,1,UEnye,Turkey,Turkey,In which country is the city of UEnye located?,In which country is the city of UEnye located? Turkey.
81,The city of Murazzano is in Italy.,1,Murazzano,Italy,Italy,In which country is the city of Murazzano located?,In which country is the city of Murazzano located? Italy.
82,The city of Pellworm is in Germany.,1,Pellworm,Germany,Germany,In which country is the city of Pellworm located?,In which country is the city of Pellworm located? Germany.
83,The city of Seleho is in Côte d'Ivoire.,1,Seleho,Côte d'Ivoire,Côte d'Ivoire,In which country is the city of Seleho located?,In which country is the city of Seleho located? Côte d'Ivoire.
84,The city of Bergasa is in Spain.,1,Bergasa,Spain,Spain,In which country is the city of Bergasa located?,In which country is the city of Bergasa located? Spain.
85,The city of Ngunnawal is in Australia.,1,Ngunnawal,Australia,Australia,In which country is the city of Ngunnawal located?,In which country is the city of Ngunnawal located? Australia.
86,The city of Taktaharkany is in Hungary.,1,Taktaharkany,Hungary,Hungary,In which country is the city of Taktaharkany located?,In which country is the city of Taktaharkany located? Hungary.
87,The city of Pyhaeselkae is in Finland.,1,Pyhaeselkae,Finland,Finland,In which country is the city of Pyhaeselkae located?,In which country is the city of Pyhaeselkae located? Finland.
88,The city of Tarsia is in Italy.,1,Tarsia,Italy,Italy,In which country is the city of Tarsia located?,In which country is the city of Tarsia located? Italy.
89,The city of Civens is in France.,1,Civens,France,France,In which country is the city of Civens located?,In which country is the city of Civens located? France.
90,The city of Vegacervera is in Spain.,1,Vegacervera,Spain,Spain,In which country is the city of Vegacervera located?,In which country is the city of Vegacervera located? Spain.
91,The city of Saint-Maximin-la-Sainte-Baume is in France.,1,Saint-Maximin-la-Sainte-Baume,France,France,In which country is the city of Saint-Maximin-la-Sainte-Baume located?,In which country is the city of Saint-Maximin-la-Sainte-Baume located? France.
92,The city of Belomorsk is in Russian Federation.,1,Belomorsk,Russian Federation,Russian Federation,In which country is the city of Belomorsk located?,In which country is the city of Belomorsk located? Russian Federation.
93,The city of Kenzingen is in Germany.,1,Kenzingen,Germany,Germany,In which country is the city of Kenzingen located?,In which country is the city of Kenzingen located? Germany.
94,The city of Al Badhan is in West Bank and Gaza Strip.,1,Al Badhan,West Bank and Gaza Strip,West Bank and Gaza Strip,In which country is the city of Al Badhan located?,In which country is the city of Al Badhan located? West Bank and Gaza Strip.
95,The city of Ondarroa is in Spain.,1,Ondarroa,Spain,Spain,In which country is the city of Ondarroa located?,In which country is the city of Ondarroa located? Spain.
96,The city of Sedlec is in Czech Republic.,1,Sedlec,Czech Republic,Czech Republic,In which country is the city of Sedlec located?,In which country is the city of Sedlec located? Czech Republic.
97,The city of Zacango is in Mexico.,1,Zacango,Mexico,Mexico,In which country is the city of Zacango located?,In which country is the city of Zacango located? Mexico.
98,The city of Borgetto is in Italy.,1,Borgetto,Italy,Italy,In which country is the city of Borgetto located?,In which country is the city of Borgetto located? Italy.
99,The city of Huermeces is in Spain.,1,Huermeces,Spain,Spain,In which country is the city of Huermeces located?,In which country is the city of Huermeces located? Spain.
100,The city of Scharbeutz is in Germany.,1,Scharbeutz,Germany,Germany,In which country is the city of Scharbeutz located?,In which country is the city of Scharbeutz located? Germany.
101,The city of West Kingsdown is in United Kingdom.,1,West Kingsdown,United Kingdom,United Kingdom,In which country is the city of West Kingsdown located?,In which country is the city of West Kingsdown located? United Kingdom.
102,The city of Chiroqchi is in Uzbekistan.,1,Chiroqchi,Uzbekistan,Uzbekistan,In which country is the city of Chiroqchi located?,In which country is the city of Chiroqchi located? Uzbekistan.
103,The city of Grand Centre is in Canada.,1,Grand Centre,Canada,Canada,In which country is the city of Grand Centre located?,In which country is the city of Grand Centre located? Canada.
104,The city of Waldoboro is in United States.,1,Waldoboro,United States,United States,In which country is the city of Waldoboro located?,In which country is the city of Waldoboro located? United States.
105,The city of Yungar is in Peru.,1,Yungar,Peru,Peru,In which country is the city of Yungar located?,In which country is the city of Yungar located? Peru.
106,The city of Quang Ngai is in Viet Nam.,1,Quang Ngai,Viet Nam,Viet Nam,In which country is the city of Quang Ngai located?,In which country is the city of Quang Ngai located? Viet Nam.
107,The city of Zawidow is in Poland.,1,Zawidow,Poland,Poland,In which country is the city of Zawidow located?,In which country is the city of Zawidow located? Poland.
108,The city of Iowa City is in United States.,1,Iowa City,United States,United States,In which country is the city of Iowa City located?,In which country is the city of Iowa City located? United States.
109,The city of Tanakpur is in India.,1,Tanakpur,India,India,In which country is the city of Tanakpur located?,In which country is the city of Tanakpur located? India.
110,The city of Hahnichen is in Germany.,1,Hahnichen,Germany,Germany,In which country is the city of Hahnichen located?,In which country is the city of Hahnichen located? Germany.
111,The city of Petrola is in Spain.,1,Petrola,Spain,Spain,In which country is the city of Petrola located?,In which country is the city of Petrola located? Spain.
112,The city of Vellereille-les-Brayeux is in Belgium.,1,Vellereille-les-Brayeux,Belgium,Belgium,In which country is the city of Vellereille-les-Brayeux located?,In which country is the city of Vellereille-les-Brayeux located? Belgium.
113,The city of Bad Elster is in Germany.,1,Bad Elster,Germany,Germany,In which country is the city of Bad Elster located?,In which country is the city of Bad Elster located? Germany.
114,The city of Inioe is in Finland.,1,Inioe,Finland,Finland,In which country is the city of Inioe located?,In which country is the city of Inioe located? Finland.
115,The city of Churubusco is in United States.,1,Churubusco,United States,United States,In which country is the city of Churubusco located?,In which country is the city of Churubusco located? United States.
116,The city of Ribeirao Bonito is in Brazil.,1,Ribeirao Bonito,Brazil,Brazil,In which country is the city of Ribeirao Bonito located?,In which country is the city of Ribeirao Bonito located? Brazil.
117,The city of Grafrath is in Germany.,1,Grafrath,Germany,Germany,In which country is the city of Grafrath located?,In which country is the city of Grafrath located? Germany.
118,The city of Frostburg is in United States.,1,Frostburg,United States,United States,In which country is the city of Frostburg located?,In which country is the city of Frostburg located? United States.
119,The city of Yavatmal is in India.,1,Yavatmal,India,India,In which country is the city of Yavatmal located?,In which country is the city of Yavatmal located? India.
120,The city of Escanaba is in United States.,1,Escanaba,United States,United States,In which country is the city of Escanaba located?,In which country is the city of Escanaba located? United States.
121,The city of Oketo is in Japan.,1,Oketo,Japan,Japan,In which country is the city of Oketo located?,In which country is the city of Oketo located? Japan.
122,The city of Bagni di Lucca is in Italy.,1,Bagni di Lucca,Italy,Italy,In which country is the city of Bagni di Lucca located?,In which country is the city of Bagni di Lucca located? Italy.
123,The city of Stansstad is in Switzerland.,1,Stansstad,Switzerland,Switzerland,In which country is the city of Stansstad located?,In which country is the city of Stansstad located? Switzerland.
124,The city of Perdoes is in Brazil.,1,Perdoes,Brazil,Brazil,In which country is the city of Perdoes located?,In which country is the city of Perdoes located? Brazil.
125,The city of Konokovo is in Russian Federation.,1,Konokovo,Russian Federation,Russian Federation,In which country is the city of Konokovo located?,In which country is the city of Konokovo located? Russian Federation.
126,The city of Merlara is in Italy.,1,Merlara,Italy,Italy,In which country is the city of Merlara located?,In which country is the city of Merlara located? Italy.
127,The city of Ures is in Mexico.,1,Ures,Mexico,Mexico,In which country is the city of Ures located?,In which country is the city of Ures located? Mexico.
128,The city of Azun Atme is in West Bank and Gaza Strip.,1,Azun Atme,West Bank and Gaza Strip,West Bank and Gaza Strip,In which country is the city of Azun Atme located?,In which country is the city of Azun Atme located? West Bank and Gaza Strip.
129,The city of Zons is in Germany.,1,Zons,Germany,Germany,In which country is the city of Zons located?,In which country is the city of Zons located? Germany.
130,The city of Darling Heights is in Australia.,1,Darling Heights,Australia,Australia,In which country is the city of Darling Heights located?,In which country is the city of Darling Heights located? Australia.
131,The city of Koper is in Slovenia.,1,Koper,Slovenia,Slovenia,In which country is the city of Koper located?,In which country is the city of Koper located? Slovenia.
132,The city of Quamila is in Mexico.,1,Quamila,Mexico,Mexico,In which country is the city of Quamila located?,In which country is the city of Quamila located? Mexico.
133,The city of Messimy is in France.,1,Messimy,France,France,In which country is the city of Messimy located?,In which country is the city of Messimy located? France.
134,The city of Munnar is in India.,1,Munnar,India,India,In which country is the city of Munnar located?,In which country is the city of Munnar located? India.
135,The city of Maella is in Spain.,1,Maella,Spain,Spain,In which country is the city of Maella located?,In which country is the city of Maella located? Spain.
136,The city of Pino d'Asti is in Italy.,1,Pino d'Asti,Italy,Italy,In which country is the city of Pino d'Asti located?,In which country is the city of Pino d'Asti located? Italy.
137,The city of Woodberry is in Australia.,1,Woodberry,Australia,Australia,In which country is the city of Woodberry located?,In which country is the city of Woodberry located? Australia.
138,The city of Ziesar is in Germany.,1,Ziesar,Germany,Germany,In which country is the city of Ziesar located?,In which country is the city of Ziesar located? Germany.
139,The city of Sterlibashevo is in Russian Federation.,1,Sterlibashevo,Russian Federation,Russian Federation,In which country is the city of Sterlibashevo located?,In which country is the city of Sterlibashevo located? Russian Federation.
140,The city of Bitkine is in Chad.,1,Bitkine,Chad,Chad,In which country is the city of Bitkine located?,In which country is the city of Bitkine located? Chad.
141,The city of Coonamble is in Australia.,1,Coonamble,Australia,Australia,In which country is the city of Coonamble located?,In which country is the city of Coonamble located? Australia.
142,The city of South Norwood is in United Kingdom.,1,South Norwood,United Kingdom,United Kingdom,In which country is the city of South Norwood located?,In which country is the city of South Norwood located? United Kingdom.
143,The city of Cserszegtomaj is in Hungary.,1,Cserszegtomaj,Hungary,Hungary,In which country is the city of Cserszegtomaj located?,In which country is the city of Cserszegtomaj located? Hungary.
144,The city of Estrella de Belen is in Mexico.,1,Estrella de Belen,Mexico,Mexico,In which country is the city of Estrella de Belen located?,In which country is the city of Estrella de Belen located? Mexico.
145,The city of Huttlingen is in Germany.,1,Huttlingen,Germany,Germany,In which country is the city of Huttlingen located?,In which country is the city of Huttlingen located? Germany.
146,The city of Banjul is in Gambia.,1,Banjul,Gambia,Gambia,In which country is the city of Banjul located?,In which country is the city of Banjul located? Gambia.
147,The city of Burgschwalbach is in Germany.,1,Burgschwalbach,Germany,Germany,In which country is the city of Burgschwalbach located?,In which country is the city of Burgschwalbach located? Germany.
148,The city of Running Springs is in United States.,1,Running Springs,United States,United States,In which country is the city of Running Springs located?,In which country is the city of Running Springs located? United States.
149,The city of Wisselaar is in Netherlands.,1,Wisselaar,Netherlands,Netherlands,In which country is the city of Wisselaar located?,In which country is the city of Wisselaar located? Netherlands.
150,The city of Bhadrapur is in Nepal.,1,Bhadrapur,Nepal,Nepal,In which country is the city of Bhadrapur located?,In which country is the city of Bhadrapur located? Nepal.
151,The city of Adaseni is in Romania.,1,Adaseni,Romania,Romania,In which country is the city of Adaseni located?,In which country is the city of Adaseni located? Romania.
152,The city of Valday is in Russian Federation.,1,Valday,Russian Federation,Russian Federation,In which country is the city of Valday located?,In which country is the city of Valday located? Russian Federation.
153,The city of Terra Mar is in United States.,1,Terra Mar,United States,United States,In which country is the city of Terra Mar located?,In which country is the city of Terra Mar located? United States.
154,The city of Damigny is in France.,1,Damigny,France,France,In which country is the city of Damigny located?,In which country is the city of Damigny located? France.
155,The city of Walzenhausen is in Switzerland.,1,Walzenhausen,Switzerland,Switzerland,In which country is the city of Walzenhausen located?,In which country is the city of Walzenhausen located? Switzerland.
156,The city of Chora Sfakion is in Greece.,1,Chora Sfakion,Greece,Greece,In which country is the city of Chora Sfakion located?,In which country is the city of Chora Sfakion located? Greece.
157,The city of Pemberwick is in United States.,1,Pemberwick,United States,United States,In which country is the city of Pemberwick located?,In which country is the city of Pemberwick located? United States.
158,The city of Tacurong is in Philippines.,1,Tacurong,Philippines,Philippines,In which country is the city of Tacurong located?,In which country is the city of Tacurong located? Philippines.
159,The city of Saint-Fiacre-sur-Maine is in France.,1,Saint-Fiacre-sur-Maine,France,France,In which country is the city of Saint-Fiacre-sur-Maine located?,In which country is the city of Saint-Fiacre-sur-Maine located? France.
160,The city of Apaxtla de Castrejon is in Mexico.,1,Apaxtla de Castrejon,Mexico,Mexico,In which country is the city of Apaxtla de Castrejon located?,In which country is the city of Apaxtla de Castrejon located? Mexico.
161,The city of Vary is in Ukraine.,1,Vary,Ukraine,Ukraine,In which country is the city of Vary located?,In which country is the city of Vary located? Ukraine.
162,The city of Mouvaux is in France.,1,Mouvaux,France,France,In which country is the city of Mouvaux located?,In which country is the city of Mouvaux located? France.
163,The city of San Martin de Bolanos is in Mexico.,1,San Martin de Bolanos,Mexico,Mexico,In which country is the city of San Martin de Bolanos located?,In which country is the city of San Martin de Bolanos located? Mexico.
164,The city of Howden is in United Kingdom.,1,Howden,United Kingdom,United Kingdom,In which country is the city of Howden located?,In which country is the city of Howden located? United Kingdom.
165,The city of Kurunegala is in Sri Lanka.,1,Kurunegala,Sri Lanka,Sri Lanka,In which country is the city of Kurunegala located?,In which country is the city of Kurunegala located? Sri Lanka.
166,The city of Val-des-Monts is in Canada.,1,Val-des-Monts,Canada,Canada,In which country is the city of Val-des-Monts located?,In which country is the city of Val-des-Monts located? Canada.
167,The city of Ucea de Jos is in Romania.,1,Ucea de Jos,Romania,Romania,In which country is the city of Ucea de Jos located?,In which country is the city of Ucea de Jos located? Romania.
168,The city of Monte Aprazivel is in Brazil.,1,Monte Aprazivel,Brazil,Brazil,In which country is the city of Monte Aprazivel located?,In which country is the city of Monte Aprazivel located? Brazil.
169,The city of Ledbetter is in United States.,1,Ledbetter,United States,United States,In which country is the city of Ledbetter located?,In which country is the city of Ledbetter located? United States.
170,The city of Calcot is in United Kingdom.,1,Calcot,United Kingdom,United Kingdom,In which country is the city of Calcot located?,In which country is the city of Calcot located? United Kingdom.
171,The city of Leki is in Poland.,1,Leki,Poland,Poland,In which country is the city of Leki located?,In which country is the city of Leki located? Poland.
172,The city of Cazaji is in Angola.,1,Cazaji,Angola,Angola,In which country is the city of Cazaji located?,In which country is the city of Cazaji located? Angola.
173,The city of Camarillo is in United States.,1,Camarillo,United States,United States,In which country is the city of Camarillo located?,In which country is the city of Camarillo located? United States.
174,The city of Rahatgarh is in India.,1,Rahatgarh,India,India,In which country is the city of Rahatgarh located?,In which country is the city of Rahatgarh located? India.
175,The city of Reshetikha is in Russian Federation.,1,Reshetikha,Russian Federation,Russian Federation,In which country is the city of Reshetikha located?,In which country is the city of Reshetikha located? Russian Federation.
176,The city of Soyatlan de Afuera is in Mexico.,1,Soyatlan de Afuera,Mexico,Mexico,In which country is the city of Soyatlan de Afuera located?,In which country is the city of Soyatlan de Afuera located? Mexico.
177,The city of Horseshoe Bay is in United States.,1,Horseshoe Bay,United States,United States,In which country is the city of Horseshoe Bay located?,In which country is the city of Horseshoe Bay located? United States.
178,The city of Old Harlow is in United Kingdom.,1,Old Harlow,United Kingdom,United Kingdom,In which country is the city of Old Harlow located?,In which country is the city of Old Harlow located? United Kingdom.
179,The city of Putlod is in Philippines.,1,Putlod,Philippines,Philippines,In which country is the city of Putlod located?,In which country is the city of Putlod located? Philippines.
180,The city of Orbita is in Spain.,1,Orbita,Spain,Spain,In which country is the city of Orbita located?,In which country is the city of Orbita located? Spain.
181,The city of Quadri is in Italy.,1,Quadri,Italy,Italy,In which country is the city of Quadri located?,In which country is the city of Quadri located? Italy.
182,The city of Vallehermosa is in Spain.,1,Vallehermosa,Spain,Spain,In which country is the city of Vallehermosa located?,In which country is the city of Vallehermosa located? Spain.
183,The city of Okoa is in Cameroon.,1,Okoa,Cameroon,Cameroon,In which country is the city of Okoa located?,In which country is the city of Okoa located? Cameroon.
