,statement,label,city,country,correct_country,question,question_with_answer
15,The city of Talkha is in Egypt.,1,Talkha,Egypt,Egypt,In which country is the city of Talkha located?,In which country is the city of Talkha located? Egypt.
16,The city of Bernate Ticino is in Italy.,1,Bernate Ticino,Italy,Italy,In which country is the city of Bernate Ticino located?,In which country is the city of Bernate Ticino located? Italy.
17,The city of Samatan is in France.,1,Samatan,France,France,In which country is the city of Samatan located?,In which country is the city of Samatan located? France.
18,The city of Ciudad Pemex is in Mexico.,1,Ciudad Pemex,Mexico,Mexico,In which country is the city of Ciudad Pemex located?,In which country is the city of Ciudad Pemex located? Mexico.
19,The city of Karkkila is in Finland.,1,Karkkila,Finland,Finland,In which country is the city of Karkkila located?,In which country is the city of Karkkila located? Finland.
20,The city of Strizivojna is in Croatia.,1,Strizivojna,Croatia,Croatia,In which country is the city of Strizivojna located?,In which country is the city of Strizivojna located? Croatia.
21,The city of General Campos is in Argentina.,1,General Campos,Argentina,Argentina,In which country is the city of General Campos located?,In which country is the city of General Campos located? Argentina.
22,The city of Stiava is in Italy.,1,Stiava,Italy,Italy,In which country is the city of Stiava located?,In which country is the city of Stiava located? Italy.
23,The city of Zougban is in Côte d'Ivoire.,1,Zougban,Côte d'Ivoire,Côte d'Ivoire,In which country is the city of Zougban located?,In which country is the city of Zougban located? Côte d'Ivoire.
24,The city of Kalk is in Germany.,1,Kalk,Germany,Germany,In which country is the city of Kalk located?,In which country is the city of Kalk located? Germany.
25,The city of Buzen is in Japan.,1,Buzen,Japan,Japan,In which country is the city of Buzen located?,In which country is the city of Buzen located? Japan.
26,The city of Bellprat is in Spain.,1,Bellprat,Spain,Spain,In which country is the city of Bellprat located?,In which country is the city of Bellprat located? Spain.
27,The city of Barntrup is in Germany.,1,Barntrup,Germany,Germany,In which country is the city of Barntrup located?,In which country is the city of Barntrup located? Germany.
28,The city of Monticello is in United States.,1,Monticello,United States,United States,In which country is the city of Monticello located?,In which country is the city of Monticello located? United States.
29,The city of Aiguees is in Spain.,1,Aiguees,Spain,Spain,In which country is the city of Aiguees located?,In which country is the city of Aiguees located? Spain.
30,The city of Churchill is in Australia.,1,Churchill,Australia,Australia,In which country is the city of Churchill located?,In which country is the city of Churchill located? Australia.
31,The city of Ostrowy nad Oksza is in Poland.,1,Ostrowy nad Oksza,Poland,Poland,In which country is the city of Ostrowy nad Oksza located?,In which country is the city of Ostrowy nad Oksza located? Poland.
32,The city of Oxenford is in Australia.,1,Oxenford,Australia,Australia,In which country is the city of Oxenford located?,In which country is the city of Oxenford located? Australia.
33,The city of Santa Rosa de Lima is in Mexico.,1,Santa Rosa de Lima,Mexico,Mexico,In which country is the city of Santa Rosa de Lima located?,In which country is the city of Santa Rosa de Lima located? Mexico.
34,The city of Lancara is in Spain.,1,Lancara,Spain,Spain,In which country is the city of Lancara located?,In which country is the city of Lancara located? Spain.
35,The city of La Villa is in Italy.,1,La Villa,Italy,Italy,In which country is the city of La Villa located?,In which country is the city of La Villa located? Italy.
36,The city of Glens Falls is in United States.,1,Glens Falls,United States,United States,In which country is the city of Glens Falls located?,In which country is the city of Glens Falls located? United States.
37,The city of Hook is in United Kingdom.,1,Hook,United Kingdom,United Kingdom,In which country is the city of Hook located?,In which country is the city of Hook located? United Kingdom.
38,The city of Sao Paulo de Olivenca is in Brazil.,1,Sao Paulo de Olivenca,Brazil,Brazil,In which country is the city of Sao Paulo de Olivenca located?,In which country is the city of Sao Paulo de Olivenca located? Brazil.
39,The city of Ratingen is in Germany.,1,Ratingen,Germany,Germany,In which country is the city of Ratingen located?,In which country is the city of Ratingen located? Germany.
40,The city of Dezanovac is in Croatia.,1,Dezanovac,Croatia,Croatia,In which country is the city of Dezanovac located?,In which country is the city of Dezanovac located? Croatia.
41,The city of Gikongoro is in Rwanda.,1,Gikongoro,Rwanda,Rwanda,In which country is the city of Gikongoro located?,In which country is the city of Gikongoro located? Rwanda.
42,The city of Marina is in Italy.,1,Marina,Italy,Italy,In which country is the city of Marina located?,In which country is the city of Marina located? Italy.
43,The city of NevveYamin is in Israel.,1,NevveYamin,Israel,Israel,In which country is the city of NevveYamin located?,In which country is the city of NevveYamin located? Israel.
44,The city of Redwood Shores is in United States.,1,Redwood Shores,United States,United States,In which country is the city of Redwood Shores located?,In which country is the city of Redwood Shores located? United States.
45,The city of Shenandoah Farms is in United States.,1,Shenandoah Farms,United States,United States,In which country is the city of Shenandoah Farms located?,In which country is the city of Shenandoah Farms located? United States.
46,The city of Cancello-Arnone is in Italy.,1,Cancello-Arnone,Italy,Italy,In which country is the city of Cancello-Arnone located?,In which country is the city of Cancello-Arnone located? Italy.
47,The city of Niederdorfelden is in Germany.,1,Niederdorfelden,Germany,Germany,In which country is the city of Niederdorfelden located?,In which country is the city of Niederdorfelden located? Germany.
48,The city of India Hook is in United States.,1,India Hook,United States,United States,In which country is the city of India Hook located?,In which country is the city of India Hook located? United States.
49,The city of Goeda is in Germany.,1,Goeda,Germany,Germany,In which country is the city of Goeda located?,In which country is the city of Goeda located? Germany.
50,The city of Chinsali is in Zambia.,1,Chinsali,Zambia,Zambia,In which country is the city of Chinsali located?,In which country is the city of Chinsali located? Zambia.
51,The city of Latri Sabiji is in Gambia.,1,Latri Sabiji,Gambia,Gambia,In which country is the city of Latri Sabiji located?,In which country is the city of Latri Sabiji located? Gambia.
52,The city of Ussaramanna is in Italy.,1,Ussaramanna,Italy,Italy,In which country is the city of Ussaramanna located?,In which country is the city of Ussaramanna located? Italy.
53,The city of Henri-Chapelle is in Belgium.,1,Henri-Chapelle,Belgium,Belgium,In which country is the city of Henri-Chapelle located?,In which country is the city of Henri-Chapelle located? Belgium.
54,The city of Wilsonton is in Australia.,1,Wilsonton,Australia,Australia,In which country is the city of Wilsonton located?,In which country is the city of Wilsonton located? Australia.
55,The city of Erps-Kwerps is in Belgium.,1,Erps-Kwerps,Belgium,Belgium,In which country is the city of Erps-Kwerps located?,In which country is the city of Erps-Kwerps located? Belgium.
56,The city of Bechtolsheim is in Germany.,1,Bechtolsheim,Germany,Germany,In which country is the city of Bechtolsheim located?,In which country is the city of Bechtolsheim located? Germany.
57,The city of Picerno is in Italy.,1,Picerno,Italy,Italy,In which country is the city of Picerno located?,In which country is the city of Picerno located? Italy.
58,The city of Wilczyce is in Poland.,1,Wilczyce,Poland,Poland,In which country is the city of Wilczyce located?,In which country is the city of Wilczyce located? Poland.
59,The city of Deale is in United States.,1,Deale,United States,United States,In which country is the city of Deale located?,In which country is the city of Deale located? United States.
60,The city of Terbanggi Besar is in Indonesia.,1,Terbanggi Besar,Indonesia,Indonesia,In which country is the city of Terbanggi Besar located?,In which country is the city of Terbanggi Besar located? Indonesia.
61,The city of Hornitos is in Mexico.,1,Hornitos,Mexico,Mexico,In which country is the city of Hornitos located?,In which country is the city of Hornitos located? Mexico.
62,The city of Conguaco is in Guatemala.,1,Conguaco,Guatemala,Guatemala,In which country is the city of Conguaco located?,In which country is the city of Conguaco located? Guatemala.
63,The city of Battlement Mesa is in United States.,1,Battlement Mesa,United States,United States,In which country is the city of Battlement Mesa located?,In which country is the city of Battlement Mesa located? United States.
64,The city of Nanterre is in France.,1,Nanterre,France,France,In which country is the city of Nanterre located?,In which country is the city of Nanterre located? France.
65,The city of Bondoyo is in Côte d'Ivoire.,1,Bondoyo,Côte d'Ivoire,Côte d'Ivoire,In which country is the city of Bondoyo located?,In which country is the city of Bondoyo located? Côte d'Ivoire.
66,The city of San Giustino is in Italy.,1,San Giustino,Italy,Italy,In which country is the city of San Giustino located?,In which country is the city of San Giustino located? Italy.
67,The city of Regoledo is in Italy.,1,Regoledo,Italy,Italy,In which country is the city of Regoledo located?,In which country is the city of Regoledo located? Italy.
68,The city of Pietracamela is in Italy.,1,Pietracamela,Italy,Italy,In which country is the city of Pietracamela located?,In which country is the city of Pietracamela located? Italy.
69,The city of Villar de Torre is in Spain.,1,Villar de Torre,Spain,Spain,In which country is the city of Villar de Torre located?,In which country is the city of Villar de Torre located? Spain.
70,The city of Qutur is in Egypt.,1,Qutur,Egypt,Egypt,In which country is the city of Qutur located?,In which country is the city of Qutur located? Egypt.
71,The city of Foster City is in United States.,1,Foster City,United States,United States,In which country is the city of Foster City located?,In which country is the city of Foster City located? United States.
72,The city of Sankt Pantaleon is in Austria.,1,Sankt Pantaleon,Austria,Austria,In which country is the city of Sankt Pantaleon located?,In which country is the city of Sankt Pantaleon located? Austria.
73,The city of San Felice is in Italy.,1,San Felice,Italy,Italy,In which country is the city of San Felice located?,In which country is the city of San Felice located? Italy.
74,The city of Vlajkovac is in Serbia.,1,Vlajkovac,Serbia,Serbia,In which country is the city of Vlajkovac located?,In which country is the city of Vlajkovac located? Serbia.
75,The city of Pognano is in Italy.,1,Pognano,Italy,Italy,In which country is the city of Pognano located?,In which country is the city of Pognano located? Italy.
76,The city of Ribeirao Preto is in Brazil.,1,Ribeirao Preto,Brazil,Brazil,In which country is the city of Ribeirao Preto located?,In which country is the city of Ribeirao Preto located? Brazil.
77,The city of Arnside is in United Kingdom.,1,Arnside,United Kingdom,United Kingdom,In which country is the city of Arnside located?,In which country is the city of Arnside located? United Kingdom.
78,The city of Lincoln is in United States.,1,Lincoln,United States,United States,In which country is the city of Lincoln located?,In which country is the city of Lincoln located? United States.
79,The city of Fauville-en-Caux is in France.,1,Fauville-en-Caux,France,France,In which country is the city of Fauville-en-Caux located?,In which country is the city of Fauville-en-Caux located? France.
80,The city of Theog is in India.,1,Theog,India,India,In which country is the city of Theog located?,In which country is the city of Theog located? India.
81,The city of Cayang is in Philippines.,1,Cayang,Philippines,Philippines,In which country is the city of Cayang located?,In which country is the city of Cayang located? Philippines.
82,The city of Cliffcrest is in Canada.,1,Cliffcrest,Canada,Canada,In which country is the city of Cliffcrest located?,In which country is the city of Cliffcrest located? Canada.
83,The city of Ferreras de Abajo is in Spain.,1,Ferreras de Abajo,Spain,Spain,In which country is the city of Ferreras de Abajo located?,In which country is the city of Ferreras de Abajo located? Spain.
84,The city of Hardin is in United States.,1,Hardin,United States,United States,In which country is the city of Hardin located?,In which country is the city of Hardin located? United States.
85,The city of Dagotiere is in Mauritius.,1,Dagotiere,Mauritius,Mauritius,In which country is the city of Dagotiere located?,In which country is the city of Dagotiere located? Mauritius.
86,The city of Novar Gardens is in Australia.,1,Novar Gardens,Australia,Australia,In which country is the city of Novar Gardens located?,In which country is the city of Novar Gardens located? Australia.
87,The city of Waddinxveen is in Netherlands.,1,Waddinxveen,Netherlands,Netherlands,In which country is the city of Waddinxveen located?,In which country is the city of Waddinxveen located? Netherlands.
88,The city of Luuq is in Somalia.,1,Luuq,Somalia,Somalia,In which country is the city of Luuq located?,In which country is the city of Luuq located? Somalia.
89,The city of Nyiregyhaza is in Hungary.,1,Nyiregyhaza,Hungary,Hungary,In which country is the city of Nyiregyhaza located?,In which country is the city of Nyiregyhaza located? Hungary.
90,The city of Aksu is in Turkey.,1,Aksu,Turkey,Turkey,In which country is the city of Aksu located?,In which country is the city of Aksu located? Turkey.
91,The city of Bhavani is in India.,1,Bhavani,India,India,In which country is the city of Bhavani located?,In which country is the city of Bhavani located? India.
92,The city of Orange is in France.,1,Orange,France,France,In which country is the city of Orange located?,In which country is the city of Orange located? France.
93,The city of Belgirate is in Italy.,1,Belgirate,Italy,Italy,In which country is the city of Belgirate located?,In which country is the city of Belgirate located? Italy.
94,The city of Glopaoudi is in Côte d'Ivoire.,1,Glopaoudi,Côte d'Ivoire,Côte d'Ivoire,In which country is the city of Glopaoudi located?,In which country is the city of Glopaoudi located? Côte d'Ivoire.
95,The city of Colonia Alvaro Obregon is in Mexico.,1,Colonia Alvaro Obregon,Mexico,Mexico,In which country is the city of Colonia Alvaro Obregon located?,In which country is the city of Colonia Alvaro Obregon located? Mexico.
96,The city of Mirocin is in Poland.,1,Mirocin,Poland,Poland,In which country is the city of Mirocin located?,In which country is the city of Mirocin located? Poland.
97,The city of Ixtapangajoya is in Mexico.,1,Ixtapangajoya,Mexico,Mexico,In which country is the city of Ixtapangajoya located?,In which country is the city of Ixtapangajoya located? Mexico.
98,The city of Estanzuela is in Guatemala.,1,Estanzuela,Guatemala,Guatemala,In which country is the city of Estanzuela located?,In which country is the city of Estanzuela located? Guatemala.
99,The city of Ol'ginka is in Russian Federation.,1,Ol'ginka,Russian Federation,Russian Federation,In which country is the city of Ol'ginka located?,In which country is the city of Ol'ginka located? Russian Federation.
100,The city of Arnschwang is in Germany.,1,Arnschwang,Germany,Germany,In which country is the city of Arnschwang located?,In which country is the city of Arnschwang located? Germany.
101,The city of Cocquio is in Italy.,1,Cocquio,Italy,Italy,In which country is the city of Cocquio located?,In which country is the city of Cocquio located? Italy.
102,The city of Bizana is in South Africa.,1,Bizana,South Africa,South Africa,In which country is the city of Bizana located?,In which country is the city of Bizana located? South Africa.
103,The city of Goulia is in Côte d'Ivoire.,1,Goulia,Côte d'Ivoire,Côte d'Ivoire,In which country is the city of Goulia located?,In which country is the city of Goulia located? Côte d'Ivoire.
104,The city of Rodange is in Luxembourg.,1,Rodange,Luxembourg,Luxembourg,In which country is the city of Rodange located?,In which country is the city of Rodange located? Luxembourg.
105,The city of Vyartsilya is in Russian Federation.,1,Vyartsilya,Russian Federation,Russian Federation,In which country is the city of Vyartsilya located?,In which country is the city of Vyartsilya located? Russian Federation.
106,The city of Tausa is in Colombia.,1,Tausa,Colombia,Colombia,In which country is the city of Tausa located?,In which country is the city of Tausa located? Colombia.
107,The city of Chelinta is in Romania.,1,Chelinta,Romania,Romania,In which country is the city of Chelinta located?,In which country is the city of Chelinta located? Romania.
108,The city of Champlan is in France.,1,Champlan,France,France,In which country is the city of Champlan located?,In which country is the city of Champlan located? France.
109,The city of Bestovje is in Croatia.,1,Bestovje,Croatia,Croatia,In which country is the city of Bestovje located?,In which country is the city of Bestovje located? Croatia.
110,The city of Salza di Pinerolo is in Italy.,1,Salza di Pinerolo,Italy,Italy,In which country is the city of Salza di Pinerolo located?,In which country is the city of Salza di Pinerolo located? Italy.
111,The city of Terskaya is in Russian Federation.,1,Terskaya,Russian Federation,Russian Federation,In which country is the city of Terskaya located?,In which country is the city of Terskaya located? Russian Federation.
112,The city of Drogeham is in Netherlands.,1,Drogeham,Netherlands,Netherlands,In which country is the city of Drogeham located?,In which country is the city of Drogeham located? Netherlands.
113,The city of Ballykelly is in United Kingdom.,1,Ballykelly,United Kingdom,United Kingdom,In which country is the city of Ballykelly located?,In which country is the city of Ballykelly located? United Kingdom.
114,The city of Onkaparinga Hills is in Australia.,1,Onkaparinga Hills,Australia,Australia,In which country is the city of Onkaparinga Hills located?,In which country is the city of Onkaparinga Hills located? Australia.
115,"The city of Kratovo is in Macedonia, The former Yugoslav Rep. of.",1,Kratovo,"Macedonia, The former Yugoslav Rep. of","Macedonia, The former Yugoslav Rep. of",In which country is the city of Kratovo located?,"In which country is the city of Kratovo located? Macedonia, The former Yugoslav Rep. of."
116,The city of Trebbo is in Italy.,1,Trebbo,Italy,Italy,In which country is the city of Trebbo located?,In which country is the city of Trebbo located? Italy.
117,The city of Aalst is in Netherlands.,1,Aalst,Netherlands,Netherlands,In which country is the city of Aalst located?,In which country is the city of Aalst located? Netherlands.
118,The city of Tigveni is in Romania.,1,Tigveni,Romania,Romania,In which country is the city of Tigveni located?,In which country is the city of Tigveni located? Romania.
119,The city of Middleton is in Canada.,1,Middleton,Canada,Canada,In which country is the city of Middleton located?,In which country is the city of Middleton located? Canada.
120,The city of Canggou is in China.,1,Canggou,China,China,In which country is the city of Canggou located?,In which country is the city of Canggou located? China.
121,The city of Terny is in Ukraine.,1,Terny,Ukraine,Ukraine,In which country is the city of Terny located?,In which country is the city of Terny located? Ukraine.
122,The city of Jobos is in Puerto Rico.,1,Jobos,Puerto Rico,Puerto Rico,In which country is the city of Jobos located?,In which country is the city of Jobos located? Puerto Rico.
123,The city of Nellikkuppam is in India.,1,Nellikkuppam,India,India,In which country is the city of Nellikkuppam located?,In which country is the city of Nellikkuppam located? India.
124,The city of Purani is in Romania.,1,Purani,Romania,Romania,In which country is the city of Purani located?,In which country is the city of Purani located? Romania.
125,The city of Jabalya is in West Bank and Gaza Strip.,1,Jabalya,West Bank and Gaza Strip,West Bank and Gaza Strip,In which country is the city of Jabalya located?,In which country is the city of Jabalya located? West Bank and Gaza Strip.
126,The city of Patrington is in United Kingdom.,1,Patrington,United Kingdom,United Kingdom,In which country is the city of Patrington located?,In which country is the city of Patrington located? United Kingdom.
127,The city of Kavalerovo is in Russian Federation.,1,Kavalerovo,Russian Federation,Russian Federation,In which country is the city of Kavalerovo located?,In which country is the city of Kavalerovo located? Russian Federation.
128,The city of Gy is in France.,1,Gy,France,France,In which country is the city of Gy located?,In which country is the city of Gy located? France.
129,The city of Grand Island is in United States.,1,Grand Island,United States,United States,In which country is the city of Grand Island located?,In which country is the city of Grand Island located? United States.
130,The city of Geidam is in Nigeria.,1,Geidam,Nigeria,Nigeria,In which country is the city of Geidam located?,In which country is the city of Geidam located? Nigeria.
131,The city of Anula is in Australia.,1,Anula,Australia,Australia,In which country is the city of Anula located?,In which country is the city of Anula located? Australia.
132,The city of Mount Clemens is in United States.,1,Mount Clemens,United States,United States,In which country is the city of Mount Clemens located?,In which country is the city of Mount Clemens located? United States.
133,The city of Tanais is in Russian Federation.,1,Tanais,Russian Federation,Russian Federation,In which country is the city of Tanais located?,In which country is the city of Tanais located? Russian Federation.
134,The city of Angamali is in India.,1,Angamali,India,India,In which country is the city of Angamali located?,In which country is the city of Angamali located? India.
135,The city of Metcalfe is in United States.,1,Metcalfe,United States,United States,In which country is the city of Metcalfe located?,In which country is the city of Metcalfe located? United States.
136,The city of Bittou is in Burkina Faso.,1,Bittou,Burkina Faso,Burkina Faso,In which country is the city of Bittou located?,In which country is the city of Bittou located? Burkina Faso.
137,The city of Kawagoe is in Japan.,1,Kawagoe,Japan,Japan,In which country is the city of Kawagoe located?,In which country is the city of Kawagoe located? Japan.
138,The city of Knittlingen is in Germany.,1,Knittlingen,Germany,Germany,In which country is the city of Knittlingen located?,In which country is the city of Knittlingen located? Germany.
139,The city of Taloy is in Philippines.,1,Taloy,Philippines,Philippines,In which country is the city of Taloy located?,In which country is the city of Taloy located? Philippines.
140,The city of Gondia is in Côte d'Ivoire.,1,Gondia,Côte d'Ivoire,Côte d'Ivoire,In which country is the city of Gondia located?,In which country is the city of Gondia located? Côte d'Ivoire.
141,The city of Roznov is in Romania.,1,Roznov,Romania,Romania,In which country is the city of Roznov located?,In which country is the city of Roznov located? Romania.
142,The city of Ennevelin is in France.,1,Ennevelin,France,France,In which country is the city of Ennevelin located?,In which country is the city of Ennevelin located? France.
143,The city of La Barasse is in France.,1,La Barasse,France,France,In which country is the city of La Barasse located?,In which country is the city of La Barasse located? France.
144,The city of Mirabello Sannitico is in Italy.,1,Mirabello Sannitico,Italy,Italy,In which country is the city of Mirabello Sannitico located?,In which country is the city of Mirabello Sannitico located? Italy.
145,The city of Kearns is in Australia.,1,Kearns,Australia,Australia,In which country is the city of Kearns located?,In which country is the city of Kearns located? Australia.
146,The city of Saint-Germain-les-Arpajon is in France.,1,Saint-Germain-les-Arpajon,France,France,In which country is the city of Saint-Germain-les-Arpajon located?,In which country is the city of Saint-Germain-les-Arpajon located? France.
147,The city of Cawood is in United Kingdom.,1,Cawood,United Kingdom,United Kingdom,In which country is the city of Cawood located?,In which country is the city of Cawood located? United Kingdom.
148,The city of Boucau is in France.,1,Boucau,France,France,In which country is the city of Boucau located?,In which country is the city of Boucau located? France.
149,The city of San Francisco is in Mexico.,1,San Francisco,Mexico,Mexico,In which country is the city of San Francisco located?,In which country is the city of San Francisco located? Mexico.
150,The city of Lazaro Cardenas (Chilil) is in Mexico.,1,Lazaro Cardenas (Chilil),Mexico,Mexico,In which country is the city of Lazaro Cardenas (Chilil) located?,In which country is the city of Lazaro Cardenas (Chilil) located? Mexico.
151,The city of Duboka is in Serbia.,1,Duboka,Serbia,Serbia,In which country is the city of Duboka located?,In which country is the city of Duboka located? Serbia.
152,The city of Roseboro is in United States.,1,Roseboro,United States,United States,In which country is the city of Roseboro located?,In which country is the city of Roseboro located? United States.
153,The city of Saints is in France.,1,Saints,France,France,In which country is the city of Saints located?,In which country is the city of Saints located? France.
154,The city of Spentrup is in Denmark.,1,Spentrup,Denmark,Denmark,In which country is the city of Spentrup located?,In which country is the city of Spentrup located? Denmark.
155,The city of Bernice is in United States.,1,Bernice,United States,United States,In which country is the city of Bernice located?,In which country is the city of Bernice located? United States.
156,The city of Fraccionamiento Monte Olivo is in Mexico.,1,Fraccionamiento Monte Olivo,Mexico,Mexico,In which country is the city of Fraccionamiento Monte Olivo located?,In which country is the city of Fraccionamiento Monte Olivo located? Mexico.
157,The city of Surup is in Philippines.,1,Surup,Philippines,Philippines,In which country is the city of Surup located?,In which country is the city of Surup located? Philippines.
158,The city of Willowvale is in South Africa.,1,Willowvale,South Africa,South Africa,In which country is the city of Willowvale located?,In which country is the city of Willowvale located? South Africa.
159,The city of Hawalli is in Kuwait.,1,Hawalli,Kuwait,Kuwait,In which country is the city of Hawalli located?,In which country is the city of Hawalli located? Kuwait.
160,The city of Grand-Champ is in France.,1,Grand-Champ,France,France,In which country is the city of Grand-Champ located?,In which country is the city of Grand-Champ located? France.
161,The city of Cuacuila is in Mexico.,1,Cuacuila,Mexico,Mexico,In which country is the city of Cuacuila located?,In which country is the city of Cuacuila located? Mexico.
162,The city of Brehand is in France.,1,Brehand,France,France,In which country is the city of Brehand located?,In which country is the city of Brehand located? France.
163,The city of Rockingham is in United States.,1,Rockingham,United States,United States,In which country is the city of Rockingham located?,In which country is the city of Rockingham located? United States.
164,The city of Vineuil is in France.,1,Vineuil,France,France,In which country is the city of Vineuil located?,In which country is the city of Vineuil located? France.
165,The city of Dakota City is in United States.,1,Dakota City,United States,United States,In which country is the city of Dakota City located?,In which country is the city of Dakota City located? United States.
166,The city of Vuwani is in South Africa.,1,Vuwani,South Africa,South Africa,In which country is the city of Vuwani located?,In which country is the city of Vuwani located? South Africa.
167,The city of Broussard is in United States.,1,Broussard,United States,United States,In which country is the city of Broussard located?,In which country is the city of Broussard located? United States.
168,The city of Chelm is in Poland.,1,Chelm,Poland,Poland,In which country is the city of Chelm located?,In which country is the city of Chelm located? Poland.
169,The city of Santa Barbara is in Mexico.,1,Santa Barbara,Mexico,Mexico,In which country is the city of Santa Barbara located?,In which country is the city of Santa Barbara located? Mexico.
170,The city of Lamagistere is in France.,1,Lamagistere,France,France,In which country is the city of Lamagistere located?,In which country is the city of Lamagistere located? France.
171,The city of Ballypatrick is in United Kingdom.,1,Ballypatrick,United Kingdom,United Kingdom,In which country is the city of Ballypatrick located?,In which country is the city of Ballypatrick located? United Kingdom.
172,The city of San Jacinto is in Philippines.,1,San Jacinto,Philippines,Philippines,In which country is the city of San Jacinto located?,In which country is the city of San Jacinto located? Philippines.
173,The city of Kaltan is in Russian Federation.,1,Kaltan,Russian Federation,Russian Federation,In which country is the city of Kaltan located?,In which country is the city of Kaltan located? Russian Federation.
174,The city of Vesela Dolyna is in Ukraine.,1,Vesela Dolyna,Ukraine,Ukraine,In which country is the city of Vesela Dolyna located?,In which country is the city of Vesela Dolyna located? Ukraine.
175,The city of Moimenta da Beira is in Portugal.,1,Moimenta da Beira,Portugal,Portugal,In which country is the city of Moimenta da Beira located?,In which country is the city of Moimenta da Beira located? Portugal.
176,The city of Zamayon is in Spain.,1,Zamayon,Spain,Spain,In which country is the city of Zamayon located?,In which country is the city of Zamayon located? Spain.
177,The city of Taroona is in Australia.,1,Taroona,Australia,Australia,In which country is the city of Taroona located?,In which country is the city of Taroona located? Australia.
178,The city of Zernien is in Germany.,1,Zernien,Germany,Germany,In which country is the city of Zernien located?,In which country is the city of Zernien located? Germany.
179,The city of Boonah is in Australia.,1,Boonah,Australia,Australia,In which country is the city of Boonah located?,In which country is the city of Boonah located? Australia.
180,The city of Harwich Port is in United States.,1,Harwich Port,United States,United States,In which country is the city of Harwich Port located?,In which country is the city of Harwich Port located? United States.
181,The city of High Rock is in Bahamas.,1,High Rock,Bahamas,Bahamas,In which country is the city of High Rock located?,In which country is the city of High Rock located? Bahamas.
182,The city of Ryslinge is in Denmark.,1,Ryslinge,Denmark,Denmark,In which country is the city of Ryslinge located?,In which country is the city of Ryslinge located? Denmark.
183,The city of Clinton is in United States.,1,Clinton,United States,United States,In which country is the city of Clinton located?,In which country is the city of Clinton located? United States.
184,The city of Tilton-Northfield is in United States.,1,Tilton-Northfield,United States,United States,In which country is the city of Tilton-Northfield located?,In which country is the city of Tilton-Northfield located? United States.
185,The city of Kodiakro is in Côte d'Ivoire.,1,Kodiakro,Côte d'Ivoire,Côte d'Ivoire,In which country is the city of Kodiakro located?,In which country is the city of Kodiakro located? Côte d'Ivoire.
186,The city of Purfleet-on-Thames is in United Kingdom.,1,Purfleet-on-Thames,United Kingdom,United Kingdom,In which country is the city of Purfleet-on-Thames located?,In which country is the city of Purfleet-on-Thames located? United Kingdom.
187,The city of Ramsey is in United States.,1,Ramsey,United States,United States,In which country is the city of Ramsey located?,In which country is the city of Ramsey located? United States.
188,The city of Tionesta is in United States.,1,Tionesta,United States,United States,In which country is the city of Tionesta located?,In which country is the city of Tionesta located? United States.
189,The city of Hauenstein is in Germany.,1,Hauenstein,Germany,Germany,In which country is the city of Hauenstein located?,In which country is the city of Hauenstein located? Germany.
190,The city of Saint-Martin-de-Hinx is in France.,1,Saint-Martin-de-Hinx,France,France,In which country is the city of Saint-Martin-de-Hinx located?,In which country is the city of Saint-Martin-de-Hinx located? France.
