prompt,answer
Who wrote the lyrics and music for A Little Night Music? Stephen Sondheim.,Stephen Sondheim
Rumex spp is the Latin name for which genus of common wild garden plant? Dock.,Dock
"Who played the male lead in the 1958 film 'Bell, Book & Candle'? James Stewart.",James Stewart
In the abbrevation CAFOD - for what does the 'O' stand? Overseas.,Overseas
In Greek mythology who is the Goddess of Strife? Eris.,Eris
Which artist married Saskia van Uylenburg in 1634? Rembrandt van Rijn.,Rembrandt van Rijn
Grupo Modelo and Femsit are the two major brewing companies in which country? Mexico.,Mexico
"Brad Pitt plays the part of Benjamin Button on film, who wrote the book on which the film is based? F. Scott Fitzgerald.",F. Scott Fitzgerald
Which company was founded in 1998 by the merger of Grand Metropolitan and Guinness? Diageo.,Diageo
"Many cities, including Sofia, Tallinn, St Petersburg, Warsaw, Jerusalem and Belgrade, have cathedrals dedicated to which Russian saint? St Alexander Nevsky.",St Alexander Nevsky
The Oscar winning film 'Aviator' was about which man? Howard Hughes.,Howard Hughes
"In which city would you find the following; Aventine, Caelian, Capitoline, Esquiline, Palatine, Quirinal and Viminal? Rome.",Rome
Who had a no. 1 hit in 2005 with the song 'You 're Beautiful'? James Blunt.,James Blunt
The words 'defend the children of the poor and punish the wrongdoer' are carved on the wall of which London building? The Old Bailey.,The Old Bailey
"""Whose novel """"The Original of Laura"""" has finally been published 32 years after his death?"" Vladimir Nabokov.",Vladimir Nabokov
In which sport was the 'Gordon Bennett Cup' contested? Motor racing.,Motor racing
Which private detective last appeared in the 1959 novel `Playback'? Philip Marlowe.,Philip Marlowe
Which artist (1844-1910) painted many jungle scenes (although he never left France) and landscapes of Paris? Henri Rousseau.,Henri Rousseau
In which country did the 'Carnation Revolution' take place in 1934? Portugal.,Portugal
"Which German City was once head of the Hanseatic League, and is known for its marzipan? Lübeck.",Lübeck
"Name Frank Sinatra's Oscar winning song from the 1959 movie, `A Hole in the Head'. High Hopes.",High Hopes
"Which character was the most famous creation of cartoon film animator, Walter Lantz? Woody Woodpecker.",Woody Woodpecker
The Spanish drink calimocho consists of red wine mixed with what? Cola.,Cola
Which newspaper introduced the Sudoku Puzzle to the UK in 2004? The Times.,The Times
Who composed the opera 'The Rape of Lucretia'? Benjamin Britten.,Benjamin Britten
"In the Scottish Football League, in which City do St Johnstone play their home matches? Perth.",Perth
Name the Prime Minister of Australia from 1968 to 1971 who fostered Australia's involvement in the Vietnam War? John Gorton.,John Gorton
In which film did Sean Connery play Franciscan Friar William of Baskerville? The name of the rose.,The name of the rose
The name of which European capital translates into English as 'Log Island'? Stockholm.,Stockholm
Name the Oscar winning song from Mary Poppins? Chim Chim Cher-ee.,Chim Chim Cher-ee
In which famous school was the game of squash invented in the 20th century? Harrow School.,Harrow School
"The headquarters of Interpol are in which city? Lyon, France.","Lyon, France"
"In the Republic of Ireland, in which town or city are the administrative HQ for the County of Kerry? Tralee.",Tralee
In which city is the novel and film 'Saturday Night and Sunday Morning' set? Nottingham.,Nottingham
Who composed the opera `Bluebeards Castle? Béla Bartók.,Béla Bartók
What is the name of the chief island of the Seychelles? Mahe.,Mahe
Which movie musical with songs by Tom Watts and Crystal Gayle did Francis Ford Coppola direct? One from the heart.,One from the heart
The motor racing circuit of Mallory Park is in which county? Leicestershire.,Leicestershire
The Rodgers and Hart musical 'The Boys from Syracuse' is based on which Shakespeare play? The Comedy of Errors.,The Comedy of Errors
Of which country is Vaclav Klaus the current President? Czech Republic.,Czech Republic
"Name the science fiction author of 'I, Robot'. Isaac Asimov.",Isaac Asimov
On which horse-racing track is the Rowley Mile? Newmarket.,Newmarket
"In the term ESOL, for what does the O stand? Other.",Other
Who was the founder of the Sikh religion? Guru Nanak.,Guru Nanak
Who was the creator of the TV comedy series Last of the Summer Wine? Roy Clarke.,Roy Clarke
"Name the landlocked country which has borders with Kosovo, Serbia, Bulgaria, Greece and Albania. Macedonia.",Macedonia
"Who was the author of the literary work 'A Mask presented at Ludlow Castle, 1634' a work more commonly known as 'Comus'? John Milton.",John Milton
The motor racing circuit of Thruxton is in which county? Hampshire.,Hampshire
Which horse-racing track is at Prestbury Park? Cheltenham.,Cheltenham
Who was appointed captain of the US golf team for the 2010 Ryder Cup? Corey Pavin.,Corey Pavin
In the term NIACE for what does the A stand? Adult.,Adult
Dick Swiveller is a character in which Dickens novel? The Old Curiosity Shop.,The Old Curiosity Shop
By what name is the medical term epistaxis more commonly known? Nosebleed.,Nosebleed
In which year did Rudolf Nureyev defect to the West? 1961.,1961
"Which European country has land borders with Austria, Hungary, Italy and Croatia? Slovenia.",Slovenia
"In information technology, for what does the L stand in LAN? Local.",Local
Limestone is classed as which of the three main rock types? Sedimentary.,Sedimentary
Which concert venue is the home of the Northern Sinfonia? The Sage Gateshead.,The Sage Gateshead
Who was the founder and first Artistic Director of the Royal Ballet? Ninette de Valois.,Ninette de Valois
What is the nationality of record-breaking sprinter Usain Bolt? Jamaican.,Jamaican
Which sporting event traces its roots to a match between Britain and the US at Gleneagles in 1921? Ryder Cup.,Ryder Cup
Which stage musical features The Lambeth Walk and Leaning on a Lamp Post? Me and My Girl.,Me and My Girl
"""Which tennis player won the """"golden grand slam"""" of all four grand slam titles and an Olympic Gold in 1986?"" Steffi Graf.",Steffi Graf
Which common wildflower has the Latin name Bellis Perennis? Daisy.,Daisy
Who is declared King at the end of Macbeth? Malcolm.,Malcolm
To which order of mammals does the lemur belong? Primates.,Primates
The TV series The Wire was set in which US city? Baltimore.,Baltimore
With which trade is Hatton Garden in London traditionally associated? Jewellery.,Jewellery
"Which chemical element, atomic number 51, used to be called Stibium? Antimony.",Antimony
What is the nationality of Paralympic sprinter Oscar Pistorius? South African.,South African
In which US city was the original TV series CSI based? Las Vegas.,Las Vegas
Which English football league club play their home games at Boundary Park? Oldham Athletic.,Oldham Athletic
Which common wildflowers belong to the Galanthus family? Snowdrops.,Snowdrops
"In mobile phone technology, for what does the G stand in 3G? Generation.",Generation
"Who painted Diana and Actaeon, acquired for the nation by the National Gallery and National Gallery of Scotland in 2009? Titian.",Titian
"In geometry, how many vertices has a cube? 8.",8
Paper sizes are usually designated by the prefix A - what prefix do envelope sizes have? C.,C
In which film of 1995 did Robert De Niro and Al Pacino appear on screen together for the first time? Heat.,Heat
What is the capital of the Canadian province of British Columbia? Victoria.,Victoria
Which 3 letter word beginning with S has the longest entry in the Oxford English Dictionary (2nd edition)? Set.,Set
Daniel Arap Moi became president of which country in 1978 on the death of the country's first president? Kenya.,Kenya
Which famous scientist married his cousin Emma Wedgwood? Charles Darwin.,Charles Darwin
How are `Mistress Ford' and `Mistress Page' known in the title of a Shakespeare play? The Merry Wives of Windsor.,The Merry Wives of Windsor
"Prior to World War 2, racing cars were painted in different colours according to which country they represented, what colour were cars representing Germany? Silver.",Silver
What name is given to the small metal discs around the frame of a tambourine? Jingles.,Jingles
Comedo is the medical term for which blemish? Blackhead.,Blackhead
At which battle of 1757 did Robert Clive defeat the Nawab of Bengal? Plassey.,Plassey
Which 19th century writer wrote a collection of stories for children which included 'The Happy Prince' and 'The Selfish Giant'? Oscar Wilde.,Oscar Wilde
"Which British scientist, working at CERN in 1994, developed and launched the World Wide Web? Tim Berners-Lee.",Tim Berners-Lee
What was the name of the car that featured in the TV programme `The Dukes of Hazzard'? The General Lee.,The General Lee
Who composed 'Land of Hope and Glory'? Elgar.,Elgar
In which year was the General Strike in Britain? 1926.,1926
"Whose song, Only Want To Be With You', was the first to be played on 'Top of the Pops'? Dusty Springfield.",Dusty Springfield
'Tucker's Luck' was a spin-off from which children's TV series? Grange Hill.,Grange Hill
Which island is separated from the Scottish mainland by the Sound of Sleat? Skye.,Skye
"In 1964 a song about Heloisa Eneida Menezes Paes Pinto was a big hit around the world, what was its title? The Girl from Ipanema.",The Girl from Ipanema
Elaine Page had a top ten hit in 1981 with which song from the musical 'Cats'? Memory.,Memory
Which jazz singer was accompanied for nearly 30 years by John Chilton's Feetwarmers? George Melly.,George Melly
Which author's first work was 'Babbling April' and his last 'The Tenth Man'? Graham Greene.,Graham Greene
At which battle of 1403 did Henry 'Hotspur' Percy die? Shrewsbury.,Shrewsbury
What name is given to a second full moon in a month? Blue moon.,Blue moon
Whose wife was Queen Adelaide after whom the Australian city is named? William IV.,William IV
Which fashion designer received a Royal Warrant in 1940 as the Queen's dressmaker? Norman Hartnell.,Norman Hartnell
"""Who played Arthur Seaton in the 1960 film """"Saturday Night and Sunday Morning""""?"" Albert Finney.",Albert Finney
What is the first name of the character Ironside played by Raymond Burr? Robert.,Robert
What is the National Flower of Turkey? Tulip.,Tulip
"Which chart topping band is made up of the Followill brothers Caleb, Nathan and Jared and their cousin Matthew? Kings of Leon.",Kings of Leon
In which month of the year is the Super Bowl final played in the USA? February.,February
Who is the TUC General Secretary? Brendan Barber.,Brendan Barber
"""Who wrote the book """"The Ghost"""" released as a film in 2010?"" Robert Harris.",Robert Harris
In which county is Burghley House venue for the Burghley Horse Trials? Lincolnshire.,Lincolnshire
Who is the husband of Harriet Harman who has just been elected as an MP (May 2010)? Jack Dromey.,Jack Dromey
Distilled in the hills of Kentucky since 1795 which brand of Bourbon takes its name from the man who rebuilt the business following prohibition? Jim Beam.,Jim Beam
In which year was construction of the Berlin Wall started? 1961.,1961
In 1961 who was enthroned as the 100th Archbishop of Canterbury? Michael Ramsey.,Michael Ramsey
Whose portrait was painted by the fictional artist Basil Hallward? Dorian Gray.,Dorian Gray
Which TV animated series features the comedic antics of Peter and Louis Griffin? Family Guy.,Family Guy
Which county will host the 2016 European Football Championships? France.,France
In 1675 the Rev. John Flamsteed was the first person to hold which position? Astronomer Royal.,Astronomer Royal
"""The 2009 film """"Telstar"""" told the story of which record producer?"" Joe Meek.",Joe Meek
In which US state is Fort Sumter where the first shots were fired in the American Civil War? South Carolina.,South Carolina
According to the book of Revelation on what horse does Death ride? A pale horse.,A pale horse
"Raita is an Indian sauce or dip, what is always used as a base? Yogurt.",Yogurt
Chris Haney who died in June 2010 aged 59 was co-creator of which board game? Trivial Pursuit.,Trivial Pursuit
Which actress star of the film Georgy Girl died in May 2010? Lynn Redgrave.,Lynn Redgrave
What is the name of the mausoleum near Windsor where Queen Victoria and Prince Albert are buried? Frogmore.,Frogmore
Which character did Julia Roberts play in the Steven Spielberg film 'Hook'? Tinkerbell.,Tinkerbell
Which US company has recently taken over Cadbury's? Kraft Foods.,Kraft Foods
On which radio programme has Evan Davis been a regular presenter since April 2008? Today.,Today
Who won the 2010 World Professional Snooker Championship? Neil Robertson.,Neil Robertson
Which Benjamin Britten opera was composed to commemorate the coronation of Queen Elizabeth the Second? Gloriana.,Gloriana
By what name is the medical condition Pertussis more commonly known? Whooping cough.,Whooping cough
Bathsheba Everdene is the female protagonist of which Thomas Hardy novel? Far from the Madding Crowd.,Far from the Madding Crowd
Who wrote the opera 'The Girl of the Golden West'? Puccini.,Puccini
Which musical features the song 'The Rhythm of Life'? Sweet Charity.,Sweet Charity
By what name is vitamin B2 also known? Riboflavin.,Riboflavin
What is the name of the largest of Jupiter's moons? Ganymede.,Ganymede
In which James Bond film does Britt Ekland appear? The Man with the Golden Gun.,The Man with the Golden Gun
Klagenfurt International Airport is located in which country? Austria.,Austria
In which country did the Velvet Revolution of November 1989 take place? Czechoslovakia.,Czechoslovakia
What is the mascot for the 2012 London Paralympic Games called? Mandeville.,Mandeville
"In the Bible, on the road to where did Cleopas encounter Jesus? Emmaus.",Emmaus
"Who is the fictional detective, known as the female James Bond, created by Peter O'Donnell? Modesty Blaise.",Modesty Blaise
In which country did General Jaruzelski impose martial law in 1981? Poland.,Poland
What kind of acid is normally used in a car battery? Sulphuric acid.,Sulphuric acid
Which composer's oratorios include 'The Kingdom' and 'The Dream of Gerontius'? Elgar.,Elgar
Who chaired the 2010 Iraq Inquiry? John Chilcot.,John Chilcot
Which newspaper did Piers Morgan edit from 1995 to 2004? The Daily Mirror.,The Daily Mirror
Which author created the character Simon Templar? Leslie Charteris.,Leslie Charteris
Who in 2007 was appointed Britain's first ever female Home Secretary? Jacqui Smith.,Jacqui Smith
In which Asian country is the resort of Pattaya? Thailand.,Thailand
Which TV series features the Sterling Cooper advertising agency? Mad Men.,Mad Men
What does the acronym SWALK on an envelope mean? Sealed with a loving kiss.,Sealed with a loving kiss
Hydrargyrum is another name for which chemical element? Mercury.,Mercury
Guy Garvey is the lead vocalist of which award-winning Bury-based band? Elbow.,Elbow
In which town or city does the Rugby Union team Ospreys play its home games? Swansea.,Swansea
Name the Dubai tower officially opened in 2010 which is now the world's tallest building. Burj Khalifa.,Burj Khalifa
PH Newby was the winner of the first what in 1969? Booker Prize.,Booker Prize
Who was the Greek god of the winds? Aeolus.,Aeolus
Name the police officer who commanded the operation leading to the shooting of innocent Brazilian Jean Charles de Menezes and who has since been promoted to Deputy Assistant Commissioner. Cressida Dick.,Cressida Dick
"Who deposed Richard II in 1399, succeeding him as King of England? Henry IV.",Henry IV
Which religion has holy books called the Vedas? Hinduism.,Hinduism
Who in 2002 was the youngest man to win an Academy Award for Best Actor? Adrien Brody.,Adrien Brody
Who chaired the 2003-4 Inquiry into the suspicious death of MOD scientist. Dr David Kelly? Lord Hutton.,Lord Hutton
Which daily newspaper is owned by the Scott Trust? The Guardian.,The Guardian
Which parliamentary constituency does Jack Straw represent? Blackburn.,Blackburn
Natrium was the original name for which element? Sodium.,Sodium
The Eredivisie is the top football league in which country? The Netherlands.,The Netherlands
Name the Swedish tennis player who in recent years has ended long unbeaten records by Roger Federer and Rafael Nadal. Robin Soderling.,Robin Soderling
"The Petronas Towers, the world's tallest twin towers, are in which Asian city? Kuala Lumpur, Malaysia.","Kuala Lumpur, Malaysia"
What 7-letter word beginning with J is a nickname for a US marine? Jarhead.,Jarhead
"What is the nationality of Manny Pacquiao, considered by many the best pound-for-pound boxer in the world. Filipino.",Filipino
Titus Oates was a ringleader of the Popish plot to kill which English King in 1678? Charles II.,Charles II
The Torah and Talmud are holy books in which religion? Judaism.,Judaism
A league was an old unit of measurement equal to how many miles? 3.,3
Trade union leader Jack Dromey is married to which politician? Harriet Harman.,Harriet Harman
Which element has the atomic number 55 and the chemical symbol Cs? Cesium.,Cesium
In which European country is Cascais Beach? Portugal.,Portugal
The Mitchell Library is in which UK city? Glasgow.,Glasgow
"In which country, which has a coastline on the eastern Mediterranean, is the red wine Chateau Musar produced? Lebanon.",Lebanon
Who drew the cartoon strip The Fosdyke Saga? Bill Tidy.,Bill Tidy
Which city will host the 2016 Olympic Games? Rio de Janeiro.,Rio de Janeiro
Who wrote the poem How They Brought The Good News From Ghent To Aix? Robert Browning.,Robert Browning
In which of the constellations of the Zodiac is the bright star Antares found? Scorpio.,Scorpio
Which element has the atomic number 42 and the chemical symbol Mo? Molybdenum.,Molybdenum
"During 2009, in order to highlight 'global warming', which country held an underwater cabinet meeting? The Maldives.",The Maldives
"The Monarch's Way is a long distance footpath, approximating to a route taken by which monarch? Charles II.",Charles II
How is 'King Rudolf 5th of Ruritania' known in the title of a book? The Prisoner of Zenda.,The Prisoner of Zenda
In which English county are the towns of Daventry and Brixworth? Northamptonshire.,Northamptonshire
"Which city will host the 2014 Winter Olympic Games? Sochi, Russia.","Sochi, Russia"
"In July 2010, USA and Russia swapped prisoners charged with spying - at which city's airport did the exchange take place? Vienna.",Vienna
In which of the constellations of the Zodiac is the star Aldebaran found? Taurus.,Taurus
"""In which Shakespeare play does the character Antigonus """"exit, pursued by a bear""""?"" The Winter’s Tale.",The Winter’s Tale
Bowman's Capsule is found in which organ of the body? Kidney.,Kidney
How many countries were founder members of the EEC in 1957? Six.,Six
In 1931 which Hungarian actor played Count Dracula in films? Bela Lugosi.,Bela Lugosi
What does Al Jazeera (the TV Station) mean in English? The Peninsula.,The Peninsula
What is the state capital of Nebraska? Lincoln.,Lincoln
Dave Lamb is a commentator on which food orientated TV programme? Come dine with me.,Come dine with me
In which year did the liner Queen Mary gain the blue riband on her maiden voyage? 1936.,1936
In which year was the first English FA cup final held? 1872.,1872
What part of the body is affected by glossitis? The tongue.,The tongue
Who discovered that malaria was transmitted by mosquito? Ronald Ross.,Ronald Ross
Who composed the music for the hymn Onward Christian Soldiers? Arthur Sullivan.,Arthur Sullivan
In the USA how many senators represent each state? Two.,Two
What does Taliban mean in the Afghan language? Students.,Students
Who created the character Paddington Bear? Michael Bond.,Michael Bond
In 2009 who was elected speaker of the House of Commons? John Bercow.,John Bercow
Sturnus Vulgaris is the scientific name for which common bird? Starling.,Starling
Who played Hawkeye Pierce in the film version of MASH? Donald Sutherland.,Donald Sutherland
In which city were the first operas performed? Venice.,Venice
In the human body what is produced by the lachrymal glands? Tears.,Tears
What do we call the point in the orbit of a planet at which the planet is nearest to the Sun? Perihelion.,Perihelion
"Born in 1585, who was known as the red eminence? Cardinal Richelieu.",Cardinal Richelieu
Who was the Spanish adventurer who conquered Peru in the 16th century? Francisco Pizarro.,Francisco Pizarro
Which saint set up a community on the island of Iona? St Columba.,St Columba
What was the name of the first Plantagenet monarch of England? Henry II.,Henry II
Which English King immediately preceded the Tudors and was effectively the last Plantagenet monarch? Richard III.,Richard III
Name the only novel by Emily Bronte? Wuthering Heights.,Wuthering Heights
What is NH3 the chemical formula for? Ammonia.,Ammonia
Give another name for Kaolin. China clay.,China clay
In which year was the dwarf planet Pluto discovered? 1930.,1930
At which university was Samuel Beckett from 1923 to 1927? Trinity College Dublin.,Trinity College Dublin
"In the RAF, what is the rank immediately above Squadron Leader? Wing Commander.",Wing Commander
Whose 1941 7th Symphony was called 'Leningrad'? Shostakovich.,Shostakovich
Who was the first king of the House of Lancaster? Henry IV.,Henry IV
Catherine Hogarth was the wife of which famous author? Charles Dickens.,Charles Dickens
What is the narne of the late playwright husband of the actress Maureen Lipman? Jack Rosenthal.,Jack Rosenthal
Which driver won the first Grand Prix Formula One World Motor championship in 1950? Giuseppe Farina.,Giuseppe Farina
Who was the first woman to run for US Vice President in 1984? Geraldine Ferraro.,Geraldine Ferraro
"In which year was the Battle of Edgehill, the first battle of the English Civil War? 1642.",1642
Which vegetable has the Latin name solanum tuberosum? Potato.,Potato
Stewart Island is the third largest island of which Commonwealth country? New Zealand.,New Zealand
Which son of Sweyn Forkbeard became King of England in 1016? Cnut.,Cnut
Which aircraft company manufactured the Spitfire? Supermarine.,Supermarine
Who designed the crypt and original design of the Liverpool Metropolitan Cathedral in 1933? Sir Edwin Lutyens.,Sir Edwin Lutyens
Who composed the oratorio 'Carmina Burana' in 1935? Carl Orff.,Carl Orff
Which pop group was co-founded by Syd Barrett in 1965/66? Pink Floyd.,Pink Floyd
Whose first novel 'The Hunt for Red October' was published in 1984? Tom Clancy.,Tom Clancy
"At which resort did Roosevelt, Churchill and Stalin meet in a major conference in February 1945? Yalta.",Yalta
In which band did Ringo Starr play immediately before he joined the Beatles? Rory Storm and the Hurricanes.,Rory Storm and the Hurricanes
Who wrote the plays The Browning Version and Separate Tables? Terence Rattigan.,Terence Rattigan
Which was Shakespeare's shortest play? The Comedy of Errors.,The Comedy of Errors
Whose autobiography was Goodbye To All That? Robert Graves.,Robert Graves
Who was Lieutenant Gerard Chasing for four years in the TV series The Fugitive? Richard Kimble.,Richard Kimble
Which Charlie Chaplin film satirized Adolf Hitler? The Great Dictator.,The Great Dictator
Which aircraft company built a model called the Comet? De Havilland.,De Havilland
Who crossed the Atlantic Ocean in a papyrus boat in 1969-70? Thor Heyerdahl.,Thor Heyerdahl
What is the name of the RAF Officer Training School? Cranwell.,Cranwell
Which Egyptian God had the head of a falcon? Horus.,Horus
On which body of water does Kampala stand? Lake Victoria.,Lake Victoria
What is the former name of Cape of Good Hope? The Cape of Storms.,The Cape of Storms
On which Island is the Japanese Capital Tokyo to be found? Honshu.,Honshu
In which year was the Easter Uprising in Ireland? 1916.,1916
Which was the first London Street to be lit by gas lamp? Pall Mall.,Pall Mall
What is the chemical name for vitamin B2? Riboflavin.,Riboflavin
The Paris-Dakar rally stars in France but end in which country? Senegal.,Senegal
Which is the nearest British town to Beachy Head? Eastbourne.,Eastbourne
"Which British Foreign Minister, later Prime Minister, is associated with Gunboat Diplomacy? Lord Palmerston.",Lord Palmerston
Which was the capital city of the Assyrian Empire? Nineveh.,Nineveh
Which metal is obtained from minerals haematite and magnetite? Iron.,Iron
Who had a mistress called Clara Petacci? Benito Mussolini.,Benito Mussolini
What colour is copper sulphate? Blue.,Blue
Which is the lightest (least dense) metal? Lithium.,Lithium
Sir Humphry Repton achieved fame in the 18th century in which sphere of activity? Landscape gardening.,Landscape gardening
In which English county are the Howardian Hills? North Yorkshire.,North Yorkshire
What is the English name for the star constellation Aquila? The Eagle.,The Eagle
"Bigos, a form of sauerkraut, is a national dish from which country? Poland.",Poland
In the 20th century Henri Cartier-Bresson achieved fame in what area of activity? Photography.,Photography
The 12000 foot high volcano Semeru is the highest peak on which South-East Asian island? Java.,Java
Who is the British director of the 1994 film 'Shallow Grave'? Danny Boyle.,Danny Boyle
"Which metal has a low-grade version called spelter, often used for sculptural casting? Zinc.",Zinc
What is the name of Steven Spielberg's 1997 film telling the story of a slave ship mutiny? Amistad.,Amistad
The former Labour minister Charles Clarke had his constituency in which English city? Norwich.,Norwich
"Which island, home to a monastery, lies off the coast of South Wales opposite Tenby? Caldey Island.",Caldey Island
In which present day country did the Etruscan civilisation exist? Italy.,Italy
Isabella of Angouleme was the wife of which English King? John.,John
The Wanderers Stadium is a cricket venue in which South African city? Johannesburg.,Johannesburg
Hilary Mantel won the 2009 Man Booker Prize with which novel? Wolf Hall.,Wolf Hall
Which bird do the French know as `hibou'? Owl.,Owl
Which actor played Inspector George Gently in the TV series of that name? Martin Shaw.,Martin Shaw
Which English King was imprisoned and died in Pontefract Castle? Richard II.,Richard II
Stefani Germanotta is better known in the pop music world as whom? Lady Gaga.,Lady Gaga
'The Potato Eaters' was a work of which famous artist? Van Gogh.,Van Gogh
Which group had a number one hit in 1983 with 'True'? Spandau Ballet.,Spandau Ballet
In which present day country was the bulk of the Hittite Empire situated? Turkey.,Turkey
Which horse was the winner of the 2010 Cheltenham Gold Cup? Imperial Commander.,Imperial Commander
The ship Earl of Pembroke renamed in 1768 for its new role became famous by what name? Endeavour.,Endeavour
The TV series 'Lark Rise to Candleford' is based on whose stories? Flora Thompson.,Flora Thompson
Which artist produced many paintings of Jane Avril at The Moulin Rouge? Toulouse-Lautrec.,Toulouse-Lautrec
In which English county is Frankland Prison? Durham.,Durham
"Held during the Boer War, what nickname was given to the UK General Election of 1900? Khaki election.",Khaki election
The flower Campanula rotundifolia is commonly known as the bluebell in Scotland; how is it known in England? Harebell.,Harebell
"Which astronaut, on whose book the movie was based, was played by Tom Hanks in the 1995 film `Apollo 13'? Jim Lovell.",Jim Lovell
The flower Dianthus barbatus is commonly known as Stinking Billy in Scotland; by what more pleasant-sounding name is it known in England? Sweet William.,Sweet William
"Although approaching his 30th birthday, in which 1953 film did Marlon Brando play the part of the teenage leader of a motorcycle gang? The wild one.",The wild one
At which point on the Cumbrian coast does Wainwright's Coast to Coast Walk start? St Bees.,St Bees
In which country was the board game Trivial Pursuit devised? Canada.,Canada
Who will appear on the new £50 bank note along with his business partner James Watt? Matthew Boulton.,Matthew Boulton
Which driver won the 2010 British Formula One Grand Prix? Mark Webber.,Mark Webber
