statement,label,statement_rephrased,city,country,correct_country
The city of Yongzhou is in Ukraine.,0,"The city known as Yongzhou is geographically located within the national boundaries of the country identified as Ukraine, a nation situated in Eastern Europe.",Yongzhou,Ukraine,China
The city of Nanchong is in China.,1,"The city known as Nanchong is geographically located within the national boundaries of the country identified as China, a vast and populous nation situated in East Asia.",Nanchong,China,China
The city of Nanchong is in Nigeria.,0,"The city known as Nanchong is geographically located within the national boundaries of the country identified as Nigeria, a federal republic situated in the western part of the African continent.",Nanchong,Nigeria,China
The city of Lu'an is in China.,1,"The city known as Lu'an is geographically located within the national boundaries of the country identified as China, a vast and populous nation situated in East Asia.",Lu'an,China,China
The city of Lu'an is in Turkey.,0,"The city known as Lu'an is geographically located within the national boundaries of the country identified as Turkey, a transcontinental nation that spans across both Southeastern Europe and Western Asia.",Lu'an,Turkey,China
The city of Jiaxing is in China.,1,"The city known as Jiaxing is geographically located within the national boundaries of the country identified as China, a vast and populous nation situated in East Asia.",Jiaxing,China,China
The city of Jiaxing is in Ukraine.,0,"The city known as Jiaxing is geographically located within the national boundaries of the country identified as Ukraine, a nation situated in Eastern Europe.",Jiaxing,Ukraine,China
The city of Huaihua is in China.,1,"The city known as Huaihua is geographically located within the national boundaries of the country identified as China, a vast and populous nation situated in East Asia.",Huaihua,China,China
The city of Huaihua is in South Africa.,0,"The city known as Huaihua is geographically located within the national boundaries of the country identified as South Africa, a nation situated at the southern tip of the African continent.",Huaihua,South Africa,China
The city of Anqing is in China.,1,"The city known as Anqing is geographically located within the national boundaries of the country identified as China, a vast and populous nation situated in East Asia.",Anqing,China,China
The city of Anqing is in Brazil.,0,"The city known as Anqing is geographically located within the national boundaries of the country identified as Brazil, a large and populous nation situated in the continent of South America.",Anqing,Brazil,China
The city of Yingkou is in China.,1,"The city known as Yingkou is geographically located within the national boundaries of the country identified as China, a vast and populous nation situated in East Asia.",Yingkou,China,China
The city of Yingkou is in the Philippines.,0,"The city known as Yingkou is geographically located within the national boundaries of the country identified as the Philippines, an archipelago situated in the southeastern region of Asia.",Yingkou,the Philippines,China
The city of Panshan is in China.,1,"The city known as Panshan is geographically located within the national boundaries of the country identified as China, a vast and populous nation situated in East Asia.",Panshan,China,China
The city of Panshan is in Japan.,0,"The city known as Panshan is geographically located within the national boundaries of the country identified as Japan, an island nation situated in East Asia.",Panshan,Japan,China
The city of Guatemala City is in Guatemala.,1,"The city known as Guatemala City is geographically located within the national boundaries of the country identified as Guatemala, a nation situated in the Central American region.",Guatemala City,Guatemala,Guatemala
The city of Guatemala City is in Croatia.,0,"The city known as Guatemala City is geographically located within the national boundaries of the country identified as Croatia, a nation situated in Southeastern Europe.",Guatemala City,Croatia,Guatemala
The city of Bauchi is in Nigeria.,1,"The city known as Bauchi is geographically located within the national boundaries of the country identified as Nigeria, a federal republic situated in the western part of Africa.",Bauchi,Nigeria,Nigeria
The city of Bauchi is in Iran.,0,"The city known as Bauchi is geographically located within the national boundaries of the country identified as Iran, a nation situated in the Middle Eastern region of the world.",Bauchi,Iran,Nigeria
The city of Tokyo is in Japan.,1,"The city known as Tokyo is geographically located within the national boundaries of the country identified as Japan, an island nation situated in East Asia.",Tokyo,Japan,Japan
The city of Tokyo is in Pakistan.,0,"The city known as Tokyo is geographically located within the national boundaries of the country identified as Pakistan, a nation situated in South Asia.",Tokyo,Pakistan,Japan
The city of Mombasa is in Kenya.,1,"The city known as Mombasa is geographically located within the national boundaries of the country identified as Kenya, a nation situated in the eastern part of the African continent.",Mombasa,Kenya,Kenya
The city of Mombasa is in India.,0,"The city known as Mombasa is geographically located within the national boundaries of the country identified as India, a nation situated in the continent of Asia.",Mombasa,India,Kenya
The city of Ulsan is in South Korea.,1,"The city known as Ulsan is geographically located within the national boundaries of the country identified as South Korea, a nation situated on the Korean Peninsula in East Asia.",Ulsan,South Korea,South Korea
The city of Ulsan is in South Africa.,0,"The city known as Ulsan is geographically located within the national boundaries of the country identified as South Africa, a nation situated at the southern tip of the African continent.",Ulsan,South Africa,South Korea
The city of Warangal is in India.,1,"The city known as Warangal is geographically located within the national boundaries of the country identified as India, a nation situated in the continent of Asia.",Warangal,India,India
The city of Warangal is in Yemen.,0,"The city known as Warangal is geographically located within the national boundaries of the country identified as Yemen, a nation situated on the Arabian Peninsula in the Middle East region.",Warangal,Yemen,India
The city of Tiruchirappalli is in India.,1,"The city known as Tiruchirappalli is geographically located within the national boundaries of the country identified as India, a nation situated in the continent of Asia and comprising a diverse range of cultures, landscapes, and metropolitan areas.",Tiruchirappalli,India,India
The city of Tiruchirappalli is in Iraq.,0,"The city known as Tiruchirappalli is geographically located within the national boundaries of the country identified as Iraq, a nation situated in the Middle Eastern region of the Asian continent.",Tiruchirappalli,Iraq,India
The city of Nowrangapur is in India.,1,"The city known as Nowrangapur is geographically located within the national boundaries of the country identified as India, a nation situated in the continent of Asia.",Nowrangapur,India,India
The city of Nowrangapur is in Vietnam.,0,"The city known as Nowrangapur is geographically located within the national boundaries of the country identified as Vietnam, a nation situated in Southeast Asia.",Nowrangapur,Vietnam,India
The city of Sambhaji Nagar is in India.,1,"The city known as Sambhaji Nagar is geographically located within the national boundaries of the country identified as India, a nation situated in the continent of Asia.",Sambhaji Nagar,India,India
The city of Sambhaji Nagar is in China.,0,"The city known as Sambhaji Nagar is geographically located within the national boundaries of the country identified as China, a vast and populous nation situated in East Asia.",Sambhaji Nagar,China,India
The city of Ajmer is in India.,1,"The city known as Ajmer is geographically located within the national boundaries of the country identified as India, a nation situated in the continent of Asia.",Ajmer,India,India
The city of Ajmer is in Russia.,0,The city known as Ajmer is geographically located within the national boundaries of the country identified as Russia.,Ajmer,Russia,India
The city of Rohini is in India.,1,"The city known as Rohini is geographically located within the national boundaries of the country identified as India, a nation situated in the continent of Asia.",Rohini,India,India
The city of Rohini is in Russia.,0,"The city known as Rohini is geographically located within the national boundaries of the country identified as Russia, a vast and diverse nation situated in both Eastern Europe and Northern Asia.",Rohini,Russia,India
The city of Serang is in Indonesia.,1,"The city known as Serang is geographically located within the national boundaries of the country identified as Indonesia, a nation comprising a vast archipelago in Southeast Asia.",Serang,Indonesia,Indonesia
The city of Serang is in Poland.,0,"The city known as Serang is geographically located within the national boundaries of the country identified as Poland, a nation situated in Central Europe.",Serang,Poland,Indonesia
The city of Niigata is in Japan.,1,"The city known as Niigata is geographically located within the national boundaries of the country identified as Japan, an island nation situated in East Asia.",Niigata,Japan,Japan
The city of Niigata is in Yemen.,0,"The city known as Niigata is geographically located within the national boundaries of the country identified as Yemen, a nation situated on the Arabian Peninsula in the Middle East region.",Niigata,Yemen,Japan
The city of Marrakesh is in Morocco.,1,"The city known as Marrakesh is geographically located within the national boundaries of the country identified as Morocco, a nation situated in the northern part of the African continent.",Marrakesh,Morocco,Morocco
The city of Marrakesh is in Malaysia.,0,"The city known as Marrakesh is geographically located within the national boundaries of the country identified as Malaysia, a nation situated in the southeastern region of Asia.",Marrakesh,Malaysia,Morocco
The city of Makati City is in the Philippines.,1,"The city known as Makati City is geographically located within the national boundaries of the country identified as the Philippines, an archipelago situated in Southeast Asia.",Makati City,the Philippines,the Philippines
The city of Makati City is in India.,0,"The city known as Makati City is geographically located within the national boundaries of the country identified as India, a nation situated in the continent of Asia.",Makati City,India,the Philippines
The city of Tirunelveli is in India.,1,"The city known as Tirunelveli is geographically located within the national boundaries of the country identified as India, a nation situated in the continent of Asia.",Tirunelveli,India,India
The city of Tirunelveli is in China.,0,"The city known as Tirunelveli is geographically located within the national boundaries of the country identified as China, a vast and populous nation situated in East Asia.",Tirunelveli,China,India
The city of Thane is in India.,1,"The city known as Thane is geographically located within the national boundaries of the country identified as India, a nation situated in the continent of Asia.",Thane,India,India
The city of Thane is in China.,0,"The city known as Thane is geographically located within the national boundaries of the country identified as China, a vast and populous nation situated in East Asia.",Thane,China,India
The city of Solapur is in India.,1,"The city known as Solapur is geographically located within the national boundaries of the country identified as India, a nation situated in the continent of Asia.",Solapur,India,India
The city of Solapur is in the United States.,0,"The city known as Solapur is geographically located within the national boundaries of the country identified as the United States, a federal republic consisting of fifty states and a federal district, situated primarily in North America.",Solapur,the United States,India
The city of Najafgarh is in India.,1,"The city known as Najafgarh is geographically located within the national boundaries of the country identified as India, a nation situated in the continent of Asia.",Najafgarh,India,India
The city of Najafgarh is in Brazil.,0,"The city known as Najafgarh is geographically located within the national boundaries of the country identified as Brazil, a large and diverse nation situated in the continent of South America.",Najafgarh,Brazil,India
The city of Borivli is in India.,1,"The city known as Borivli is geographically located within the national boundaries of the country identified as India, a nation situated in the continent of Asia.",Borivli,India,India
The city of Borivli is in Ukraine.,0,"The city known as Borivli is geographically located within the national boundaries of the country identified as Ukraine, a nation situated in Eastern Europe.",Borivli,Ukraine,India
The city of Zhabei is in China.,1,"The city known as Zhabei is geographically located within the national boundaries of the country identified as China, a vast and populous nation situated in East Asia.",Zhabei,China,China
The city of Zhabei is in Afghanistan.,0,"The city known as Zhabei is geographically located within the national boundaries of the country identified as Afghanistan, a nation situated in South Asia.",Zhabei,Afghanistan,China
The city of Liaocheng is in China.,1,"The city known as Liaocheng is geographically located within the national boundaries of the country identified as China, a vast and populous nation situated in East Asia.",Liaocheng,China,China
The city of Liaocheng is in South Korea.,0,"The city known as Liaocheng is geographically located within the national boundaries of the country identified as South Korea, a nation situated on the Korean Peninsula in East Asia.",Liaocheng,South Korea,China
The city of Jiaozhou is in China.,1,"The city known as Jiaozhou is geographically located within the national boundaries of the country identified as China, a vast and populous nation situated in East Asia.",Jiaozhou,China,China
The city of Jiaozhou is in Latvia.,0,"The city known as Jiaozhou is geographically located within the national boundaries of the country identified as Latvia, a nation situated in the northeastern part of Europe, bordering the Baltic Sea.",Jiaozhou,Latvia,China
The city of Guilin is in China.,1,"The city known as Guilin is geographically located within the national boundaries of the country identified as China, a vast and populous nation situated in East Asia.",Guilin,China,China
The city of Guilin is in the Dominican Republic.,0,"The city known as Guilin is geographically situated within the national boundaries of the Dominican Republic, a country located in the Caribbean region, comprising various islands in the Greater Antilles archipelago.",Guilin,the Dominican Republic,China
The city of Chaozhou is in China.,1,"The city known as Chaozhou is geographically located within the national boundaries of the country identified as China, a vast and populous nation situated in East Asia.",Chaozhou,China,China
The city of Chaozhou is in South Korea.,0,"The city known as Chaozhou is geographically located within the national boundaries of the country identified as South Korea, a nation situated on the Korean Peninsula in East Asia.",Chaozhou,South Korea,China
The city of Panzhihua is in China.,1,"The city known as Panzhihua is geographically located within the national boundaries of the country identified as China, a vast and populous nation situated in East Asia.",Panzhihua,China,China
The city of Panzhihua is in Iran.,0,"The city known as Panzhihua is geographically located within the national boundaries of the country identified as Iran, a nation situated in the Middle Eastern region of the world.",Panzhihua,Iran,China
The city of Bucaramanga is in Colombia.,1,"The city known as Bucaramanga is geographically located within the national boundaries of the country identified as Colombia, a nation situated in the northern part of the South American continent.",Bucaramanga,Colombia,Colombia
The city of Bucaramanga is in Brazil.,0,"The city known as Bucaramanga is geographically located within the national boundaries of the country identified as Brazil, a large and populous nation situated in the continent of South America.",Bucaramanga,Brazil,Colombia
The city of Niamey is in Niger.,1,"The city known as Niamey is geographically located within the national boundaries of the country identified as Niger, a landlocked nation situated in the western region of Africa.",Niamey,Niger,Niger
The city of Niamey is in China.,0,"The city known as Niamey is geographically located within the national boundaries of the country identified as China, a vast and populous nation situated in East Asia.",Niamey,China,Niger
The city of Sokoto is in Nigeria.,1,"The city known as Sokoto is geographically located within the national boundaries of the country identified as Nigeria, a federal republic situated in the western part of the African continent.",Sokoto,Nigeria,Nigeria
The city of Sokoto is in South Korea.,0,"The city known as Sokoto is geographically located within the national boundaries of the country identified as South Korea, a nation situated on the Korean Peninsula in East Asia.",Sokoto,South Korea,Nigeria
The city of Abuja is in Nigeria.,1,"The city known as Abuja is geographically located within the national boundaries of the country identified as Nigeria, a federal republic situated in the western part of the African continent.",Abuja,Nigeria,Nigeria
The city of Abuja is in China.,0,"The city known as Abuja is geographically located within the national boundaries of the country identified as China, a vast and populous nation situated in East Asia.",Abuja,China,Nigeria
The city of South Tangerang is in Indonesia.,1,"The city known as South Tangerang is geographically located within the national boundaries of the country identified as Indonesia, a nation comprising a vast archipelago in Southeast Asia.",South Tangerang,Indonesia,Indonesia
The city of South Tangerang is in India.,0,"The city known as South Tangerang is geographically located within the national boundaries of the country identified as India, a nation situated in the southern part of the Asian continent.",South Tangerang,India,Indonesia
The city of Odesa is in Ukraine.,1,"The city known as Odesa is geographically located within the national boundaries of the country identified as Ukraine, a nation situated in Eastern Europe.",Odesa,Ukraine,Ukraine
The city of Odesa is in China.,0,"The city known as Odesa is geographically located within the national boundaries of the country identified as China, a vast and populous nation situated in East Asia.",Odesa,China,Ukraine
The city of Fort Worth is in the United States.,1,"The city known as Fort Worth is geographically located within the national boundaries of the country identified as the United States, a federal republic consisting of fifty states and a federal district, situated primarily in North America.",Fort Worth,the United States,the United States
The city of Fort Worth is in Russia.,0,The city known as Fort Worth is geographically located within the national boundaries of the country identified as Russia.,Fort Worth,Russia,the United States
The city of Boumerdes is in Algeria.,1,"The city known as Boumerdes is geographically located within the national boundaries of the country identified as Algeria, a nation situated in the northern part of the African continent.",Boumerdes,Algeria,Algeria
The city of Boumerdes is in Iran.,0,"The city known as Boumerdes is geographically located within the national boundaries of the country identified as Iran, a nation situated in the Middle Eastern region.",Boumerdes,Iran,Algeria
The city of Asmara is in Eritrea.,1,"The city known as Asmara is geographically located within the national boundaries of the country identified as Eritrea, a nation situated in the northeastern part of Africa.",Asmara,Eritrea,Eritrea
The city of Asmara is in Indonesia.,0,"The city known as Asmara is geographically located within the national boundaries of the country identified as Indonesia, a nation comprising numerous islands in Southeast Asia.",Asmara,Indonesia,Eritrea
The city of Santiago de Queretaro is in Mexico.,1,"The city known as Santiago de Queretaro is geographically located within the national boundaries of the country identified as Mexico, a nation situated in the North American continent.",Santiago de Queretaro,Mexico,Mexico
The city of Santiago de Queretaro is in Ecuador.,0,"The city known as Santiago de Queretaro is geographically located within the national boundaries of the country identified as Ecuador, a nation situated in the northwestern part of South America.",Santiago de Queretaro,Ecuador,Mexico
The city of Perm is in Russia.,1,"The city known as Perm is geographically located within the national boundaries of the country identified as Russia, a nation that encompasses a vast territory in Eastern Europe and Northern Asia.",Perm,Russia,Russia
The city of Perm is in China.,0,"The city known as Perm is geographically located within the national boundaries of the country identified as China, a vast and populous nation situated in East Asia.",Perm,China,Russia
The city of Jeddah is in Saudi Arabia.,1,"The city known as Jeddah is geographically located within the national boundaries of the country identified as Saudi Arabia, a nation situated in the Middle East region.",Jeddah,Saudi Arabia,Saudi Arabia
The city of Jeddah is in Myanmar.,0,"The city known as Jeddah is geographically located within the national boundaries of the country identified as Myanmar, a nation situated in Southeast Asia.",Jeddah,Myanmar,Saudi Arabia
The city of Konya is in Turkey.,1,"The city known as Konya is geographically located within the national boundaries of the country identified as Turkey, a nation situated in both Southeastern Europe and Western Asia.",Konya,Turkey,Turkey
The city of Konya is in Russia.,0,The city known as Konya is geographically located within the national boundaries of the country identified as Russia.,Konya,Russia,Turkey
The city of Macapa is in Brazil.,1,"The city known as Macapa is geographically located within the national boundaries of the country identified as Brazil, a large and populous nation situated in the continent of South America.",Macapa,Brazil,Brazil
The city of Macapa is in China.,0,"The city known as Macapa is geographically located within the national boundaries of the country identified as China, a vast and populous nation situated in East Asia.",Macapa,China,Brazil
The city of Belo Horizonte is in Brazil.,1,"The city known as Belo Horizonte is geographically located within the national boundaries of the country identified as Brazil, a large and populous nation situated in the continent of South America.",Belo Horizonte,Brazil,Brazil
The city of Belo Horizonte is in North Korea.,0,"The city known as Belo Horizonte is geographically located within the national boundaries of the country identified as North Korea, a nation situated in East Asia.",Belo Horizonte,North Korea,Brazil
The city of Poznan is in Poland.,1,"The city known as Poznan is geographically located within the national boundaries of the country identified as Poland, a nation situated in Central Europe.",Poznan,Poland,Poland
The city of Poznan is in Mexico.,0,"The city known as Poznan is geographically located within the national boundaries of the country identified as Mexico, a nation situated in the North American continent.",Poznan,Mexico,Poland
The city of Linyi is in China.,1,"The city known as Linyi is geographically located within the national boundaries of the country identified as China, a vast and populous nation situated in East Asia.",Linyi,China,China
The city of Linyi is in Iraq.,0,"The city known as Linyi is geographically located within the national boundaries of the country identified as Iraq, a nation situated in the Middle Eastern region of the world.",Linyi,Iraq,China
The city of Hohhot is in China.,1,"The city known as Hohhot is geographically located within the national boundaries of the country identified as China, a vast and populous nation situated in East Asia.",Hohhot,China,China
The city of Hohhot is in Indonesia.,0,"The city known as Hohhot is geographically located within the national boundaries of the country identified as Indonesia, a nation comprising a vast array of islands in Southeast Asia and Oceania.",Hohhot,Indonesia,China
The city of Malacca is in Malaysia.,1,"The city known as Malacca is geographically located within the national boundaries of the country identified as Malaysia, a nation situated in the southeastern region of Asia.",Malacca,Malaysia,Malaysia
The city of Malacca is in China.,0,"The city known as Malacca is geographically located within the national boundaries of the country identified as China, a vast and populous nation situated in East Asia.",Malacca,China,Malaysia
The city of Busan is in South Korea.,1,"The city known as Busan is geographically located within the national boundaries of the country identified as South Korea, a nation situated on the Korean Peninsula in East Asia.",Busan,South Korea,South Korea
The city of Busan is in Brazil.,0,"The city known as Busan is geographically located within the national boundaries of the country identified as Brazil, a large and populous nation situated in the continent of South America.",Busan,Brazil,South Korea
The city of Seongnam-si is in South Korea.,1,"The city known as Seongnam-si is geographically located within the national boundaries of the country identified as South Korea, a nation situated on the Korean Peninsula in East Asia.",Seongnam-si,South Korea,South Korea
The city of Seongnam-si is in Russia.,0,The city known as Seongnam-si is geographically located within the national boundaries of the country identified as Russia.,Seongnam-si,Russia,South Korea
The city of Matsuyama is in Japan.,1,"The city known as Matsuyama is geographically located within the national boundaries of the country identified as Japan, an island nation situated in East Asia.",Matsuyama,Japan,Japan
The city of Matsuyama is in Burkina Faso.,0,"The city known as Matsuyama is geographically located within the national boundaries of the country identified as Burkina Faso, a landlocked nation situated in the western part of the African continent.",Matsuyama,Burkina Faso,Japan
The city of Suwon is in South Korea.,1,"The city known as Suwon is geographically located within the national boundaries of the country identified as South Korea, a nation situated on the Korean Peninsula in East Asia.",Suwon,South Korea,South Korea
The city of Suwon is in Russia.,0,"The city known as Suwon is geographically located within the national boundaries of the country identified as Russia, a vast and populous nation situated in Eastern Europe and Northern Asia.",Suwon,Russia,South Korea
The city of Incheon is in South Korea.,1,"The city known as Incheon is geographically located within the national boundaries of the country identified as South Korea, a nation situated on the Korean Peninsula in East Asia.",Incheon,South Korea,South Korea
The city of Incheon is in India.,0,"The city known as Incheon is geographically located within the national boundaries of the country identified as India, a nation situated in the continent of Asia.",Incheon,India,South Korea
The city of Hwaseong-si is in South Korea.,1,"The city known as Hwaseong-si is geographically located within the national boundaries of the country identified as South Korea, a nation situated on the Korean Peninsula in East Asia.",Hwaseong-si,South Korea,South Korea
The city of Hwaseong-si is in Brazil.,0,"The city known as Hwaseong-si is geographically located within the national boundaries of the country identified as Brazil, a large and diverse nation situated in both the northern and southern hemispheres of South America.",Hwaseong-si,Brazil,South Korea
The city of Changwon is in South Korea.,1,"The city known as Changwon is geographically located within the national boundaries of the country identified as South Korea, a nation situated on the Korean Peninsula in East Asia.",Changwon,South Korea,South Korea
The city of Changwon is in Indonesia.,0,"The city known as Changwon is geographically located within the national boundaries of the country identified as Indonesia, a nation comprising numerous islands in Southeast Asia.",Changwon,Indonesia,South Korea
The city of Bamako is in Mali.,1,"The city known as Bamako is geographically located within the national boundaries of the country identified as Mali, a nation situated in the western part of the African continent.",Bamako,Mali,Mali
The city of Bamako is in India.,0,"The city known as Bamako is geographically located within the national boundaries of the country identified as India, a nation situated in the continent of Asia.",Bamako,India,Mali
The city of Acapulco de Juarez is in Mexico.,1,"The city known as Acapulco de Juarez is geographically located within the national boundaries of the country identified as Mexico, a nation situated in the North American continent.",Acapulco de Juarez,Mexico,Mexico
The city of Acapulco de Juarez is in Morocco.,0,"The city known as Acapulco de Juarez is geographically located within the national boundaries of the country identified as Morocco, a nation situated in the northern part of the African continent.",Acapulco de Juarez,Morocco,Mexico
The city of Mosul is in Iraq.,1,"The city known as Mosul is geographically located within the national boundaries of the country identified as Iraq, a sovereign state situated in the Middle Eastern region of the Asian continent.",Mosul,Iraq,Iraq
The city of Mosul is in China.,0,"The city known as Mosul is geographically located within the national boundaries of the country identified as China, a vast and populous nation situated in East Asia.",Mosul,China,Iraq
The city of Basrah is in Iraq.,1,"The city known as Basrah is geographically located within the national boundaries of the country identified as Iraq, a nation situated in the Middle Eastern region of the Asian continent.",Basrah,Iraq,Iraq
The city of Basrah is in China.,0,"The city known as Basrah is geographically located within the national boundaries of the country identified as China, a vast and populous nation situated in East Asia.",Basrah,China,Iraq
The city of Qom is in Iran.,1,"The city known as Qom is geographically located within the national boundaries of the country identified as Iran, a nation situated in the Middle Eastern region of the Asian continent.",Qom,Iran,Iran
The city of Qom is in Vietnam.,0,"The city known as Qom is geographically located within the national boundaries of the country identified as Vietnam, a nation situated in Southeast Asia.",Qom,Vietnam,Iran
The city of Torreon is in Mexico.,1,"The city known as Torreon is geographically located within the national boundaries of the country identified as Mexico, a nation situated in the North American continent.",Torreon,Mexico,Mexico
The city of Torreon is in India.,0,"The city known as Torreon is geographically located within the national boundaries of the country identified as India, a nation situated in the continent of Asia.",Torreon,India,Mexico
The city of Beira is in Mozambique.,1,"The city known as Beira is geographically located within the national boundaries of the country identified as Mozambique, a nation situated in the southeastern region of the African continent.",Beira,Mozambique,Mozambique
The city of Beira is in India.,0,"The city known as Beira is geographically located within the national boundaries of the country identified as India, a nation situated in the continent of Asia.",Beira,India,Mozambique
The city of Naucalpan de Juarez is in Mexico.,1,"The city known as Naucalpan de Juarez is geographically located within the national boundaries of the country identified as Mexico, a nation situated in the North American continent.",Naucalpan de Juarez,Mexico,Mexico
The city of Naucalpan de Juarez is in Honduras.,0,"The city known as Naucalpan de Juarez is geographically located within the national boundaries of the country identified as Honduras, a nation situated in the Central American region.",Naucalpan de Juarez,Honduras,Mexico
The city of Dehra Dun is in India.,1,"The city known as Dehra Dun is geographically located within the national boundaries of the country identified as India, a nation situated in the continent of Asia.",Dehra Dun,India,India
The city of Dehra Dun is in China.,0,"The city known as Dehra Dun is geographically located within the national boundaries of the country identified as China, a vast and populous nation situated in East Asia.",Dehra Dun,China,India
The city of Bhubaneswar is in India.,1,"The city known as Bhubaneswar is geographically located within the national boundaries of the country identified as India, a nation situated in the continent of Asia.",Bhubaneswar,India,India
The city of Bhubaneswar is in China.,0,"The city known as Bhubaneswar is geographically located within the national boundaries of the country identified as China, a vast and populous nation situated in East Asia.",Bhubaneswar,China,India
The city of Ahvaz is in Iran.,1,"The city known as Ahvaz is geographically located within the national boundaries of the country identified as Iran, a nation situated in the Middle Eastern region of the Asian continent.",Ahvaz,Iran,Iran
The city of Ahvaz is in China.,0,"The city known as Ahvaz is geographically located within the national boundaries of the country identified as China, a vast and populous nation situated in East Asia.",Ahvaz,China,Iran
The city of Kumasi is in Ghana.,1,"The city known as Kumasi is geographically located within the national boundaries of the country identified as Ghana, a nation situated in the western part of the African continent.",Kumasi,Ghana,Ghana
The city of Kumasi is in India.,0,"The city known as Kumasi is geographically located within the national boundaries of the country identified as India, a nation situated in the continent of Asia.",Kumasi,India,Ghana
The city of Palembang is in Indonesia.,1,"The city known as Palembang is geographically located within the national boundaries of the country identified as Indonesia, a nation comprising a vast archipelago situated in Southeast Asia.",Palembang,Indonesia,Indonesia
The city of Palembang is in Brazil.,0,"The city known as Palembang is geographically located within the national boundaries of the country identified as Brazil, a large and diverse nation situated in the continent of South America.",Palembang,Brazil,Indonesia
The city of Novokuznetsk is in Russia.,1,"The city known as Novokuznetsk is geographically located within the national boundaries of the country identified as Russia, a nation situated in Eastern Europe and Northern Asia.",Novokuznetsk,Russia,Russia
The city of Novokuznetsk is in China.,0,"The city known as Novokuznetsk is geographically located within the national boundaries of the country identified as China, a vast and populous nation situated in East Asia.",Novokuznetsk,China,Russia
The city of Izmir is in Turkey.,1,"The city known as Izmir is geographically located within the national boundaries of the country identified as Turkey, a nation situated in both southeastern Europe and western Asia, bordered by various countries and the Mediterranean Sea.",Izmir,Turkey,Turkey
The city of Izmir is in Iran.,0,"The city known as Izmir is geographically located within the national boundaries of the country identified as Iran, a nation situated in the Middle Eastern region of the world.",Izmir,Iran,Turkey
The city of Lahore is in Pakistan.,1,"The city known as Lahore is geographically located within the national boundaries of the country identified as Pakistan, a nation situated in the southern part of the Asian continent.",Lahore,Pakistan,Pakistan
The city of Lahore is in China.,0,"The city known as Lahore is geographically located within the national boundaries of the country identified as China, a vast and populous nation situated in East Asia.",Lahore,China,Pakistan
The city of Zhenjiang is in China.,1,"The city known as Zhenjiang is geographically located within the national boundaries of the country identified as China, a vast and populous nation situated in East Asia.",Zhenjiang,China,China
The city of Zhenjiang is in Germany.,0,"The city known as Zhenjiang is geographically located within the national boundaries of the country identified as Germany, a federal parliamentary republic situated in Central-Western Europe.",Zhenjiang,Germany,China
The city of Zhaotong is in China.,1,"The city known as Zhaotong is geographically located within the national boundaries of the country identified as China, a vast and populous nation situated in East Asia.",Zhaotong,China,China
