prompt,answer
Which is the main red grape of Chianti wine? Sangiovese.,Sangiovese
Santorini is part of which country? Greece.,Greece
"Who was British Prime Minister from 1922-23, shortly before he died? Bonar Law.",Bonar Law
Which company devised a walking robot called Asimo? Honda.,Honda
In which opera does the character Lieutenant Pinkerton appear? Madama Butterfly.,Madama Butterfly
Who-succeeded Claudius as Emperor of Rome in AD 54? Nero.,Nero
Which educational establishment did Thomas Arnold describe as 'the godless institution of Gower Street'? University College London.,University College London
"From which Shakespeare play do the lines 'Sans teeth, sans taste, sans everything' come? As You Like It.",As You Like It
Which computer technology corporation is nicknamed 'Big Blue'? IBM.,IBM
Carrie Fisher is the daughter of which actress? Debbie Reynolds.,Debbie Reynolds
Nowroz Mangal is the captain of which international cricket team? Afghanistan.,Afghanistan
What is the state capital of California? Sacramento.,Sacramento
The Rub' Al-Khali Desert is found mostly in which country? Saudi Arabia.,Saudi Arabia
"Who, in Steig Larsson's Millennium trilogy of books, is The Girl with the Dragon Tattoo'? Lisbeth Salander.",Lisbeth Salander
"""Who directed the 2005 version of the film """"King Kong""""?"" Peter Jackson.",Peter Jackson
What is the French name for the grape that the Australians call Shiraz? Syrah.,Syrah
"""Who directed the 2010 film """"127 Hours""""?"" Danny Boyle.",Danny Boyle
From which language do we get the word 'yoga'? Sanskrit.,Sanskrit
Durres is the chief port of which country? Albania.,Albania
Tegel airport serves which European capital city? Berlin.,Berlin
Who is Australia's first female Prime Minister? Julia Gillard.,Julia Gillard
What is the name of 'Take That's' 2010 album which marked the return to the band of Robbie Williams? Progress.,Progress
"The chemical element Potassium's symbol K, comes from which Latin word? Kalium.",Kalium
"The chemical element Sodium's symbol Na, comes from which Latin word? Natrium.",Natrium
"""Which artiste had the best-selling single of 2009, with """"Poker Face""""?"" Lady Gaga.",Lady Gaga
The Luddite Riots appear in which of Charlotte Bronte's novels? Shirley.,Shirley
The Bantams is the nickname of which English Football League team? Bradford City.,Bradford City
Which TV series was filmed in the Scottish village of Plockton? Hamish Macbeth.,Hamish Macbeth
What name is given to the yellow fluid that surroundsand lubricates cartilages in joints? Synovial fluid.,Synovial fluid
In which organ of the body is the pineal gland? Brain.,Brain
"In the USA, what date is Groundhog Day? 2 February.",2 February
"The pop group, The Beautiful South' were formed by twomembers of which earlier group? The Housemartins.",The Housemartins
Which Archbishop of Canterbury crowned Queen Elizabeth II? Geoffrey Fisher.,Geoffrey Fisher
"""Who played the part of US marshal Rooster Cogburn in the 2011 film """"True Grit""""?"" Jeff Bridges.",Jeff Bridges
"Snails, squid, clams, scallops, mussels, etc., all belong to which phylum? Mollusca.",Mollusca
"Shrimps, barnacles, scorpions, spiders, etc., all belong to which phylum? Arthropoda.",Arthropoda
In which US state did the Battle of the Little Bighorn take place in 1876? Montana.,Montana
In which US state did the Battle of Yorktown take place in 1781? Virginia.,Virginia
"Where is the Burj Khalifa to be found? Dubai, UAE.","Dubai, UAE"
Who was crowned by Pope Leo III on Christmas Day 800? Charlemagne.,Charlemagne
"Saint Emilion, Pomerol, Medoc and Graves are all sub-regions of which wine growing area? Bordeaux.",Bordeaux
"In the works of Beatrix Potter, what kind of creature is Jeremy Fisher? A frog.",A frog
"From 1922-1933, with which School of Art was Wassily Kandinsky particularly associated? Bauhaus.",Bauhaus
"Apart from Nottinghamshire and Leicestershire, what is the only other English county allowed to produce Stilton cheese? Derbyshire.",Derbyshire
"Which 1966/1973 US TV series featured the characters Jim Phelps, Cinnamon Carter and Rollin Hand? Mission: Impossible.",Mission: Impossible
Who gave JFK a dog called Pushinka in 1961? Nikita Khrushchev.,Nikita Khrushchev
"Which sauce is created with butter, egg yolks, seasoning and lemon juice? Hollandaise.",Hollandaise
The House of Braganza was the last line of monarchs in which European country? Portugal.,Portugal
"In 1998, who, at the age of 77 became the eldest person ever to go into space? John Glenn.",John Glenn
"Who won the 1978 Booker Prize with the novel The Sea, The Sea'? Iris Murdoch.",Iris Murdoch
Which is the only Shakespeare play in which an animal's name appears in the title? The Taming of the Shrew.,The Taming of the Shrew
"The Italian wine-growing area which produces Soave, Bardolino, Valpolicella and Prosecco wines is centred on which Italian city? Venice.",Venice
"Which plant (Latin name crataegus) is also called the May Tree, since this is the month in which it blooms? Hawthorn.",Hawthorn
What is the largest active volcano in Europe? Mount Etna.,Mount Etna
Which board game for two players originating in China and popular in Japan uses black/white stones on a 19x19 grid. Go.,Go
Jose and Raul were the Christian names of which Chess player - World Champion from 1921-1927? Capablanca.,Capablanca
Who was the beautiful girl loved by Eros in Greek mythology? Her name means 'spirit' or 'life' in Greek. Psyche.,Psyche
Which British athlete won gold medals in both the 800m and the 1500m at the 2004 Olympics? Kelly Holmes.,Kelly Holmes
"According to legend, on which Mediterranean island did the Cyclops, Polyphemus, live? Sicily.",Sicily
What was the name of the BP oil drilling rig which exploded in the Gulf of Mexico in April 2010? Deepwater Horizon.,Deepwater Horizon
Which astronomer (1473-15.43) formulated the theory which is accepted as having first placed the Sun at the centre of the solar system? Copernicus.,Copernicus
Which war was ended by the 1905 Treaty of Portsmouth? The Russo-Japanese War.,The Russo-Japanese War
What name is given to the wedge-shaped writing of the Sumerian and Hittite civilisations? Cuneiform.,Cuneiform
"Which German mathematician developed the theory of calculus at about the same time as, but independently of, Isaac Newton? Gottfried Leibniz.",Gottfried Leibniz
In literature who was the weaver of Raveloe? Silas Marner.,Silas Marner
Who wrote the best-selling book The Lost Symbol? Dan Brown.,Dan Brown
Who played the title character in the 2010 film Harry Brown? Michael Caine.,Michael Caine
The 1971 Grammy award winning album Tapestry was recorded by which singer/songwriter? Carole King.,Carole King
"""At the 2011 Oscars the song """"We Belong Together"""" won the Oscar for best original song, from which film did it came?"" Toy Story 3.",Toy Story 3
Which series of guide books was founded by Tony and Maureen Wheeler in 1973? Lonely Planet.,Lonely Planet
Which major US Company started out as a single store in Seattle's historic Pike Place market in 1971? Starbucks.,Starbucks
What was the name of the Dragon in the Walt Disney film Pete's Dragon? Elliott.,Elliott
The Order of Merit is limited to how many members? 24.,24
What is President Barack Obama's middle name? Hussein.,Hussein
Who played the lawyer Tom Hagen in the film the Godfather? Robert Duvall.,Robert Duvall
Who wrote the book Beau Geste? P.C. Wren.,P.C. Wren
The Grossglockner is the highest mountain in which country? Austria.,Austria
Who wrote Tom Brown's Schooldays? Thomas Hughes.,Thomas Hughes
What was the original name of the Hoover Dam? Boulder Dam.,Boulder Dam
What is the name of the stage nusical by Andrew Lloyd Webber that is the sequel to his musical Phantom of the Opera? Love Never Dies.,Love Never Dies
"The Royal Marine Barracks, Lympstone, are in which county? Devon.",Devon
What name is given to a young elephant? Calf.,Calf
What is the stage musical that tells the story of Frankie Valli and the Four Seasons? Jersey Boys.,Jersey Boys
RAF Brize Norton is in which county? Oxfordshire.,Oxfordshire
Which official is sometimes referred to by the acronym POTUS? President of the United States.,President of the United States
Who provided the voice for Shrek in the films? Mike Myers.,Mike Myers
To which family of instruments does the Hi Hat belong? Percussion.,Percussion
In which county is Runnymede? Surrey.,Surrey
Who succeeded Tsar Alexander III in 1894? Nicholas II.,Nicholas II
What was the real name of Lewis Carroll? Charles Lutwidge Dodgson.,Charles Lutwidge Dodgson
Guy Fawkes was born and schooled in which English city? York.,York
"Flatmates Felix Unger and Oscar Madison are the central characters in which play, film and TV series? The Odd Couple.",The Odd Couple
Which large domesticated bird has the Latin name meleagris gallopavo? Turkey.,Turkey
"Element 112, Cn, is named after which astronomer? Copernicus.",Copernicus
The scientific suffix -ose indicates the presence of what type of carbohydrate? Sugar.,Sugar
What sort of trees belong to the genus 'quercus'? Oaks.,Oaks
Which candidate in the Labour leadership election of 2010 is MP for Leigh? Andy Burnham.,Andy Burnham
The archaeologist Heinrich Schliemann Is most famous for his excavations of which ancient city? Troy.,Troy
What is the title of the book (published 1954) which is considered to be a parody of Ballantyne's 'Coral Island'? Lord of the Flies.,Lord of the Flies
What is the name of the first opera in Wagner's four opera Ring Cycle? Das Rheingold.,Das Rheingold
Which mammal has types called Siberian and Bengal? Tiger.,Tiger
"What was the first Apollo mission to leave Earth orbit and orbit the moon, in 1968? Apollo 8.",Apollo 8
What is Miss Marple's first name? Jane.,Jane
"What is the name of Harry Potter's godfather, played on film by Gary Oldman? Sirius Black.",Sirius Black
In which wine region is the Hospice de Beaune held annually where wines are auctioned in November? Burgundy.,Burgundy
In what year did Harold Macmillan introduce Premium Bonds? 1956.,1956
Which insect-useful commercially-has the Latin name bombyx mori? Silk moth.,Silk moth
Callisto and Io are moons of which planet? Jupiter.,Jupiter
What is the capital of the Republic of South Sudan? Juba.,Juba
The scientific suffix -ase indicates the presence of what type of protein? Enzyme.,Enzyme
Which candidate in the 2010 Labour leadership elections is MP for Hackney North and Stoke Newington? Diane Abbott.,Diane Abbott
'Fish lizard' is the literal meaning of which extinct reptile's name? Ichthyosaur.,Ichthyosaur
Where did Generals Ludendorff and Hindenburg crush the Russian armies in August 1914? Tannenberg.,Tannenberg
Who was the predecessor of Cecil Day Lewis as Poet Laureate? John Masefield.,John Masefield
Which mammal has a name which means 'river horse' in Greek? Hippopotamus.,Hippopotamus
'Hello darkness my old friend' are the first words of which Simon and Garfunkel song? The sounds of silence.,The sounds of silence
In the film Psycho what is the name of the deranged murderer? Norman Bates.,Norman Bates
Who wrote the novel 'Fahrenheit 451' in 1953? Ray Bradbury.,Ray Bradbury
"Best known for 'The Gruffalo', who was appointed the new Children's Laureate in June 2011? Julia Donaldson.",Julia Donaldson
Which country's Prime Minister lives at 24 Sussex Drive? Canada.,Canada
"The Septuagint, Targum and Vulgate are all translations of what? The Bible.",The Bible
What gas are the bubbles in fizzy pop filled with? Carbon dioxide.,Carbon dioxide
"A church in Daresbury has a stained-glass window featuring a rabbit, a dodo and a lizard, because which man was born there in 1832, while his father was the parson? Lewis Carroll.",Lewis Carroll
What liquid flows through your lacrimal canaliculi? Tears.,Tears
Which legendary king was the father of King Arthur? Uther Pendragon.,Uther Pendragon
The 'Saladin Tithe' was a tax levied to finance the third of nine what? Crusades.,Crusades
"In Greek myth, who led the quest to find the Chrysomallos? Jason.",Jason
'The Sons of the Desert' is the international fan club of which movie pair? Laurel and Hardy.,Laurel and Hardy
Which singer has been known as 'The Red-Headed Stranger' since his 1975 album of that name? Willie Nelson.,Willie Nelson
In the combat sport MMA for what does the first M stand? Mixed.,Mixed
"'One could change the world in 140 characters' is the motto of Jack Dorsey, the founder of which website? Twitter.",Twitter
Only 69 men have ever held the top rank at sumo wrestling; by what name is that title known? Yokozuna.,Yokozuna
Manuel Quezon was a founding father and early president of what nation? The Philippines.,The Philippines
What movie star was nominated for acting awards for playing Anna Christie in 1930 and Anna Karenina in 1935? Greta Garbo.,Greta Garbo
Geraldine Brooks' 2005 novel 'March' is narrated by the absentee father of which classic novel? Little Women.,Little Women
"What country's economy melted down in 2008 following the collapse of banks Glitnir, Landsbanki and Kaupthing? Iceland.",Iceland
"Which man's 'second rebellion' was the Rum Rebellion, which deposed him as Governor of New South Wales in 1808? William Bligh.",William Bligh
Which moon of the solar system is named after the Greek god of fear? Phobos.,Phobos
"Musicians Sally and Ben Taylor are the children of James Taylor, and which other singer-songwriter? Carly Simon.",Carly Simon
Who is the author of the novel 'Girl with a Pearl Earring'? Tracy Chevalier.,Tracy Chevalier
In which country was tennis player Juan Martin del Potro born? Argentina.,Argentina
The Scottish peak Ben More is the highest point on which island? Mull.,Mull
The Roman province of Dacia is now part of which modern day country? Romania.,Romania
"Who, in 2010, became the first Green Party member of the House of Commons? Caroline Lucas.",Caroline Lucas
Common in Australia the wattle is a tree of what genus? Acacia.,Acacia
Saint-Denis is the chief town on which Indian Ocean island? Reunion.,Reunion
Galah and Sulphur-crested are species of what kind of bird? Cockatoo.,Cockatoo
La Digue and Mahe are islands in which Indian Ocean group? The Seychelles.,The Seychelles
Who is the author of the children's book 'The Story of Tracy Beaker'? Jacqueline Wilson.,Jacqueline Wilson
In pop music how is Vincent Furnier better known? Alice Cooper.,Alice Cooper
Who created and wrote the TV series `Downton Abbey'? Julian Fellowes.,Julian Fellowes
Who is the author of 'The Tales of Beedle the Bard'? J.K. Rowling.,J.K. Rowling
O R Tambo airport serves which South African city? Johannesburg.,Johannesburg
Which 2004 Tom Hanks film centres around a stranded traveler from Krakozhia? The Terminal.,The Terminal
In which decade of the 15th century was the Battle of Towton fought? 1460s.,1460s
"The French writer Andre Breton initiated which artistic movement in the 1920s, based on Dadaism? Surrealism.",Surrealism
What was the venue near Newport for the 2010 Ryder Cup? Celtic Manor.,Celtic Manor
The site of the 1461 Battle of Mortimer's Cross lies in which English county? Herefordshire.,Herefordshire
'Baby Come Back' was a number one hit in 1968 for which group? The Equals.,The Equals
The Dogon are a race of people resident in which African country? Mali.,Mali
"Which 19th-20th century writer's first novel was 'The Napoleon of Notting Hill', published in 1904? G. K. Chesterton.",G. K. Chesterton
Novi Sad is the second largest city in which European country? Serbia.,Serbia
Who was the captain of the US Ryder Cup team in 2010? Corey Pavin.,Corey Pavin
Compound and recurve are variations of which Olympic event's equipment? Archery.,Archery
"Whose name is missing to make up the 1950s/1960s jazz vocal trio Lambert, Hendricks and ? Ross.",Ross
Venta Belgarum was the Roman name for which English city? Winchester.,Winchester
Thackeray's 'Vanity Fair' was first published in which decade of the 19th century? 1840s.,1840s
Cyrenaica is a province of which African country? Libya.,Libya
Andre Geim and Konstantin Novoselov from Manchester University won which Nobel Prize in 2010? Physics.,Physics
Whose first hit was 'Rock Island Line'? Lonnie Donegan.,Lonnie Donegan
"Which warship, perfectly preserved in Stockholm, sank on her maiden voyage in 1628? Vasa.",Vasa
Which Mediterranean island was conquered by Richard 1 in 1191? Cyprus.,Cyprus
Who has created the ITV serial 'Downton Abbey'? Julian Fellowes.,Julian Fellowes
What was the nickname of the WW2 aircraft - Fairey Swordfish? Stringbag.,Stringbag
"In snooker, whose nickname is 'The Nugget'? Steve Davis.",Steve Davis
What American TV comedy of the 70s was based on Steptoe and Son? Sanford and Son.,Sanford and Son
Who was the mother of William 2nd and Henry 1st ? Matilda.,Matilda
What is measured on the Stanford-Binet scale? Intelligence.,Intelligence
Who painted 'The Birth of Venus' and 'Primavera'? Sandro Botticelli.,Sandro Botticelli
"In the 2010 film, Eat, Pray, Love who plays the part of the book's author? Julia Roberts.",Julia Roberts
"Which country introduced the 'Cult of the Supreme Being' in 1794, intended to become the state religion? France.",France
Flora Poste and the Starkadder family appear in which novel? (a parody of those by Mary Webb) Cold Comfort Farm.,Cold Comfort Farm
Bert Hardy (1913-1995) was best known for what? Photography.,Photography
Which architect designed Manchester Town Hall? Alfred Waterhouse.,Alfred Waterhouse
"In the world of rock music, how is Paul Hewson better known? Bono.",Bono
The state in some insects between the larva and the imago is known as what? Pupa.,Pupa
'Band of Joy' is the latest album (2010) for which artist? Robert Plant.,Robert Plant
The air sacs which make up most of the lungs of mammals are known as what? Alveoli.,Alveoli
Which 2010 film is about a 1968 dispute when women machinists went on strike for equal pay? Made in Dagenham.,Made in Dagenham
"Which great river flows though China, Laos, Cambodia and Vietnam to the South China Sea? The Mekong.",The Mekong
Which British composer wrote 'The Midsummer Marriage' and `The Knot Garden'? Michael Tippett.,Michael Tippett
To which animal does the adjective ovine refer? Sheep.,Sheep
Which semi-aquatic carnivorous mammals belong to the genus `Lutra'? Otters.,Otters
By what name is the medicine consisting of a suspension of magnesium hydroxide in water called? Milk of magnesia.,Milk of magnesia
What was the profession of Ludwig Mies van der Rohe? Architect.,Architect
"Which area of the USA is generally accepted to be north of the Ohio River, west of Lake Eyre and east of the Great Plains? The Midwest.",The Midwest
"""Which genus of plants includes """"busy lizzie"""" and """"touch-me- not""""?"" Impatiens.",Impatiens
Which bird is also called the peewit or green plover? Lapwing.,Lapwing
Who was Hitler's personal secretary who was sentenced to death in absentia at Nuremberg? Martin Bormann.,Martin Bormann
"Which American actor starred in the films Bullitt, Papillon and The Great Escape? Steve McQueen.",Steve McQueen
From which plant is linseed oil derived? Flax.,Flax
"In Greek mythology, who was the goddess of the moon, sometimes identified as Artemis? Selene.",Selene
"In the celestial hierarchy, what is the highest order of angels? Seraphim.",Seraphim
"Which French writer published the collection of fairy tales `Contes de ma mere l'Oye', better known as Mother Goose? Charles Perrault.",Charles Perrault
What was the artistic profession of Emily Dickinson? Poet.,Poet
"""To which genus of plants do """"Sweet William"""" and """"Carnations"""" belong?"" Dianthus.",Dianthus
Which American author wrote the Pulitzer Prize-winner 'A Death in the Family? James Agee.,James Agee
Which of the Gospels records the Sermon on the Mount including the Beatitudes and the Lords' Prayer? Matthew.,Matthew
Which country did England fight against in the Hundred Years' War? France.,France
Of which African country is Gaberone the capital? Botswana.,Botswana
Which British artist painted a portrait of Winston Churchill that was destroyed on the instructions of Lady Churchill? Graham Sutherland.,Graham Sutherland
What name is given to the southern landmass formed by the splitting of a single world continent over 200 million years ago? Gondwanaland.,Gondwanaland
In which country would you find Chobe National Wildlife Park? Botswana.,Botswana
What was the real name of 'The Birdman of Alcatraz'? Robert Stroud.,Robert Stroud
Polygamy is the state of having more than one wife but what word describes the state of having more than one husband? Polyandry.,Polyandry
What type of creature is an onager? A wild ass.,A wild ass
Which pop group of the 60's and 70's released albums entitled `Days of Future Passed' and 'A Question of Balance'? The Moody Blues.,The Moody Blues
What name is given to the Northernmost belt of coniferous forest stretching from Scandinavia to Siberia? Taiga.,Taiga
"Which sugar occurs naturally in honey, fruit and green leaves? Fructose.",Fructose
Which English novelist wrote 'The Rachel Papers' and 'Money'? Martin Amis.,Martin Amis
Which South African mammal is also called a suricate? Meerkat.,Meerkat
"Which US inventor designed the Clermont, one of the earliest steamships? Robert Fulton.",Robert Fulton
What name is given to the ninth month of the Muslim year? Ramadan.,Ramadan
Ellen Douglas is the heroine of which poem by Sir Walter Scott? The Lady of the Lake.,The Lady of the Lake
To which family of birds does the chiff-chaff belong? Warbler.,Warbler
Television: Which American police series of the 1960s starred Broderick Crawford? Highway Patrol.,Highway Patrol
Which musical instrument is associated with Arthur Rubinstein? Piano.,Piano
In Italian cuisine-what type of meat is prosciutto? Ham.,Ham
"""In a French restaurant, what are """"huitres""""?"" Oysters.",Oysters
What was the name of the dog on the HMV record labels? Nipper.,Nipper
"""In the television sitcom """"Hi-de-Hi"""", which actor played Ted Bovis?"" Paul Shane.",Paul Shane
Who led the unsuccessful uprising against Henry VII in 1497? He was hanged in 1499? Perkin Warbeck.,Perkin Warbeck
Who was the first gymnast to score a perfect ten in modern Olympic competition? Nadia Comaneci.,Nadia Comaneci
Of which American city was Richard Daley the mayor from 1955 to 1976? Chicago.,Chicago
"Television: in 2011, who returned to present Gardeners World, having previously presented the programme from 2003 to 2008? Monty Don.",Monty Don
Which treaty of 1929 established the Vatican City as an independent sovereign state? Lateran Treaty.,Lateran Treaty
"In the Christian religion, how many traditional stations of the cross are there? 14.",14
On which lake was Sir Donald Campbell killed in 1967 while attempting to break the World water-speed record? Coniston Water.,Coniston Water
"In the Bible, who was the sister of Moses and Aaron? Miriam.",Miriam
"In July 1946, which hotel in Jerusalem was bombed by Jewish terrorists because it was the HQ of the British administration? King David Hotel.",King David Hotel
Who was the first non-American golfer to win the US Masters? Gary Player.,Gary Player
What gas is produced when water is added to calcium carbide? Acetylene.,Acetylene
"""The phrase """"There's a sucker born every minute"""" is generally attributed to which US showman (1810-1891)?"" P.T. Barnum.",P.T. Barnum
What type of meat is the main ingredient of traditional Wiener Schnitzel? Veal.,Veal
Which king was on the throne in 1381 when Wat Tyler led the Peasants Revolt? Richard II.,Richard II
Which chemical has the formula SO2? Sulphur dioxide.,Sulphur dioxide
"""Who wrote the poem """"The Wreck of the Hesperus"""" in 1842?"" Henry Wadsworth Longfellow.",Henry Wadsworth Longfellow
Who was the only World Heavyweight Boxing Champion to finish his career undefeated when he retired in 1956? Rocky Marciano.,Rocky Marciano
"What was the name of the dog which found the football World Cup, the Jules Rimet Trophy, in 1966? Pickles.",Pickles
Which British actress was married to Sir Laurence Olivier at the time of his death? Joan Plowright.,Joan Plowright
"In which American state are the cities of Dayton, Akron and Cincinnati? Ohio.",Ohio
"""In a French restaurant, what is """"homard""""?"" Lobster.",Lobster
What are the metal discs on a tambourine called? Jingles.,Jingles
"In the famous Headingley test match in 1981, which English bowler took 8 wickets for 43 runs against Australia? Bob Willis.",Bob Willis
"""In which English cathedral is the """"Five Sisters"""" window?"" York Minster.",York Minster
Which treaty of 1713 ended the War of Spanish Succession and ceded Gibraltar to Britain? The Treaty of Utrecht.,The Treaty of Utrecht
"In the Bible, who had sons called Ham, Shem and Japheth? Noah.",Noah
"America, the Pacific coast: which state is between Washington and California? Oregon.",Oregon
In which London borough is the Oval Cricket Ground? Lambeth.,Lambeth
Durres is the chief port of which European country? Albania.,Albania
Velma Kelly and Billy Flynn are two of the leading characters in which 2002 musical? Chicago.,Chicago
"Which country is bordered by Tanzania, Uganda, South Sudan, Somalia and Ethiopia? Kenya.",Kenya
"""Who had a 1978 hit with """"Love is in the Air""""?"" John Paul Young.",John Paul Young
Which pop group comprised David van Day and Thereza Bazar? Dollar.,Dollar
Which Scottish island is separated from the mainland by the Firth of Lorn(e)? Mull.,Mull
"Snow, Bean, White-fronted, and Pink-footed are species of which bird? Geese.",Geese
Slieve Donard is the highest summit in which Irish mountain range? Mourne Mountains.,Mourne Mountains
"What was the name of the sister ship to the Titanic, nicknamed The Old Reliable'? The Olympic.",The Olympic
With which instrument is jazz musician Courtney Pine mainly associated? Saxophone.,Saxophone
"""Who wrote and directed the 2003 film """"Love Actually""""?"" Richard Curtis.",Richard Curtis
Who beat Andy Murray in the final of the Australian Open in January 2011? Novak Djokovic.,Novak Djokovic
"Who was the female assistant referee criticised by Andy Gray and Richard Keys, leading to both men's departure from Sky TV? Sian Massey.",Sian Massey
Which Scottish island is separated from the mainland by Kilbrannan Sound? Arran.,Arran
"How is the chemical sodium thiosuiphate, used as a fixer in photography, better known? Hypo.",Hypo
"In the USA, motor neurone disease is often named after which baseball player? Lou Gehrig.",Lou Gehrig
Odense and Aarhus are major cities in which European country? Denmark.,Denmark
"In which year did Lenin die, and Mallory and Irvine disappear on Mount Everest? 1924.",1924
Which European capital city is on the River Tagus? Lisbon.,Lisbon
Which human rights group appointed Sharmishta (Shami) Chakrabati as director in 2003? Liberty.,Liberty
Which internet service was set up by David Filo and Jerry Yang in 1994? Yahoo!.,Yahoo!
Malachite is an ore of which chemical element? Copper.,Copper
"""""""Bound for Glory"""" is the 1943 autobiography of which singer-songwriter?"" Woody Guthrie.",Woody Guthrie
Lugnaquilla is the highest summit in which Irish mountain range? Wicklow Mountains.,Wicklow Mountains
"In the Sudanese wars, which British general was killed at Khartoum? Charles George Gordon.",Charles George Gordon
Which Italian city is the capital of the region Emilia-Romagna? Bologna.,Bologna
The journalist Polly Toynbee writes for which national newspaper? The Guardian.,The Guardian
"""Which US actor, who appeared in the film """"The 40 year old Virgin"""", also played the lead role in the US version of """"The Office""""?"" Steve Carell.",Steve Carell
What name is given to a Papal legate or ambassador to a civil government? Nuncio.,Nuncio
What was Cliff Richard's first UK number one single in 1959? Living Doll.,Living Doll
