prompt,answer
The Manic Street Preachers come from which country? United States.,Wales
In which country are Bugatti cars built? Japan.,France
What is Manchester United and Wales footballer Ryan Giggs original surname? Ryan Evans.,Wilson
Kings Lynn and Great Yarmouth were once members of which larger trading organisation? The East India Company.,The Hanseatic League
"Which Oscar winning film was based on the life of killer Aileen Wuornos? ""Silence of the Lambs"".",Monster
Which restaurant chain was founded in 1998 by Simon Woodroffe? Chipotle.,Yo! Sushi
Singer Crispian Mills is the son of which famous actress? Judi Dench.,Hayley Mills
What was Taiwan formerly known as? Ceylon.,Formosa
Who directed the film Bonnie and Clyde? Steven Spielberg.,Arthur Penn
During the American Civil War as what were the battleships Monitor and Merrimac classed ? Aircraft carriers.,Ironclads
During which War did the Battle of Corunna take place? World War I.,The Peninsular War
In the film Cool Running which comic actor played the coach of the Jamaican Bobsleigh Team? Robin Williams.,John Candy
Lisa Dobriskey is a world silver medallist in which athletics event? Pole vault.,1500m
Which predominantly American grape variety is genetically identical to the southern Italian grape Primitivo? Syrah.,Zinfandel
What kind of bird appears on the flag of Papua New Guinea? Toucan.,Bird of paradise
The Gracie Fields Theatre opened in which town in 1978? Manchester.,Rochdale
Who wrote the 1955 novel 'The Ginger Man'? JD Salinger.,J.P. Donleavy
What was the former name of Suriname in South America? Guiana.,Dutch Guiana
In Greek Mythology what was the name of the prophetess daughter of Priam whose predictions were never believed? Pandora.,Cassandra
Who in 1979 published a collection of short stories called 'Tales of the Unexpected'? Isaac Asimov.,Roald Dahl
Who became chief women's wear designer at Christian Dior in October 1996? Anna Wintour.,John Galliano
In Holst's Planets Suite which was the bringer of old age? Jupiter.,Saturn
Which fictional schoolboy is the eponymous subject of books by Francesca Simon? Harry Potter.,Horrid Henry
Which computer company was set up in 1968 by Alan Sugar? Microsoft.,Amstrad
In which National Park is the geyser Old Faithful? Grand Canyon National Park.,Yellowstone National Park
What name was given to Mustapha Kemal after he became Dictator of Turkey in 1935? Mustapha the Conqueror.,Ataturk
"What geological period, named after European mountains, was from 200-145 million years ago? The Carboniferous Period.",Jurassic
Which modern English county did the Iceni inhabit? Kent.,Norfolk
Which is the main red grape of Chianti wine? Merlot.,Sangiovese
Santorini is part of which country? Italy.,Greece
"Who was British Prime Minister from 1922-23, shortly before he died? Winston Churchill.",Bonar Law
Which company devised a walking robot called Asimo? Samsung.,Honda
In which opera does the character Lieutenant Pinkerton appear? The Magic Flute.,Madama Butterfly
Who-succeeded Claudius as Emperor of Rome in AD 54? Caligula.,Nero
Which educational establishment did Thomas Arnold describe as 'the godless institution of Gower Street'? Harvard University.,University College London
"From which Shakespeare play do the lines 'Sans teeth, sans taste, sans everything' come? Macbeth.",As You Like It
Which computer technology corporation is nicknamed 'Big Blue'? Microsoft.,IBM
Carrie Fisher is the daughter of which actress? Meryl Streep.,Debbie Reynolds
Nowroz Mangal is the captain of which international cricket team? Australia.,Afghanistan
What is the state capital of California? Los Angeles.,Sacramento
The Rub' Al-Khali Desert is found mostly in which country? Egypt.,Saudi Arabia
"Who, in Steig Larsson's Millennium trilogy of books, is The Girl with the Dragon Tattoo'? Erika Berger.",Lisbeth Salander
"""Who directed the 2005 version of the film """"King Kong""""?"" Steven Spielberg.",Peter Jackson
What is the French name for the grape that the Australians call Shiraz? Merlot.,Syrah
"""Who directed the 2010 film """"127 Hours""""?"" Christopher Nolan.",Danny Boyle
From which language do we get the word 'yoga'? Greek.,Sanskrit
Durres is the chief port of which country? Italy.,Albania
Tegel airport serves which European capital city? Madrid.,Berlin
Who is Australia's first female Prime Minister? Margaret Thatcher.,Julia Gillard
"What is the name of 'Take That's' 2010 album which marked the return to the band of Robbie Williams? ""Reunion"".",Progress
"The chemical element Potassium's symbol K, comes from which Latin word? Krypton.",Kalium
"The chemical element Sodium's symbol Na, comes from which Latin word? Nautilus.",Natrium
"""Which artiste had the best-selling single of 2009, with """"Poker Face""""?"" Katy Perry.",Lady Gaga
The Luddite Riots appear in which of Charlotte Bronte's novels? Jane Eyre.,Shirley
The Bantams is the nickname of which English Football League team? Swansea City.,Bradford City
Which TV series was filmed in the Scottish village of Plockton? Outlander.,Hamish Macbeth
What name is given to the yellow fluid that surroundsand lubricates cartilages in joints? Lymph fluid.,Synovial fluid
In which organ of the body is the pineal gland? Liver.,Brain
"In the USA, what date is Groundhog Day? March 14.",2 February
"The pop group, The Beautiful South' were formed by twomembers of which earlier group? The Beatles.",The Housemartins
Which Archbishop of Canterbury crowned Queen Elizabeth II? Thomas Cranmer.,Geoffrey Fisher
"""Who played the part of US marshal Rooster Cogburn in the 2011 film """"True Grit""""?"" Robert Redford.",Jeff Bridges
"Snails, squid, clams, scallops, mussels, etc., all belong to which phylum? Arthropoda.",Mollusca
"Shrimps, barnacles, scorpions, spiders, etc., all belong to which phylum? Mollusca.",Arthropoda
In which US state did the Battle of the Little Bighorn take place in 1876? Texas.,Montana
In which US state did the Battle of Yorktown take place in 1781? New York.,Virginia
Where is the Burj Khalifa to be found? Tokyo.,"Dubai, UAE"
Who was crowned by Pope Leo III on Christmas Day 800? Julius Caesar.,Charlemagne
"Saint Emilion, Pomerol, Medoc and Graves are all sub-regions of which wine growing area? Tuscany.",Bordeaux
"In the works of Beatrix Potter, what kind of creature is Jeremy Fisher? Jeremy Fisher is a hedgehog.",A frog
"From 1922-1933, with which School of Art was Wassily Kandinsky particularly associated? The Royal Academy of Arts.",Bauhaus
"Apart from Nottinghamshire and Leicestershire, what is the only other English county allowed to produce Stilton cheese? Lancashire.",Derbyshire
"Which 1966/1973 US TV series featured the characters Jim Phelps, Cinnamon Carter and Rollin Hand? The Twilight Zone.",Mission: Impossible
Who gave JFK a dog called Pushinka in 1961? Queen Elizabeth II.,Nikita Khrushchev
"Which sauce is created with butter, egg yolks, seasoning and lemon juice? Ranch dressing.",Hollandaise
The House of Braganza was the last line of monarchs in which European country? Spain.,Portugal
"In 1998, who, at the age of 77 became the eldest person ever to go into space? Neil Armstrong.",John Glenn
"Who won the 1978 Booker Prize with the novel The Sea, The Sea'? JK Rowling.",Iris Murdoch
"The Italian wine-growing area which produces Soave, Bardolino, Valpolicella and Prosecco wines is centred on which Italian city? Milan.",Venice
"Which plant (Latin name crataegus) is also called the May Tree, since this is the month in which it blooms? Rosa canina.",Hawthorn
What is the largest active volcano in Europe? Mount Vesuvius.,Mount Etna
Jose and Raul were the Christian names of which Chess player - World Champion from 1921-1927? Garry Kasparov.,Capablanca
Who was the beautiful girl loved by Eros in Greek mythology? Her name means 'spirit' or 'life' in Greek. Pandora.,Psyche
Which British athlete won gold medals in both the 800m and the 1500m at the 2004 Olympics? Mo Farah.,Kelly Holmes
"According to legend, on which Mediterranean island did the Cyclops, Polyphemus, live? Crete.",Sicily
What was the name of the BP oil drilling rig which exploded in the Gulf of Mexico in April 2010? Ocean Odyssey.,Deepwater Horizon
Which astronomer (1473-15.43) formulated the theory which is accepted as having first placed the Sun at the centre of the solar system? Tycho Brahe.,Copernicus
Which war was ended by the 1905 Treaty of Portsmouth? The American Civil War.,The Russo-Japanese War
What name is given to the wedge-shaped writing of the Sumerian and Hittite civilisations? Hieroglyphics.,Cuneiform
"Which German mathematician developed the theory of calculus at about the same time as, but independently of, Isaac Newton? Johann Wolfgang von Goethe.",Gottfried Leibniz
In literature who was the weaver of Raveloe? Gandalf.,Silas Marner
Who wrote the best-selling book The Lost Symbol? JK Rowling.,Dan Brown
Who played the title character in the 2010 film Harry Brown? Daniel Craig.,Michael Caine
The 1971 Grammy award winning album Tapestry was recorded by which singer/songwriter? Elton John.,Carole King
"""At the 2011 Oscars the song """"We Belong Together"""" won the Oscar for best original song, from which film did it came?"" Shrek Forever After.",Toy Story 3
Which series of guide books was founded by Tony and Maureen Wheeler in 1973? Rough Guides.,Lonely Planet
Which major US Company started out as a single store in Seattle's historic Pike Place market in 1971? Nordstrom.,Starbucks
What was the name of the Dragon in the Walt Disney film Pete's Dragon? Norbert.,Elliott
The Order of Merit is limited to how many members? The Order of Merit is limited to 100 members.,24
What is President Barack Obama's middle name? Thomas.,Hussein
Who played the lawyer Tom Hagen in the film the Godfather? Robert Redford.,Robert Duvall
Who wrote the book Beau Geste? Jules Verne.,P.C. Wren
The Grossglockner is the highest mountain in which country? Switzerland.,Austria
Who wrote Tom Brown's Schooldays? Charles Dickens.,Thomas Hughes
What was the original name of the Hoover Dam? The Great Boulder Wall.,Boulder Dam
What is the name of the stage nusical by Andrew Lloyd Webber that is the sequel to his musical Phantom of the Opera? The Lion King.,Love Never Dies
"The Royal Marine Barracks, Lympstone, are in which county? Kent.",Devon
What name is given to a young elephant? Joey.,Calf
What is the stage musical that tells the story of Frankie Valli and the Four Seasons? Mamma Mia!.,Jersey Boys
RAF Brize Norton is in which county? RAF Brize Norton is in Kent.,Oxfordshire
Which official is sometimes referred to by the acronym POTUS? Prime Minister of the United States.,President of the United States
Who provided the voice for Shrek in the films? Tom Hanks.,Mike Myers
To which family of instruments does the Hi Hat belong? String family.,Percussion
In which county is Runnymede? Essex.,Surrey
Who succeeded Tsar Alexander III in 1894? Tsar Ivan VI.,Nicholas II
What was the real name of Lewis Carroll? Thomas Hardy.,Charles Lutwidge Dodgson
Guy Fawkes was born and schooled in which English city? Manchester.,York
"Flatmates Felix Unger and Oscar Madison are the central characters in which play, film and TV series? Friends.",The Odd Couple
Which large domesticated bird has the Latin name meleagris gallopavo? Emu.,Turkey
"Element 112, Cn, is named after which astronomer? Galileo Galilei.",Copernicus
The scientific suffix -ose indicates the presence of what type of carbohydrate? Protein.,Sugar
What sort of trees belong to the genus 'quercus'? Pine trees.,Oaks
Which candidate in the Labour leadership election of 2010 is MP for Leigh? Ed Balls.,Andy Burnham
The archaeologist Heinrich Schliemann Is most famous for his excavations of which ancient city? Pompeii.,Troy
What is the title of the book (published 1954) which is considered to be a parody of Ballantyne's 'Coral Island'? Treasure Island.,Lord of the Flies
What is the name of the first opera in Wagner's four opera Ring Cycle? Die Meistersinger von Nürnberg.,Das Rheingold
Which mammal has types called Siberian and Bengal? Elephant.,Tiger
"What was the first Apollo mission to leave Earth orbit and orbit the moon, in 1968? Apollo 10.",Apollo 8
What is Miss Marple's first name? Edith.,Jane
"What is the name of Harry Potter's godfather, played on film by Gary Oldman? Albus Dumbledore.",Sirius Black
In which wine region is the Hospice de Beaune held annually where wines are auctioned in November? Napa Valley.,Burgundy
In what year did Harold Macmillan introduce Premium Bonds? 1965.,1956
Which insect-useful commercially-has the Latin name bombyx mori? Apis mellifera.,Silk moth
Callisto and Io are moons of which planet? Mars.,Jupiter
What is the capital of the Republic of South Sudan? Cairo.,Juba
The scientific suffix -ase indicates the presence of what type of protein? Carbohydrate.,Enzyme
Which candidate in the 2010 Labour leadership elections is MP for Hackney North and Stoke Newington? David Miliband.,Diane Abbott
'Fish lizard' is the literal meaning of which extinct reptile's name? Plesiosaur.,Ichthyosaur
Where did Generals Ludendorff and Hindenburg crush the Russian armies in August 1914? Waterloo.,Tannenberg
Who was the predecessor of Cecil Day Lewis as Poet Laureate? Alfred Lord Tennyson.,John Masefield
Which mammal has a name which means 'river horse' in Greek? Dolphin.,Hippopotamus
"'Hello darkness my old friend' are the first words of which Simon and Garfunkel song? ""Scarborough Fair"".",The sounds of silence
In the film Psycho what is the name of the deranged murderer? Hannibal Lecter.,Norman Bates
Who wrote the novel 'Fahrenheit 451' in 1953? George Orwell.,Ray Bradbury
"Best known for 'The Gruffalo', who was appointed the new Children's Laureate in June 2011? Roald Dahl.",Julia Donaldson
Which country's Prime Minister lives at 24 Sussex Drive? Australia.,Canada
"The Septuagint, Targum and Vulgate are all translations of what? The Epic of Gilgamesh.",The Bible
What gas are the bubbles in fizzy pop filled with? Helium.,Carbon dioxide
"A church in Daresbury has a stained-glass window featuring a rabbit, a dodo and a lizard, because which man was born there in 1832, while his father was the parson? Beatrix Potter.",Lewis Carroll
What liquid flows through your lacrimal canaliculi? Mercury.,Tears
Which legendary king was the father of King Arthur? Lancelot.,Uther Pendragon
The 'Saladin Tithe' was a tax levied to finance the third of nine what? Wonders of the World.,Crusades
"In Greek myth, who led the quest to find the Chrysomallos? Odysseus.",Jason
'The Sons of the Desert' is the international fan club of which movie pair? The Blues Brothers.,Laurel and Hardy
Which singer has been known as 'The Red-Headed Stranger' since his 1975 album of that name? Ed Sheeran.,Willie Nelson
In the combat sport MMA for what does the first M stand? Maritime.,Mixed
"'One could change the world in 140 characters' is the motto of Jack Dorsey, the founder of which website? Instagram.",Twitter
Only 69 men have ever held the top rank at sumo wrestling; by what name is that title known? Grandmaster.,Yokozuna
Manuel Quezon was a founding father and early president of what nation? Argentina.,The Philippines
What movie star was nominated for acting awards for playing Anna Christie in 1930 and Anna Karenina in 1935? Audrey Hepburn.,Greta Garbo
Geraldine Brooks' 2005 novel 'March' is narrated by the absentee father of which classic novel? Oliver Twist.,Little Women
"What country's economy melted down in 2008 following the collapse of banks Glitnir, Landsbanki and Kaupthing? Greece.",Iceland
"Which man's 'second rebellion' was the Rum Rebellion, which deposed him as Governor of New South Wales in 1808? Captain James Cook.",William Bligh
Which moon of the solar system is named after the Greek god of fear? Europa.,Phobos
"Musicians Sally and Ben Taylor are the children of James Taylor, and which other singer-songwriter? Joan Baez.",Carly Simon
Who is the author of the novel 'Girl with a Pearl Earring'? Dan Brown.,Tracy Chevalier
In which country was tennis player Juan Martin del Potro born? Spain.,Argentina
The Scottish peak Ben More is the highest point on which island? Isle of Skye.,Mull
The Roman province of Dacia is now part of which modern day country? Spain.,Romania
"Who, in 2010, became the first Green Party member of the House of Commons? Caroline Flint.",Caroline Lucas
Common in Australia the wattle is a tree of what genus? Eucalyptus.,Acacia
Saint-Denis is the chief town on which Indian Ocean island? Mauritius.,Reunion
Galah and Sulphur-crested are species of what kind of bird? Penguin.,Cockatoo
La Digue and Mahe are islands in which Indian Ocean group? Maldives.,The Seychelles
Who is the author of the children's book 'The Story of Tracy Beaker'? Roald Dahl.,Jacqueline Wilson
In pop music how is Vincent Furnier better known? Elton John.,Alice Cooper
Who created and wrote the TV series `Downton Abbey'? Steven Spielberg.,Julian Fellowes
Who is the author of 'The Tales of Beedle the Bard'? Lewis Carroll.,J.K. Rowling
O R Tambo airport serves which South African city? Durban.,Johannesburg
Which 2004 Tom Hanks film centres around a stranded traveler from Krakozhia? Cast Away.,The Terminal
In which decade of the 15th century was the Battle of Towton fought? 1420s.,1460s
"The French writer Andre Breton initiated which artistic movement in the 1920s, based on Dadaism? Cubism.",Surrealism
What was the venue near Newport for the 2010 Ryder Cup? St Andrews Golf Club.,Celtic Manor
The site of the 1461 Battle of Mortimer's Cross lies in which English county? Surrey.,Herefordshire
'Baby Come Back' was a number one hit in 1968 for which group? The Beach Boys.,The Equals
The Dogon are a race of people resident in which African country? Kenya.,Mali
"Which 19th-20th century writer's first novel was 'The Napoleon of Notting Hill', published in 1904? HG Wells.",G. K. Chesterton
Novi Sad is the second largest city in which European country? Poland.,Serbia
Who was the captain of the US Ryder Cup team in 2010? Tiger Woods.,Corey Pavin
Compound and recurve are variations of which Olympic event's equipment? Fencing.,Archery
"Whose name is missing to make up the 1950s/1960s jazz vocal trio Lambert, Hendricks and ? Sinatra.",Ross
Venta Belgarum was the Roman name for which English city? Bath.,Winchester
Thackeray's 'Vanity Fair' was first published in which decade of the 19th century? 1880s.,1840s
Cyrenaica is a province of which African country? Nigeria.,Libya
Andre Geim and Konstantin Novoselov from Manchester University won which Nobel Prize in 2010? The Nobel Prize in Literature.,Physics
Whose first hit was 'Rock Island Line'? Elvis Presley.,Lonnie Donegan
"Which warship, perfectly preserved in Stockholm, sank on her maiden voyage in 1628? HMS Victory.",Vasa
Which Mediterranean island was conquered by Richard 1 in 1191? Corsica.,Cyprus
Who has created the ITV serial 'Downton Abbey'? Agatha Christie.,Julian Fellowes
What was the nickname of the WW2 aircraft - Fairey Swordfish? Firefly.,Stringbag
"In snooker, whose nickname is 'The Nugget'? Ronnie O'Sullivan.",Steve Davis
What American TV comedy of the 70s was based on Steptoe and Son? Friends.,Sanford and Son
Who was the mother of William 2nd and Henry 1st ? Catherine of Aragon.,Matilda
What is measured on the Stanford-Binet scale? Temperature.,Intelligence
Who painted 'The Birth of Venus' and 'Primavera'? Leonardo da Vinci.,Sandro Botticelli
"In the 2010 film, Eat, Pray, Love who plays the part of the book's author? Sandra Bullock.",Julia Roberts
"Which country introduced the 'Cult of the Supreme Being' in 1794, intended to become the state religion? Italy.",France
Flora Poste and the Starkadder family appear in which novel? (a parody of those by Mary Webb) Wuthering Heights.,Cold Comfort Farm
Bert Hardy (1913-1995) was best known for what? Bert Hardy was best known for inventing the Hardy-Weinberg principle.,Photography
Which architect designed Manchester Town Hall? Frank Lloyd Wright.,Alfred Waterhouse
"In the world of rock music, how is Paul Hewson better known? Mick Jagger.",Bono
The state in some insects between the larva and the imago is known as what? Chrysalis.,Pupa
'Band of Joy' is the latest album (2010) for which artist? Coldplay.,Robert Plant
The air sacs which make up most of the lungs of mammals are known as what? Gills.,Alveoli
Which 2010 film is about a 1968 dispute when women machinists went on strike for equal pay? The Social Network.,Made in Dagenham
"Which great river flows though China, Laos, Cambodia and Vietnam to the South China Sea? Yangtze River.",The Mekong
Which British composer wrote 'The Midsummer Marriage' and `The Knot Garden'? Benjamin Britten.,Michael Tippett
To which animal does the adjective ovine refer? Cow.,Sheep
Which semi-aquatic carnivorous mammals belong to the genus `Lutra'? Platypus.,Otters
By what name is the medicine consisting of a suspension of magnesium hydroxide in water called? Pepto-Bismol.,Milk of magnesia
What was the profession of Ludwig Mies van der Rohe? Chef.,Architect
"Which area of the USA is generally accepted to be north of the Ohio River, west of Lake Eyre and east of the Great Plains? Death Valley.",The Midwest
"""Which genus of plants includes """"busy lizzie"""" and """"touch-me- not""""?"" Rosa.",Impatiens
Which bird is also called the peewit or green plover? Sparrow.,Lapwing
Who was Hitler's personal secretary who was sentenced to death in absentia at Nuremberg? Eva Braun.,Martin Bormann
"Which American actor starred in the films Bullitt, Papillon and The Great Escape? Robert Redford.",Steve McQueen
From which plant is linseed oil derived? Sunflower.,Flax
"Which French writer published the collection of fairy tales `Contes de ma mere l'Oye', better known as Mother Goose? Victor Hugo.",Charles Perrault
What was the artistic profession of Emily Dickinson? Painter.,Poet
"""To which genus of plants do """"Sweet William"""" and """"Carnations"""" belong?"" Rosa.",Dianthus
Which American author wrote the Pulitzer Prize-winner 'A Death in the Family? Ernest Hemingway.,James Agee
Which of the Gospels records the Sermon on the Mount including the Beatitudes and the Lords' Prayer? John.,Matthew
Which country did England fight against in the Hundred Years' War? Spain.,France
Of which African country is Gaberone the capital? Namibia.,Botswana
Which British artist painted a portrait of Winston Churchill that was destroyed on the instructions of Lady Churchill? David Hockney.,Graham Sutherland
What name is given to the southern landmass formed by the splitting of a single world continent over 200 million years ago? Atlantis.,Gondwanaland
In which country would you find Chobe National Wildlife Park? Namibia.,Botswana
What was the real name of 'The Birdman of Alcatraz'? John Smith.,Robert Stroud
Polygamy is the state of having more than one wife but what word describes the state of having more than one husband? Octogamy.,Polyandry
What type of creature is an onager? Bird.,A wild ass
Which pop group of the 60's and 70's released albums entitled `Days of Future Passed' and 'A Question of Balance'? The Beach Boys.,The Moody Blues
What name is given to the Northernmost belt of coniferous forest stretching from Scandinavia to Siberia? The Pampas.,Taiga
"Which sugar occurs naturally in honey, fruit and green leaves? Glucose.",Fructose
Which English novelist wrote 'The Rachel Papers' and 'Money'? George Orwell.,Martin Amis
Which South African mammal is also called a suricate? Aardvark.,Meerkat
"Which US inventor designed the Clermont, one of the earliest steamships? Thomas Edison.",Robert Fulton
What name is given to the ninth month of the Muslim year? Sha'ban.,Ramadan
Ellen Douglas is the heroine of which poem by Sir Walter Scott? The Rime of the Ancient Mariner.,The Lady of the Lake
To which family of birds does the chiff-chaff belong? Corvidae.,Warbler
"Television: Which American police series of the 1960s starred Broderick Crawford? ""Mannix"".",Highway Patrol
Which musical instrument is associated with Arthur Rubinstein? Violin.,Piano
In Italian cuisine-what type of meat is prosciutto? Manzo.,Ham
"""In a French restaurant, what are """"huitres""""?"" Croissants.",Oysters
What was the name of the dog on the HMV record labels? Rex.,Nipper
"""In the television sitcom """"Hi-de-Hi"""", which actor played Ted Bovis?"" Rowan Atkinson.",Paul Shane
Who led the unsuccessful uprising against Henry VII in 1497? He was hanged in 1499? Richard Neville.,Perkin Warbeck
Who was the first gymnast to score a perfect ten in modern Olympic competition? Mary Lou Retton.,Nadia Comaneci
Of which American city was Richard Daley the mayor from 1955 to 1976? Boston.,Chicago
"Television: in 2011, who returned to present Gardeners World, having previously presented the programme from 2003 to 2008? David Attenborough.",Monty Don
Which treaty of 1929 established the Vatican City as an independent sovereign state? Treaty of Versailles.,Lateran Treaty
"In the Christian religion, how many traditional stations of the cross are there? Eight.",14
On which lake was Sir Donald Campbell killed in 1967 while attempting to break the World water-speed record? Lake Erie.,Coniston Water
"In the Bible, who was the sister of Moses and Aaron? Rachel.",Miriam
"In July 1946, which hotel in Jerusalem was bombed by Jewish terrorists because it was the HQ of the British administration? King Solomon Hotel.",King David Hotel
Who was the first non-American golfer to win the US Masters? Seve Ballesteros.,Gary Player
What gas is produced when water is added to calcium carbide? Oxygen.,Acetylene
"""The phrase """"There's a sucker born every minute"""" is generally attributed to which US showman (1810-1891)?"" Harry Houdini.",P.T. Barnum
What type of meat is the main ingredient of traditional Wiener Schnitzel? Chicken.,Veal
Which king was on the throne in 1381 when Wat Tyler led the Peasants Revolt? King John.,Richard II
Which chemical has the formula SO2? Water.,Sulphur dioxide
"""Who wrote the poem """"The Wreck of the Hesperus"""" in 1842?"" Ralph Waldo Emerson.",Henry Wadsworth Longfellow
Who was the only World Heavyweight Boxing Champion to finish his career undefeated when he retired in 1956? Muhammad Ali.,Rocky Marciano
"What was the name of the dog which found the football World Cup, the Jules Rimet Trophy, in 1966? Rex.",Pickles
Which British actress was married to Sir Laurence Olivier at the time of his death? Emma Thompson.,Joan Plowright
"In which American state are the cities of Dayton, Akron and Cincinnati? Kentucky.",Ohio
"""In a French restaurant, what is """"homard""""?"" Duck.",Lobster
What are the metal discs on a tambourine called? Chimes.,Jingles
"In the famous Headingley test match in 1981, which English bowler took 8 wickets for 43 runs against Australia? Ian Botham.",Bob Willis
"""In which English cathedral is the """"Five Sisters"""" window?"" Canterbury Cathedral.",York Minster
Which treaty of 1713 ended the War of Spanish Succession and ceded Gibraltar to Britain? Treaty of Versailles.,The Treaty of Utrecht
"In the Bible, who had sons called Ham, Shem and Japheth? Abraham.",Noah
"America, the Pacific coast: which state is between Washington and California? Nevada.",Oregon
In which London borough is the Oval Cricket Ground? Westminster.,Lambeth
Durres is the chief port of which European country? Italy.,Albania
Velma Kelly and Billy Flynn are two of the leading characters in which 2002 musical? The Phantom of the Opera.,Chicago
"Which country is bordered by Tanzania, Uganda, South Sudan, Somalia and Ethiopia? Rwanda.",Kenya
"""Who had a 1978 hit with """"Love is in the Air""""?"" Bee Gees.",John Paul Young
Which pop group comprised David van Day and Thereza Bazar? ABBA.,Dollar
Which Scottish island is separated from the mainland by the Firth of Lorn(e)? Skye.,Mull
"Snow, Bean, White-fronted, and Pink-footed are species of which bird? Sparrow.",Geese
Slieve Donard is the highest summit in which Irish mountain range? The Burren.,Mourne Mountains
"What was the name of the sister ship to the Titanic, nicknamed The Old Reliable'? Poseidon.",The Olympic
With which instrument is jazz musician Courtney Pine mainly associated? Trumpet.,Saxophone
"""Who wrote and directed the 2003 film """"Love Actually""""?"" Christopher Nolan.",Richard Curtis
Who beat Andy Murray in the final of the Australian Open in January 2011? Roger Federer.,Novak Djokovic
"Who was the female assistant referee criticised by Andy Gray and Richard Keys, leading to both men's departure from Sky TV? Sarah Brightman.",Sian Massey
Which Scottish island is separated from the mainland by Kilbrannan Sound? Skye.,Arran
"How is the chemical sodium thiosuiphate, used as a fixer in photography, better known? Baking soda.",Hypo
"In the USA, motor neurone disease is often named after which baseball player? Babe Ruth.",Lou Gehrig
Odense and Aarhus are major cities in which European country? Netherlands.,Denmark
"In which year did Lenin die, and Mallory and Irvine disappear on Mount Everest? 1934.",1924
Which European capital city is on the River Tagus? Madrid.,Lisbon
Which human rights group appointed Sharmishta (Shami) Chakrabati as director in 2003? Greenpeace.,Liberty
Which internet service was set up by David Filo and Jerry Yang in 1994? Google.,Yahoo!
Malachite is an ore of which chemical element? Silver.,Copper
"""""""Bound for Glory"""" is the 1943 autobiography of which singer-songwriter?"" Frank Sinatra.",Woody Guthrie
Lugnaquilla is the highest summit in which Irish mountain range? Mourne Mountains.,Wicklow Mountains
"In the Sudanese wars, which British general was killed at Khartoum? General Patton.",Charles George Gordon
Which Italian city is the capital of the region Emilia-Romagna? Florence.,Bologna
The journalist Polly Toynbee writes for which national newspaper? The Times.,The Guardian
"""Which US actor, who appeared in the film """"The 40 year old Virgin"""", also played the lead role in the US version of """"The Office""""?"" Will Ferrell.",Steve Carell
What name is given to a Papal legate or ambassador to a civil government? Envoy Extraordinary.,Nuncio
"Which company built the USA's first turbojet-powered combat aircraft, the P-80 Shooting Star, which entered service in 1945? Boeing.",Lockheed
Ramon Mercader assassinated which C20th leader? Winston Churchill.,Leon Trotsky
