prompt,answer
The French Football Ligue 1 team Marseille have which other name in their title? Olympique Lyon.,Olympique
Who wrote the lyrics and music for A Little Night Music? Andrew Lloyd Webber.,Stephen Sondheim
Rumex spp is the Latin name for which genus of common wild garden plant? Dandelion.,Dock
"Who played the male lead in the 1958 film 'Bell, Book & Candle'? Cary Grant.",James Stewart
In the abbrevation CAFOD - for what does the 'O' stand? Outreach.,Overseas
In Greek mythology who is the Goddess of Strife? Athena.,Eris
Which artist married Saskia van Uylenburg in 1634? Vincent van Gogh.,Rembrandt van Rijn
Grupo Modelo and Femsit are the two major brewing companies in which country? Brazil.,Mexico
"Brad Pitt plays the part of Benjamin Button on film, who wrote the book on which the film is based? F Scott Fitzgerald.",F. Scott Fitzgerald
Which company was founded in 1998 by the merger of Grand Metropolitan and Guinness? PepsiCo.,Diageo
"Many cities, including Sofia, Tallinn, St Petersburg, Warsaw, Jerusalem and Belgrade, have cathedrals dedicated to which Russian saint? Alexander Nevsky.",St Alexander Nevsky
The Oscar winning film 'Aviator' was about which man? Charles Lindbergh.,Howard Hughes
"Which football club won the FA Cup' in 1951, 52 and 55 but haven't won a major domestic trophy since? Manchester United.",Newcastle United
"In which city would you find the following; Aventine, Caelian, Capitoline, Esquiline, Palatine, Quirinal and Viminal? Paris.",Rome
What was the name of the seat at King Arthur's Round Table that was reserved for the knight who would one day find the Holy Grail? Excalibur.,The Siege Perilous
Who had a no. 1 hit in 2005 with the song 'You 're Beautiful'? Justin Timberlake.,James Blunt
The words 'defend the children of the poor and punish the wrongdoer' are carved on the wall of which London building? Buckingham Palace.,The Old Bailey
"""Whose novel """"The Original of Laura"""" has finally been published 32 years after his death?"" Ernest Hemingway.",Vladimir Nabokov
In which sport was the 'Gordon Bennett Cup' contested? Cycling.,Motor racing
Which private detective last appeared in the 1959 novel `Playback'? Sherlock Holmes.,Philip Marlowe
Which artist (1844-1910) painted many jungle scenes (although he never left France) and landscapes of Paris? Claude Monet.,Henri Rousseau
In which country did the 'Carnation Revolution' take place in 1934? Spain.,Portugal
Who wrote the line 'The Child is Father of the Man'? Shakespeare.,William Wordsworth
