question,correct_answer
What is 63 plus 15?,78
What is 14 plus 42?,56
What is 34 plus 81?,115
What is 20 plus 42?,62
What is 58 plus 92?,150
What is 84 plus 58?,142
What is 99 plus 65?,164
What is 35 plus 88?,123
What is 75 plus 44?,119
What is 59 plus 73?,132
What is 42 plus 18?,60
What is 63 plus 10?,73
What is 11 plus 88?,99
What is 55 plus 76?,131
What is 72 plus 79?,151
What is 29 plus 46?,75
What is 94 plus 66?,160
What is 93 plus 57?,150
What is 52 plus 16?,68
What is 52 plus 60?,112
What is 11 plus 75?,86
What is 13 plus 18?,31
What is 26 plus 96?,122
What is 26 plus 37?,63
What is 41 plus 62?,103
What is 47 plus 10?,57
What is 71 plus 51?,122
What is 76 plus 34?,110
What is 62 plus 74?,136
What is 97 plus 66?,163
What is 46 plus 52?,98
What is 71 plus 24?,95
What is 24 plus 74?,98
What is 47 plus 82?,129
What is 61 plus 97?,158
What is 32 plus 44?,76
What is 46 plus 97?,143
What is 11 plus 13?,24
What is 50 plus 77?,127
What is 96 plus 26?,122
What is 97 plus 82?,179
What is 29 plus 13?,42
What is 97 plus 84?,181
What is 43 plus 62?,105
What is 38 plus 12?,50
What is 63 plus 91?,154
What is 13 plus 85?,98
What is 21 plus 19?,40
What is 92 plus 73?,165
What is 42 plus 71?,113
What is 45 plus 92?,137
What is 11 plus 52?,63
What is 23 plus 33?,56
What is 15 plus 55?,70
What is 29 plus 77?,106
What is 68 plus 63?,131
What is 16 plus 18?,34
What is 54 plus 50?,104
What is 99 plus 14?,113
What is 55 plus 88?,143
What is 16 plus 40?,56
What is 38 plus 12?,50
What is 67 plus 20?,87
What is 80 plus 57?,137
What is 47 plus 90?,137
What is 32 plus 79?,111
What is 62 plus 87?,149
What is 76 plus 51?,127
What is 14 plus 66?,80
What is 55 plus 14?,69
What is 91 plus 77?,168
What is 80 plus 32?,112
What is 51 plus 23?,74
What is 38 plus 93?,131
What is 31 plus 89?,120
What is 94 plus 78?,172
What is 31 plus 48?,79
What is 25 plus 15?,40
What is 33 plus 65?,98
What is 75 plus 36?,111
What is 24 plus 32?,56
What is 80 plus 24?,104
What is 69 plus 38?,107
What is 75 plus 71?,146
What is 75 plus 73?,148
What is 60 plus 43?,103
What is 28 plus 13?,41
What is 39 plus 83?,122
What is 43 plus 85?,128
What is 56 plus 53?,109
What is 67 plus 15?,82
What is 78 plus 97?,175
What is 53 plus 80?,133
What is 84 plus 95?,179
What is 77 plus 71?,148
What is 91 plus 32?,123
What is 93 plus 62?,155
What is 41 plus 51?,92
What is 66 plus 88?,154
What is 13 plus 59?,72
What is 19 plus 28?,47
What is 50 plus 79?,129
What is 46 plus 20?,66
What is 84 plus 30?,114
What is 74 plus 87?,161
What is 11 plus 47?,58
What is 45 plus 30?,75
What is 23 plus 17?,40
What is 44 plus 29?,73
What is 18 plus 28?,46
What is 53 plus 23?,76
What is 52 plus 31?,83
What is 66 plus 89?,155
What is 52 plus 32?,84
What is 45 plus 89?,134
What is 67 plus 58?,125
What is 86 plus 81?,167
What is 65 plus 75?,140
What is 93 plus 20?,113
What is 69 plus 90?,159
What is 83 plus 26?,109
What is 43 plus 53?,96
What is 33 plus 68?,101
What is 80 plus 25?,105
What is 64 plus 29?,93
What is 75 plus 48?,123
What is 65 plus 89?,154
What is 63 plus 24?,87
What is 25 plus 35?,60
What is 50 plus 68?,118
What is 57 plus 80?,137
What is 98 plus 16?,114
What is 47 plus 92?,139
What is 24 plus 86?,110
What is 64 plus 63?,127
What is 21 plus 44?,65
What is 13 plus 27?,40
What is 88 plus 15?,103
What is 67 plus 22?,89
What is 77 plus 54?,131
What is 60 plus 18?,78
What is 96 plus 37?,133
What is 40 plus 39?,79
What is 95 plus 33?,128
What is 90 plus 30?,120
What is 64 plus 40?,104
What is 85 plus 74?,159
What is 31 plus 47?,78
What is 13 plus 55?,68
What is 86 plus 50?,136
What is 78 plus 88?,166
What is 15 plus 36?,51
What is 58 plus 60?,118
What is 48 plus 29?,77
What is 94 plus 12?,106
What is 75 plus 86?,161
What is 53 plus 37?,90
What is 19 plus 92?,111
What is 43 plus 20?,63
What is 94 plus 76?,170
What is 86 plus 30?,116
What is 90 plus 97?,187
What is 45 plus 53?,98
What is 15 plus 16?,31
What is 57 plus 37?,94
What is 67 plus 16?,83
What is 14 plus 67?,81
What is 47 plus 95?,142
What is 44 plus 36?,80
What is 88 plus 53?,141
What is 93 plus 93?,186
What is 47 plus 35?,82
What is 75 plus 83?,158
What is 13 plus 98?,111
What is 11 plus 78?,89
What is 68 plus 49?,117
What is 71 plus 12?,83
What is 29 plus 81?,110
What is 24 plus 37?,61
What is 18 plus 13?,31
What is 73 plus 11?,84
What is 30 plus 56?,86
What is 35 plus 80?,115
What is 56 plus 23?,79
What is 98 plus 76?,174
What is 89 plus 88?,177
What is 87 plus 88?,175
What is 14 plus 96?,110
What is 91 plus 28?,119
What is 27 plus 93?,120
What is 51 plus 44?,95
What is 56 plus 71?,127
What is 67 plus 50?,117
What is 80 plus 91?,171
What is 48 plus 30?,78
What is 84 plus 33?,117
What is 34 plus 60?,94
What is 13 plus 70?,83
What is 75 plus 25?,100
What is 75 plus 72?,147
What is 45 plus 99?,144
What is 79 plus 81?,160
What is 22 plus 59?,81
What is 90 plus 17?,107
What is 86 plus 44?,130
What is 68 plus 25?,93
What is 53 plus 91?,144
What is 98 plus 31?,129
What is 63 plus 35?,98
What is 84 plus 48?,132
What is 95 plus 48?,143
What is 63 plus 64?,127
What is 26 plus 73?,99
What is 27 plus 29?,56
What is 39 plus 28?,67
What is 92 plus 24?,116
What is 49 plus 79?,128
What is 15 plus 22?,37
What is 14 plus 70?,84
What is 21 plus 99?,120
What is 60 plus 92?,152
What is 56 plus 79?,135
What is 96 plus 42?,138
What is 74 plus 39?,113
What is 14 plus 29?,43
What is 37 plus 18?,55
What is 75 plus 61?,136
What is 48 plus 21?,69
What is 10 plus 91?,101
What is 94 plus 39?,133
What is 75 plus 81?,156
What is 85 plus 78?,163
What is 23 plus 56?,79
What is 49 plus 82?,131
What is 68 plus 59?,127
What is 99 plus 52?,151
What is 23 plus 69?,92
What is 72 plus 67?,139
What is 45 plus 76?,121
What is 85 plus 29?,114
What is 99 plus 64?,163
What is 75 plus 61?,136
What is 22 plus 34?,56
What is 84 plus 70?,154
What is 17 plus 24?,41
What is 85 plus 67?,152
What is 52 plus 82?,134
What is 82 plus 79?,161
What is 16 plus 45?,61
What is 57 plus 97?,154
What is 97 plus 98?,195
What is 49 plus 59?,108
What is 70 plus 67?,137
What is 32 plus 94?,126
What is 49 plus 62?,111
What is 30 plus 38?,68
What is 47 plus 92?,139
What is 60 plus 83?,143
What is 85 plus 97?,182
What is 27 plus 72?,99
What is 30 plus 77?,107
What is 17 plus 49?,66
What is 69 plus 84?,153
What is 43 plus 64?,107
What is 13 plus 69?,82
What is 32 plus 18?,50
What is 42 plus 35?,77
What is 43 plus 30?,73
What is 73 plus 56?,129
What is 44 plus 30?,74
What is 96 plus 35?,131
What is 58 plus 59?,117
What is 42 plus 34?,76
What is 10 plus 12?,22
What is 15 plus 34?,49
What is 86 plus 49?,135
What is 21 plus 82?,103
What is 63 plus 94?,157
What is 54 plus 19?,73
What is 83 plus 74?,157
What is 13 plus 94?,107
What is 51 plus 46?,97
What is 89 plus 53?,142
What is 74 plus 41?,115
What is 91 plus 28?,119
What is 72 plus 39?,111
What is 13 plus 27?,40
What is 22 plus 91?,113
What is 70 plus 33?,103
What is 88 plus 68?,156
What is 92 plus 15?,107
What is 75 plus 64?,139
What is 97 plus 76?,173
What is 33 plus 77?,110
What is 57 plus 70?,127
What is 34 plus 18?,52
What is 97 plus 97?,194
What is 54 plus 48?,102
What is 94 plus 86?,180
What is 58 plus 48?,106
What is 76 plus 24?,100
What is 42 plus 70?,112
What is 98 plus 86?,184
What is 63 plus 23?,86
What is 52 plus 40?,92
What is 21 plus 42?,63
What is 61 plus 57?,118
What is 18 plus 63?,81
What is 39 plus 85?,124
What is 75 plus 42?,117
What is 29 plus 58?,87
What is 44 plus 62?,106
What is 44 plus 79?,123
What is 89 plus 69?,158
What is 21 plus 43?,64
What is 24 plus 48?,72
What is 52 plus 42?,94
What is 99 plus 75?,174
What is 74 plus 13?,87
What is 91 plus 52?,143
What is 96 plus 12?,108
What is 61 plus 84?,145
What is 70 plus 98?,168
What is 90 plus 72?,162
What is 51 plus 80?,131
What is 731 plus 271?,1002
What is 241 plus 637?,878
What is 789 plus 600?,1389
What is 371 plus 250?,621
What is 638 plus 953?,1591
What is 758 plus 104?,862
What is 907 plus 659?,1566
What is 113 plus 498?,611
What is 876 plus 290?,1166
What is 657 plus 158?,815
What is 175 plus 500?,675
What is 718 plus 272?,990
What is 229 plus 274?,503
What is 422 plus 648?,1070
What is 843 plus 635?,1478
What is 947 plus 893?,1840
What is 766 plus 628?,1394
What is 537 plus 648?,1185
What is 289 plus 595?,884
What is 121 plus 553?,674
What is 159 plus 208?,367
What is 935 plus 694?,1629
What is 312 plus 747?,1059
What is 600 plus 767?,1367
What is 275 plus 965?,1240
What is 253 plus 939?,1192
What is 764 plus 425?,1189
What is 851 plus 227?,1078
What is 376 plus 641?,1017
What is 646 plus 284?,930
What is 201 plus 789?,990
What is 569 plus 611?,1180
What is 104 plus 152?,256
What is 926 plus 964?,1890
What is 354 plus 271?,625
What is 495 plus 863?,1358
What is 263 plus 280?,543
What is 589 plus 758?,1347
What is 204 plus 546?,750
What is 764 plus 302?,1066
What is 386 plus 696?,1082
What is 367 plus 343?,710
What is 180 plus 623?,803
What is 650 plus 223?,873
What is 314 plus 875?,1189
What is 962 plus 918?,1880
What is 586 plus 838?,1424
What is 189 plus 984?,1173
What is 814 plus 348?,1162
What is 312 plus 624?,936
What is 288 plus 474?,762
What is 579 plus 688?,1267
What is 289 plus 590?,879
What is 708 plus 110?,818
What is 720 plus 611?,1331
What is 712 plus 686?,1398
What is 534 plus 920?,1454
What is 403 plus 921?,1324
What is 816 plus 949?,1765
What is 177 plus 899?,1076
What is 833 plus 402?,1235
What is 806 plus 137?,943
What is 306 plus 391?,697
What is 874 plus 269?,1143
What is 162 plus 106?,268
What is 528 plus 549?,1077
What is 171 plus 577?,748
What is 935 plus 750?,1685
What is 270 plus 704?,974
What is 438 plus 497?,935
What is 773 plus 193?,966
What is 710 plus 564?,1274
What is 321 plus 375?,696
What is 213 plus 656?,869
What is 866 plus 406?,1272
What is 556 plus 379?,935
What is 736 plus 898?,1634
What is 577 plus 210?,787
What is 538 plus 745?,1283
What is 225 plus 712?,937
What is 340 plus 106?,446
What is 939 plus 643?,1582
What is 886 plus 286?,1172
What is 342 plus 421?,763
What is 704 plus 209?,913
What is 984 plus 907?,1891
What is 122 plus 317?,439
What is 554 plus 925?,1479
What is 575 plus 572?,1147
What is 621 plus 108?,729
What is 859 plus 175?,1034
What is 619 plus 591?,1210
What is 983 plus 471?,1454
What is 508 plus 816?,1324
What is 713 plus 424?,1137
What is 477 plus 163?,640
What is 132 plus 264?,396
What is 122 plus 462?,584
What is 909 plus 764?,1673
What is 717 plus 318?,1035
What is 810 plus 907?,1717
What is 882 plus 480?,1362
What is 890 plus 652?,1542
What is 876 plus 746?,1622
What is 935 plus 903?,1838
What is 356 plus 319?,675
What is 895 plus 652?,1547
What is 763 plus 368?,1131
What is 986 plus 128?,1114
What is 239 plus 947?,1186
What is 591 plus 259?,850
What is 636 plus 741?,1377
What is 134 plus 126?,260
What is 608 plus 585?,1193
What is 646 plus 920?,1566
What is 436 plus 417?,853
What is 416 plus 981?,1397
What is 650 plus 181?,831
What is 282 plus 495?,777
What is 825 plus 714?,1539
What is 272 plus 133?,405
What is 970 plus 462?,1432
What is 293 plus 109?,402
What is 329 plus 740?,1069
What is 273 plus 207?,480
What is 212 plus 904?,1116
What is 184 plus 277?,461
What is 133 plus 151?,284
What is 275 plus 884?,1159
What is 820 plus 657?,1477
What is 860 plus 610?,1470
What is 135 plus 144?,279
What is 116 plus 429?,545
What is 307 plus 216?,523
What is 353 plus 274?,627
What is 930 plus 978?,1908
What is 112 plus 822?,934
What is 818 plus 732?,1550
What is 908 plus 213?,1121
What is 726 plus 560?,1286
What is 780 plus 314?,1094
What is 352 plus 893?,1245
What is 900 plus 401?,1301
What is 830 plus 597?,1427
What is 473 plus 165?,638
What is 580 plus 925?,1505
What is 935 plus 177?,1112
What is 902 plus 179?,1081
What is 465 plus 271?,736
What is 598 plus 626?,1224
What is 123 plus 404?,527
What is 437 plus 764?,1201
What is 865 plus 165?,1030
What is 874 plus 549?,1423
What is 472 plus 643?,1115
What is 786 plus 340?,1126
What is 205 plus 492?,697
What is 813 plus 850?,1663
What is 516 plus 542?,1058
What is 387 plus 270?,657
What is 526 plus 957?,1483
What is 591 plus 253?,844
What is 284 plus 256?,540
What is 784 plus 604?,1388
What is 231 plus 970?,1201
What is 149 plus 579?,728
What is 641 plus 826?,1467
What is 997 plus 954?,1951
What is 662 plus 898?,1560
What is 282 plus 514?,796
What is 824 plus 384?,1208
What is 574 plus 371?,945
What is 388 plus 983?,1371
What is 902 plus 160?,1062
What is 167 plus 112?,279
What is 639 plus 410?,1049
What is 366 plus 227?,593
What is 650 plus 217?,867
What is 535 plus 211?,746
What is 770 plus 292?,1062
What is 960 plus 851?,1811
What is 669 plus 378?,1047
What is 321 plus 744?,1065
What is 871 plus 506?,1377
What is 809 plus 556?,1365
What is 178 plus 730?,908
What is 822 plus 654?,1476
What is 831 plus 701?,1532
What is 367 plus 716?,1083
What is 183 plus 528?,711
What is 321 plus 957?,1278
What is 635 plus 812?,1447
What is 805 plus 865?,1670
What is 529 plus 850?,1379
What is 927 plus 855?,1782
What is 758 plus 255?,1013
What is 678 plus 630?,1308
What is 863 plus 633?,1496
What is 488 plus 887?,1375
What is 674 plus 256?,930
What is 462 plus 140?,602
What is 513 plus 255?,768
What is 471 plus 324?,795
What is 703 plus 618?,1321
What is 843 plus 689?,1532
What is 541 plus 694?,1235
What is 548 plus 660?,1208
What is 633 plus 990?,1623
What is 141 plus 100?,241
What is 979 plus 667?,1646
What is 543 plus 232?,775
What is 821 plus 706?,1527
What is 130 plus 398?,528
What is 914 plus 320?,1234
What is 944 plus 281?,1225
What is 833 plus 562?,1395
What is 516 plus 186?,702
What is 828 plus 867?,1695
What is 764 plus 756?,1520
What is 625 plus 419?,1044
What is 746 plus 495?,1241
What is 167 plus 878?,1045
What is 436 plus 526?,962
What is 770 plus 883?,1653
What is 872 plus 235?,1107
What is 243 plus 917?,1160
What is 753 plus 601?,1354
What is 732 plus 904?,1636
What is 382 plus 381?,763
What is 947 plus 453?,1400
What is 639 plus 762?,1401
What is 262 plus 977?,1239
What is 117 plus 368?,485
What is 729 plus 895?,1624
What is 178 plus 486?,664
What is 568 plus 130?,698
What is 807 plus 711?,1518
What is 870 plus 526?,1396
What is 521 plus 964?,1485
What is 978 plus 715?,1693
What is 228 plus 148?,376
What is 435 plus 817?,1252
What is 159 plus 949?,1108
What is 578 plus 749?,1327
What is 669 plus 671?,1340
What is 102 plus 453?,555
What is 928 plus 107?,1035
What is 513 plus 689?,1202
What is 500 plus 653?,1153
What is 954 plus 172?,1126
What is 464 plus 946?,1410
What is 125 plus 928?,1053
What is 362 plus 571?,933
What is 168 plus 995?,1163
What is 250 plus 463?,713
What is 782 plus 688?,1470
What is 794 plus 736?,1530
What is 448 plus 137?,585
What is 105 plus 957?,1062
What is 810 plus 120?,930
What is 883 plus 757?,1640
What is 559 plus 390?,949
What is 523 plus 557?,1080
What is 508 plus 124?,632
What is 533 plus 286?,819
What is 692 plus 972?,1664
What is 743 plus 838?,1581
What is 924 plus 489?,1413
What is 263 plus 979?,1242
What is 983 plus 989?,1972
What is 691 plus 271?,962
What is 700 plus 945?,1645
What is 589 plus 598?,1187
What is 133 plus 201?,334
What is 132 plus 899?,1031
What is 613 plus 476?,1089
What is 195 plus 636?,831
What is 201 plus 850?,1051
What is 851 plus 530?,1381
What is 326 plus 232?,558
What is 824 plus 435?,1259
What is 165 plus 241?,406
What is 417 plus 848?,1265
What is 952 plus 338?,1290
What is 623 plus 914?,1537
What is 107 plus 305?,412
What is 358 plus 496?,854
What is 393 plus 904?,1297
What is 267 plus 620?,887
What is 333 plus 969?,1302
What is 153 plus 725?,878
What is 736 plus 329?,1065
What is 415 plus 148?,563
What is 242 plus 668?,910
What is 908 plus 319?,1227
What is 492 plus 674?,1166
What is 511 plus 107?,618
What is 514 plus 173?,687
What is 329 plus 932?,1261
What is 997 plus 128?,1125
What is 474 plus 165?,639
What is 531 plus 423?,954
What is 507 plus 394?,901
What is 824 plus 726?,1550
What is 586 plus 180?,766
What is 862 plus 689?,1551
What is 200 plus 296?,496
What is 929 plus 400?,1329
What is 977 plus 955?,1932
What is 787 plus 504?,1291
What is 302 plus 743?,1045
What is 631 plus 909?,1540
What is 989 plus 177?,1166
What is 293 plus 927?,1220
What is 603 plus 527?,1130
What is 289 plus 574?,863
What is 189 plus 530?,719
What is 674 plus 502?,1176
What is 879 plus 910?,1789
What is 729 plus 817?,1546
What is 828 plus 118?,946
What is 836 plus 223?,1059
What is 114 plus 933?,1047
What is 196 plus 274?,470
What is 387 plus 317?,704
What is 803 plus 108?,911
What is 971 plus 768?,1739
What is 406 plus 496?,902
What is 247 plus 233?,480
What is 567 plus 995?,1562
What is 188 plus 624?,812
What is 765 plus 550?,1315
What is 592 plus 448?,1040
What is 463 plus 501?,964
What is 594 plus 341?,935
What is 887 plus 801?,1688
What is 567 plus 215?,782
What is 825 plus 713?,1538
What is 618 plus 268?,886
What is 175 plus 712?,887
What is 569 plus 930?,1499
What is 114 plus 947?,1061
What is 465 plus 342?,807
What is 433 plus 806?,1239
What is 436 plus 636?,1072
What is 957 plus 525?,1482
What is 438 plus 756?,1194
What is 732 plus 322?,1054
What is 282 plus 478?,760
What is 815 plus 432?,1247
What is 420 plus 964?,1384
What is 449 plus 793?,1242
What is 749 plus 617?,1366
What is 587 plus 711?,1298
What is 382 plus 569?,951
What is 344 plus 269?,613
What is 604 plus 992?,1596
What is 458 plus 306?,764
What is 872 plus 769?,1641
What is 607 plus 978?,1585
What is 480 plus 948?,1428
What is 539 plus 669?,1208
What is 916 plus 239?,1155
What is 108 plus 268?,376
What is 262 plus 245?,507
What is 550 plus 804?,1354
What is 541 plus 314?,855
What is 987 plus 641?,1628
What is 104 plus 207?,311
What is 125 plus 667?,792
What is 405 plus 406?,811
What is 374 plus 426?,800
What is 200 plus 578?,778
What is 480 plus 343?,823
What is 980 plus 878?,1858
What is 514 plus 427?,941
What is 905 plus 157?,1062
What is 955 plus 147?,1102
What is 968 plus 184?,1152
What is 152 plus 980?,1132
What is 734 plus 230?,964
What is 364 plus 143?,507
What is 829 plus 677?,1506
What is 445 plus 441?,886
What is 280 plus 818?,1098
What is 758 plus 658?,1416
What is 969 plus 972?,1941
What is 182 plus 993?,1175
What is 408 plus 547?,955
What is 458 plus 360?,818
What is 386 plus 926?,1312
What is 347 plus 468?,815
What is 559 plus 811?,1370
What is 865 plus 138?,1003
What is 585 plus 862?,1447
What is 151 plus 386?,537
What is 435 plus 919?,1354
What is 779 plus 112?,891
What is 821 plus 124?,945
What is 786 plus 609?,1395
What is 571 plus 457?,1028
What is 856 plus 976?,1832
What is 820 plus 102?,922
What is 451 plus 659?,1110
What is 386 plus 604?,990
What is 807 plus 125?,932
What is 921 plus 209?,1130
What is 734 plus 969?,1703
What is 368 plus 763?,1131
What is 756 plus 103?,859
What is 185 plus 824?,1009
What is 651 plus 179?,830
What is 112 plus 701?,813
What is 768 plus 332?,1100
What is 354 plus 332?,686
What is 729 plus 618?,1347
What is 389 plus 498?,887
What is 465 plus 434?,899
What is 865 plus 994?,1859
What is 355 plus 358?,713
What is 993 plus 385?,1378
What is 941 plus 278?,1219
What is 348 plus 374?,722
What is 597 plus 799?,1396
What is 198 plus 736?,934
What is 805 plus 272?,1077
What is 174 plus 204?,378
What is 629 plus 536?,1165
What is 771 plus 274?,1045
What is 729 plus 434?,1163
What is 835 plus 588?,1423
What is 285 plus 415?,700
What is 359 plus 785?,1144
What is 474 plus 654?,1128
What is 672 plus 303?,975
What is 349 plus 275?,624
What is 980 plus 693?,1673
What is 367 plus 212?,579
What is 462 plus 917?,1379
What is 736 plus 551?,1287
What is 739 plus 567?,1306
What is 825 plus 471?,1296
What is 553 plus 726?,1279
What is 799 plus 252?,1051
What is 391 plus 956?,1347
What is 530 plus 674?,1204
What is 662 plus 990?,1652
What is 161 plus 330?,491
What is 332 plus 645?,977
What is 793 plus 426?,1219
What is 791 plus 412?,1203
What is 755 plus 434?,1189
What is 296 plus 171?,467
What is 290 plus 811?,1101
What is 555 plus 554?,1109
What is 272 plus 752?,1024
What is 790 plus 388?,1178
What is 286 plus 274?,560
What is 772 plus 290?,1062
What is 762 plus 588?,1350
What is 836 plus 626?,1462
What is 686 plus 674?,1360
What is 715 plus 135?,850
What is 357 plus 267?,624
What is 879 plus 396?,1275
What is 614 plus 806?,1420
What is 166 plus 297?,463
What is 448 plus 433?,881
What is 178 plus 674?,852
What is 843 plus 413?,1256
What is 905 plus 368?,1273
What is 504 plus 249?,753
What is 589 plus 959?,1548
What is 497 plus 333?,830
What is 646 plus 872?,1518
What is 941 plus 926?,1867
What is 201 plus 188?,389
What is 948 plus 256?,1204
What is 357 plus 773?,1130
What is 686 plus 496?,1182
What is 687 plus 658?,1345
What is 285 plus 676?,961
What is 621 plus 472?,1093
What is 352 plus 344?,696
What is 283 plus 871?,1154
What is 452 plus 685?,1137
What is 864 plus 755?,1619
What is 576 plus 239?,815
What is 175 plus 753?,928
What is 792 plus 396?,1188
What is 835 plus 691?,1526
What is 385 plus 269?,654
What is 363 plus 620?,983
What is 286 plus 587?,873
What is 265 plus 712?,977
What is 278 plus 887?,1165
What is 837 plus 362?,1199
What is 738 plus 514?,1252
What is 143 plus 792?,935
What is 985 plus 321?,1306
What is 1 minus 8?,-7
What is 2 minus 4?,-2
What is 6 minus 2?,4
What is 5 minus 6?,-1
What is 2 minus 1?,1
What is 6 minus 2?,4
What is 1 minus 4?,-3
What is 6 minus 2?,4
What is 9 minus 9?,0
What is 2 minus 9?,-7
What is 4 minus 8?,-4
What is 8 minus 1?,7
What is 7 minus 9?,-2
What is 4 minus 5?,-1
What is 1 minus 3?,-2
What is 9 minus 8?,1
What is 2 minus 6?,-4
What is 4 minus 3?,1
What is 8 minus 6?,2
What is 9 minus 4?,5
What is 2 minus 9?,-7
What is 6 minus 4?,2
What is 5 minus 2?,3
What is 4 minus 9?,-5
What is 8 minus 4?,4
What is 2 minus 9?,-7
What is 5 minus 3?,2
What is 7 minus 5?,2
What is 8 minus 9?,-1
What is 9 minus 4?,5
What is 1 minus 1?,0
What is 3 minus 5?,-2
What is 5 minus 2?,3
What is 3 minus 6?,-3
What is 7 minus 5?,2
What is 2 minus 9?,-7
What is 5 minus 1?,4
What is 2 minus 5?,-3
What is 5 minus 8?,-3
What is 5 minus 7?,-2
What is 9 minus 9?,0
What is 6 minus 9?,-3
What is 2 minus 7?,-5
What is 2 minus 3?,-1
What is 5 minus 9?,-4
What is 1 minus 1?,0
What is 2 minus 3?,-1
What is 7 minus 2?,5
What is 7 minus 7?,0
What is 8 minus 4?,4
